distance,spline,linear
0.9,-195.2288949886688,-195.2288949886688
0.9020025031289112,-195.23996501596125,-195.2373788997148
0.9040050062578223,-195.25091702840612,-195.2458628107608
0.9060075093867335,-195.26175179727477,-195.25434672180683
0.9080100125156446,-195.27247009383856,-195.26283063285283
0.9100125156445558,-195.28307268936877,-195.27131454389882
0.9120150187734668,-195.2935603551367,-195.27979845494482
0.914017521902378,-195.30393386241366,-195.28828236599085
0.9160200250312891,-195.31419398247104,-195.29676627703685
0.9180225281602002,-195.32434148658012,-195.30525018808285
0.9200250312891114,-195.33437714601223,-195.31373409912885
0.9220275344180225,-195.3443017320387,-195.32221801017488
0.9240300375469337,-195.3541160159308,-195.33070192122088
0.9260325406758448,-195.36382076895993,-195.33918583226688
0.928035043804756,-195.37341676239734,-195.34766974331288
0.9300375469336671,-195.38290476751433,-195.3561536543589
0.9320400500625783,-195.39228555558233,-195.3646375654049
0.9340425531914893,-195.40155989787257,-195.3731214764509
0.9360450563204005,-195.4107285656564,-195.3816053874969
0.9380475594493116,-195.41979233020513,-195.39008929854293
0.9400500625782228,-195.4287519627901,-195.39857320958893
0.9420525657071339,-195.43760823468264,-195.40705712063493
0.9440550688360451,-195.446361917154,-195.41554103168093
0.9460575719649562,-195.45501378147557,-195.42402494272696
0.9480600750938674,-195.46356459891862,-195.43250885377296
0.9500625782227785,-195.47201514075454,-195.44099276481896
0.9520650813516897,-195.4803661782546,-195.44947667586496
0.9540675844806008,-195.4886184826901,-195.45796058691099
0.9560700876095118,-195.4967728253324,-195.46644449795699
0.958072590738423,-195.50482997745283,-195.47492840900298
0.9600750938673341,-195.5127907103227,-195.48341232004898
0.9620775969962453,-195.52065579521326,-195.491896231095
0.9640801001251564,-195.52842600339596,-195.500380142141
0.9660826032540676,-195.536102106142,-195.508864053187
0.9680851063829787,-195.5436848747228,-195.517347964233
0.9700876095118899,-195.5511750804096,-195.52583187527904
0.972090112640801,-195.55857349447373,-195.53431578632504
0.9740926157697122,-195.56588088818657,-195.54279969737104
0.9760951188986233,-195.5730980328194,-195.55128360841704
0.9780976220275344,-195.5802256996435,-195.55976751946307
0.9801001251564455,-195.5872646599303,-195.56825143050906
0.9821026282853567,-195.594215684951,-195.57673534155506
0.9841051314142678,-195.601079545977,-195.58521925260106
0.986107634543179,-195.60785701427957,-195.59370316364706
0.9881101376720901,-195.61454886113006,-195.6021870746931
0.9901126408010013,-195.6211558577998,-195.6106709857391
0.9921151439299124,-195.6276787755601,-195.6191548967851
0.9941176470588236,-195.63411838568229,-195.6276388078311
0.9961201501877347,-195.6404754594376,-195.63612271887712
0.9981226533166458,-195.64675076809746,-195.64460662992312
1.0001251564455569,-195.6529450829332,-195.6528400084102
1.0021276595744681,-195.65905917521604,-195.65731539851348
1.0041301627033792,-195.6650938162174,-195.6617907886167
1.0061326658322904,-195.6710497772085,-195.66626617871998
1.0081351689612015,-195.67692782946077,-195.67074156882325
1.0101376720901127,-195.68272874424545,-195.6752169589265
1.0121401752190238,-195.6884532928339,-195.67969234902978
1.0141426783479348,-195.69410224649747,-195.68416773913304
1.016145181476846,-195.69967637650737,-195.6886431292363
1.018147684605757,-195.705176454135,-195.69311851933955
1.0201501877346684,-195.7106032506517,-195.69759390944282
1.0221526908635794,-195.71595753732873,-195.70206929954608
1.0241551939924907,-195.72124008543744,-195.70654468964935
1.0261576971214017,-195.72645166624915,-195.71102007975261
1.028160200250313,-195.73159305103522,-195.71549546985588
1.030162703379224,-195.7366650110669,-195.71997085995915
1.032165206508135,-195.74166831761553,-195.72444625006239
1.0341677096370463,-195.74660374195244,-195.72892164016565
1.0361702127659576,-195.75147205534893,-195.73339703026892
1.0381727158948686,-195.7562740290764,-195.73787242037218
