distance,energy,loo_spline,loo_linear,loo_spline_mha,loo_linear_mha
0.9,-195.2288949886688,nan,nan,nan,nan
1.0,-195.65256029652875,0.007959251681342039,0.10008775728914543,7.959251681342039,100.08775728914543
1.1,-195.8760500898104,-0.004755265203471026,0.05661491502303306,-4.755265203471026,56.61491502303306
1.2,-195.986310053046,-0.000891288584995209,0.03238861419350769,-0.891288584995209,32.38861419350769
1.2999999999999998,-196.03179278789457,-0.000786233957001059,0.01782130676218685,-0.786233957001059,17.82130676218685
1.4,-196.0416329092188,-0.0004644902320194433,0.008607554805138307,-0.4644902320194433,8.607554805138307
1.5,-196.03425792093273,-0.00037781033248052154,0.0030068094469868356,-0.37781033248052154,3.0068094469868356
1.5999999999999999,-196.02086931375268,-0.0002410665368586251,5.761321909858452e-05,-0.2410665368586251,0.05761321909858452
1.6999999999999997,-196.00736548013444,-0.00012456453683284963,-0.0011372612512161595,-0.12456453683284963,-1.1372612512161595
1.7999999999999998,-195.99613616901863,-4.834947344534157e-05,-0.0013899576276514836,-0.04834947344534157,-1.3899576276514836
1.9,-195.98768677315812,-9.36592232392286e-06,-0.0012511196456728158,-0.00936592232392286,-1.2511196456728158
1.9999999999999996,-195.98173961658898,-4.836376547245891e-06,-0.0010038520715340837,-0.004836376547245891,-1.0038520715340837
2.0999999999999996,-195.97780016416291,9.267285946634729e-06,-0.0007333112814364995,0.009267285946634729,-0.7333112814364995
2.1999999999999997,-195.9753273342997,5.7088578273578605e-06,-0.000507930927255984,0.0057088578273578605,-0.507930927255984
2.3,-195.97387036629098,1.081324614915502e-05,-0.000330669773433101,0.01081324614915502,-0.330669773433101
2.3999999999999995,-195.97307473782914,-1.8098958491918893e-05,-0.00020148007598663753,-0.018098958491918893,-0.20148007598663753
2.4999999999999996,-195.97268206951924,nan,nan,nan,nan
