bond,spline,linear
0.9,-200.32204925140297,-200.32204925140297
0.9037593984962407,-200.35353032748657,-200.34555843090095
0.9075187969924812,-200.38431893104007,-200.36906761039896
0.9112781954887218,-200.41442355817432,-200.39257678989694
0.9150375939849624,-200.44385270500024,-200.41608596939494
0.9187969924812031,-200.47261486762878,-200.43959514889292
0.9225563909774436,-200.50071854217077,-200.4631043283909
0.9263157894736842,-200.52817222473715,-200.4866135078889
0.9300751879699248,-200.55498441143882,-200.51012268738688
0.9338345864661655,-200.5811635983866,-200.53363186688486
0.937593984962406,-200.6067182816915,-200.55714104638287
0.9413533834586466,-200.63165695746434,-200.58065022588085
0.9451127819548872,-200.65598812181608,-200.60415940537885
0.9488721804511279,-200.67972027085753,-200.62766858487683
0.9526315789473684,-200.7028619006997,-200.6511777643748
0.956390977443609,-200.72542150745338,-200.6746869438728
0.9601503759398496,-200.74740758722956,-200.6981961233708
0.9639097744360903,-200.7688286361391,-200.72170530286877
0.9676691729323308,-200.78969315029286,-200.74521448236678
0.9714285714285714,-200.81000962580177,-200.76872366186475
0.975187969924812,-200.8297865587768,-200.79223284136276
0.9789473684210527,-200.84903244532873,-200.81574202086074
0.9827067669172932,-200.86775578156852,-200.83925120035872
0.9864661654135338,-200.88596506360707,-200.86276037985672
0.9902255639097745,-200.90366878755523,-200.8862695593547
0.9939849624060151,-200.92087544952398,-200.90977873885268
0.9977443609022556,-200.93759354562414,-200.9332879183507
1.0015037593984961,-200.95383157196665,-200.95174339479917
1.0052631578947369,-200.96959802466242,-200.96261831667337
1.0090225563909774,-200.98490139982232,-200.97349323854758
1.0127819548872181,-200.99975019355722,-200.9843681604218
1.0165413533834586,-201.0141529019781,-200.995243082296
1.0203007518796992,-201.0281180211958,-201.00611800417022
1.02406015037594,-201.04165404732123,-201.01699292604442
1.0278195488721804,-201.05476947646528,-201.02786784791866
1.0315789473684212,-201.06747280473888,-201.03874276979286
1.0353383458646617,-201.07977252825287,-201.04961769166707
1.0390977443609022,-201.09167714311823,-201.0604926135413
1.042857142857143,-201.1031951454458,-201.0713675354155
1.0466165413533834,-201.11433503134646,-201.0822424572897
1.050375939849624,-201.1251052969312,-201.0931173791639
