bond,energy,loo_spline,loo_linear,loo_spline_mha,loo_linear_mha
0.9,-200.32204925140297,nan,nan,nan,nan
1.0,-200.94739342604947,0.009244882443880442,0.16803562639623237,9.244882443880442,168.03562639623237
1.1,-201.23666634790354,-0.0055233669640699645,0.09336876089176371,-5.5233669640699645,93.36876089176371
1.2,-201.33920174797407,-0.005146560966153402,0.04586489177864905,-5.146560966153402,45.86489177864905
1.2999999999999998,-201.35000736448734,0.00019773869425421253,0.027483954110749664,0.19773869425421253,27.483954110749664
1.4,-201.3058450727791,-0.002903727966298675,0.01764955607779939,-2.903727966298675,17.64955607779939
1.5,-201.22638366891528,0.006637825346217596,0.01353082893436408,6.637825346217596,13.53082893436408
1.5999999999999999,-201.11986060718274,-0.00692046380149236,-0.010596213800880605,-6.92046380149236,-10.596213800880605
1.6999999999999997,-201.03452997305197,0.002461176057437342,-0.01249528435329239,2.461176057437342,-12.49528435329239
1.7999999999999998,-200.9741899076278,-0.0028000981262721325,-0.014542873558042402,-2.8000981262721325,-14.542873558042402
1.9,-200.94293558931972,0.0015003894633309756,-0.007931624361248168,1.5003894633309756,-7.9316243612481685
1.9999999999999996,-200.92754451973414,-0.0032227433615616974,-0.0013003134029929697,-3.2227433615616974,-1.3003134029929697
2.0999999999999996,-200.91475407695452,0.009958560394068172,0.0072860729356989395,9.958560394068172,7.2860729356989395
2.1999999999999997,-200.88739148830354,-0.012930415580228782,-0.014484526024091338,-12.930415580228782,-14.484526024091338
2.3,-200.8889979517007,0.02164262718150667,0.0016003961825390434,21.64262718150667,1.6003961825390434
2.3999999999999995,-200.8874036227328,nan,nan,nan,nan
