angle,energy,loo_polynomial,loo_linear,loo_polynomial_mha,loo_linear_mha
90.0,-201.24941303183124,nan,nan,nan,nan
95.0,-201.26301436851776,nan,0.014295183268671963,nan,14.295183268671963
100.0,-201.24802533866693,nan,-0.010276874323977836,nan,-10.276874323977836
105.0,-201.25359005746407,nan,0.0034218583970186955,nan,3.4218583970186955
110.0,-201.2523110594672,nan,-0.008919226837718952,nan,-8.919226837718952
115.0,-201.26887051514578,nan,0.002688064275389479,nan,2.688064275389479
120.0,-201.2800538422736,nan,0.0021836309130378595,nan,2.1836309130378595
125.0,-201.2868699075753,nan,0.0011768920102781522,nan,1.1768920102781522
130.0,-201.29133218885644,nan,0.0007098805029102095,nan,0.7098805029102095
135.0,-201.2943747091318,nan,-0.0020272615637111358,nan,-2.0272615637111358
140.0,-201.3014717525346,nan,0.0034208331986747,nan,3.4208331986747
145.0,-201.30172712954004,nan,0.0010927712968964443,nan,1.0927712968964443
150.0,-201.29979696395168,nan,0.0006276037019006253,nan,0.6276037019006253
155.0,-201.29661159095951,nan,0.00023809403742802715,nan,0.23809403742802715
160.0,-201.2929500298925,nan,-5.9088537682328024e-05,nan,-0.059088537682328024
165.0,-201.2894066459008,nan,-0.00034956796517349176,nan,-0.34956796517349176
170.0,-201.28656239783945,nan,-0.0005845735156242426,nan,-0.5845735156242426
175.0,-201.28488729680933,nan,-0.0006066548322110066,nan,-0.6066548322110066
180.0,-201.28442550544364,nan,nan,nan,nan
