degree,max_mha,rms_mha,mae_mha
1,19.814604506507294,13.025304414258198,11.584324817157627
2,19.531099882584613,8.75034800592172,6.796012995176384
3,16.33820580971701,7.678429814630435,6.38785217245353
4,17.66200267721274,5.265790222333024,2.870741285293247
5,17.940147564701192,5.565559967445668,3.4448396141094824
6,16.737492786091934,5.728261300583305,3.837092606229429
7,15.056733004456646,5.544111977933237,4.217411927661086
8,10.170541128360355,4.556582532288709,3.683600926139514
9,9.891468740931941,3.924174119614268,2.6249989635386206
10,20.14888056731934,6.51586183784102,4.006367779533762
11,57.89518809109495,15.751493400356306,7.83523174357182
12,100.99518597272095,29.39553773797849,14.366268170331361
13,130.00819842852707,37.44896813562759,17.14808527993943
14,237.0671250553471,64.11535469524976,26.30763763516885
15,639.7098611788863,201.01259436747281,82.63720910800784
16,1101.9309194240634,314.9069163265986,122.6804211870441
17,6282.2909803778375,2170.2328920132027,849.8245453506319
