bond,polynomial,linear
0.9,-200.32204925140323,-200.32204925140297
0.9037593984962407,-200.14285072446543,-200.34555843090095
0.9075187969924812,-200.01152802242237,-200.36906761039896
0.9112781954887218,-199.92092029574866,-200.39257678989694
0.9150375939849624,-199.8646769376569,-200.41608596939494
0.9187969924812031,-199.83718338442807,-200.43959514889292
0.9225563909774436,-199.83349255201753,-200.4631043283909
0.9263157894736842,-199.84926155063988,-200.4866135078889
0.9300751879699248,-199.88069333811114,-200.51012268738688
0.9338345864661655,-199.92448299092996,-200.53363186688486
0.937593984962406,-199.97776828950327,-200.55714104638287
0.9413533834586466,-200.0380843305294,-200.58065022588085
0.9451127819548872,-200.10332189543223,-200.60415940537885
0.9488721804511279,-200.171689318881,-200.62766858487683
0.9526315789473684,-200.24167761587037,-200.6511777643748
0.956390977443609,-200.3120286396147,-200.6746869438728
0.9601503759398496,-200.38170605563027,-200.6981961233708
0.9639097744360903,-200.44986892988493,-200.72170530286877
0.9676691729323308,-200.51584774079802,-200.74521448236678
0.9714285714285714,-200.57912263620327,-200.76872366186475
0.975187969924812,-200.63930376716414,-200.79223284136276
0.9789473684210527,-200.69611354078,-200.81574202086074
0.9827067669172932,-200.74937064385344,-200.83925120035872
0.9864661654135338,-200.79897569854384,-200.86276037985672
0.9902255639097745,-200.844898419906,-200.8862695593547
0.9939849624060151,-200.88716615354343,-200.90977873885268
0.9977443609022556,-200.92585367950542,-200.9332879183507
1.0015037593984961,-200.96107417603795,-200.95174339479917
1.0052631578947369,-200.99297124388957,-200.96261831667337
1.0090225563909774,-201.02171189858143,-200.97349323854758
1.0127819548872181,-201.04748044439603,-200.9843681604218
1.0165413533834586,-201.07047314983996,-200.995243082296
1.0203007518796992,-201.09089365000014,-201.00611800417022
1.02406015037594,-201.10894900656487,-201.01699292604442
1.0278195488721804,-201.12484636132416,-201.02786784791866
1.0315789473684212,-201.13879012372243,-201.03874276979286
1.0353383458646617,-201.1509796375142,-201.04961769166707
1.0390977443609022,-201.16160727579037,-201.0604926135413
1.042857142857143,-201.17085691760587,-201.0713675354155
1.0466165413533834,-201.17890276316422,-201.0822424572897
1.050375939849624,-201.18590844800977,-201.0931173791639
1.0541353383458647,-201.19202641995736,-201.10399230103815
1.0578947368421052,-201.19739754555897,-201.11486722291235
1.0616541353383457,-201.20215091578285,-201.12574214478656
1.0654135338345865,-201.2064038232667,-201.1366170666608
1.069172932330827,-201.2102618860169,-201.147491988535
1.0729323308270677,-201.21381929476587,-201.1583669104092
1.0766917293233083,-201.21715916338172,-201.1692418322834
1.0804511278195488,-201.22035396375233,-201.18011675415764
1.0842105263157895,-201.22346602845263,-201.19099167603184
1.08796992481203,-201.22654810625326,-201.20186659790605
1.0917293233082705,-201.22964395714956,-201.21274151978028
1.0954887218045113,-201.2327889750898,-201.22361644165449
1.0992481203007518,-201.23601082796594,-201.2344913635287
1.1030075187969923,-201.23933010570715,-201.23975011933422
1.106766917293233,-201.24276096849002,-201.24360483362258
1.1105263157894736,-201.24631178815878,-201.24745954791095
1.1142857142857143,-201.24998577693557,-201.25131426219932
1.1180451127819548,-201.25378159840437,-201.25516897648768
1.1218045112781954,-201.25769395657528,-201.25902369077605
1.125563909774436,-201.26171415958382,-201.2628784050644
1.1293233082706766,-201.26583065525793,-201.26673311935278
1.1330827067669174,-201.27002953639857,-201.27058783364114
1.1368421052631579,-201.27429501417046,-201.2744425479295
1.1406015037593984,-201.2786098584934,-201.27829726221788
1.1443609022556391,-201.28295580476674,-201.28215197650624
1.1481203007518797,-201.28731392664852,-201.2860066907946
1.1518796992481202,-201.29166497495876,-201.28986140508297
1.155639097744361,-201.29598968307633,-201.29371611937137
1.1593984962406014,-201.30026903946342,-201.29757083365973
1.163157894736842,-201.30448452817765,-201.3014255479481
1.1669172932330827,-201.30861833842476,-201.30528026223647
1.1706766917293232,-201.31265354436636,-201.30913497652483
1.174436090225564,-201.31657425653162,-201.3129896908132
1.1781954887218045,-201.32036574628856,-201.31684440510156
1.181954887218045,-201.32401454491486,-201.32069911938993
1.1857142857142857,-201.32750851887064,-201.3245538336783
1.1894736842105262,-201.33083692291822,-201.32840854796666
1.193233082706767,-201.33399043275924,-201.33226326225503
1.1969924812030075,-201.3369611588694,-201.3361179765434
1.200751879699248,-201.33974264320548,-201.33928299321101
1.2045112781954885,-201.34232984044326,-201.33968921939572
1.2082706766917293,-201.34471908537537,-201.34009544558043
1.2120300751879698,-201.3469080480612,-201.34050167176514
1.2157894736842105,-201.34889567827366,-201.34090789794985
1.219548872180451,-201.3506821407343,-201.34131412413456
1.2233082706766916,-201.35226874256793,-201.34172035031926
1.2270676691729323,-201.35365785434362,-201.34212657650397
1.2308270676691728,-201.35485282599907,-201.34253280268868
1.2345864661654136,-201.3558578988728,-201.3429390288734
1.238345864661654,-201.3566781149946,-201.3433452550581
1.2421052631578946,-201.35731922470623,-201.3437514812428
1.2458646616541353,-201.3577875936088,-201.3441577074275
1.2496240601503759,-201.35809010975225,-201.34456393361222
1.2533834586466166,-201.3582340919068,-201.34497015979696
1.2571428571428571,-201.35822719967652,-201.34537638598167
1.2609022556390976,-201.35807734613996,-201.34578261216637
1.2646616541353382,-201.35779261362686,-201.34618883835108
1.268421052631579,-201.35738117316697,-201.3465950645358
1.2721804511278194,-201.3568512080758,-201.3470012907205
1.2759398496240602,-201.35621084207327,-201.3474075169052
1.2796992481203007,-201.35546807226498,-201.34781374308992
1.2834586466165412,-201.35463070725257,-201.34821996927462
1.287218045112782,-201.3537063105795,-201.34862619545933
1.2909774436090224,-201.35270214966104,-201.34903242164404
1.2947368421052632,-201.35162515029376,-201.34943864782875
1.2984962406015037,-201.3504818567888,-201.34984487401346
1.3022556390977442,-201.34927839772644,-201.34901122256912
1.3060150375939847,-201.3480204572856,-201.34735098603872
1.3097744360902255,-201.3467132520613,-201.34569074950835
1.313533834586466,-201.345361513247,-201.34403051297795
1.3172932330827067,-201.34396947402408,-201.34237027644758
1.3210526315789473,-201.342540861972,-201.34071003991718
1.3248120300751878,-201.3410788962852,-201.3390498033868
1.3285714285714285,-201.33958628955875,-201.33738956685642
1.332330827067669,-201.3380652538856,-201.33572933032602
1.3360902255639098,-201.33651751099012,-201.33406909379565
1.3398496240601503,-201.33494430610872,-201.33240885726525
1.3436090225563908,-201.33334642531614,-201.33074862073488
1.3473684210526315,-201.33172421598832,-201.32908838420448
1.351127819548872,-201.33007761008622,-201.3274281476741
1.3548872180451128,-201.3284061499404,-201.3257679111437
1.3586466165413533,-201.3267090162166,-201.32410767461334
1.3624060150375938,-201.32498505774188,-201.32244743808295
1.3661654135338344,-201.32323282287496,-201.32078720155258
1.369924812030075,-201.32145059210853,-201.31912696502218
1.3736842105263156,-201.31963641159857,-201.3174667284918
1.3774436090225564,-201.31778812732364,-201.3158064919614
1.3812030075187969,-201.31590341958736,-201.31414625543104
1.3849624060150374,-201.31397983758796,-201.31248601890064
1.3887218045112781,-201.3120148337916,-201.31082578237027
1.3924812030075187,-201.31000579785956,-201.30916554583987
1.3962406015037594,-201.30795008989367,-201.3075053093095
1.4,-201.30584507277965,-201.3058450727791
1.4037593984962404,-201.30368814342395,-201.30285780195715
1.407518796992481,-201.30147676269638,-201.2998705311352
1.4112781954887217,-201.29920848390694,-201.29688326031325
1.4150375939849624,-201.29688097966346,-201.29389598949132
1.418796992481203,-201.29449206697325,-201.29090871866936
1.4225563909774435,-201.2920397304698,-201.28792144784742
1.426315789473684,-201.28952214366305,-201.28493417702546
1.4300751879699247,-201.28693768812863,-201.28194690620353
1.4338345864661652,-201.28428497056967,-201.27895963538157
1.437593984962406,-201.28156283769997,-201.27597236455964
1.4413533834586465,-201.27877038891558,-201.27298509373767
1.445112781954887,-201.27590698673654,-201.2699978229157
1.4488721804511275,-201.27297226501665,-201.26701055209378
1.4526315789473683,-201.26996613493355,-201.26402328127182
1.456390977443609,-201.2668887887866,-201.26103601044989
1.4601503759398495,-201.26374070164215,-201.25804873962792
1.46390977443609,-201.26052263088027,-201.255061468806
1.4676691729323306,-201.25723561370725,-201.25207419798403
1.4714285714285713,-201.25388096271115,-201.2490869271621
1.475187969924812,-201.25046025954626,-201.24609965634014
1.4789473684210526,-201.24697534684367,-201.24311238551817
1.482706766917293,-201.24342831845163,-201.24012511469624
1.4864661654135336,-201.23982150811898,-201.23713784387428
1.4902255639097743,-201.23615747673983,-201.23415057305235
1.4939849624060149,-201.23243899828535,-201.23116330223039
1.4977443609022556,-201.22866904455128,-201.22817603140845
