bond,energy,loo_polynomial,loo_linear,loo_polynomial_mha,loo_linear_mha
0.9,-200.32204925140297,nan,nan,nan,nan
1.0,-200.94739342604947,nan,0.16803562639623237,nan,168.03562639623237
1.1,-201.23666634790354,nan,0.09336876089176371,nan,93.36876089176371
1.2,-201.33920174797407,nan,0.04586489177864905,nan,45.86489177864905
1.2999999999999998,-201.35000736448734,nan,0.027483954110749664,nan,27.483954110749664
1.4,-201.3058450727791,nan,0.01764955607779939,nan,17.64955607779939
1.5,-201.22638366891528,nan,0.01353082893436408,nan,13.53082893436408
1.5999999999999999,-201.11986060718274,nan,-0.010596213800880605,nan,-10.596213800880605
1.6999999999999997,-201.03452997305197,nan,-0.01249528435329239,nan,-12.49528435329239
1.7999999999999998,-200.9741899076278,nan,-0.014542873558042402,nan,-14.542873558042402
1.9,-200.94293558931972,nan,-0.007931624361248168,nan,-7.9316243612481685
1.9999999999999996,-200.92754451973414,nan,-0.0013003134029929697,nan,-1.3003134029929697
2.0999999999999996,-200.91475407695452,nan,0.0072860729356989395,nan,7.2860729356989395
2.1999999999999997,-200.88739148830354,nan,-0.014484526024091338,nan,-14.484526024091338
2.3,-200.8889979517007,nan,0.0016003961825390434,nan,1.6003961825390434
2.3999999999999995,-200.8874036227328,nan,nan,nan,nan
