angle,polynomial,linear
90.0,-201.2494130318286,-201.24941303183124
90.22556390977444,-200.8939291904941,-201.25002662596748
90.45112781954887,-200.64535066801227,-201.25064022010372
90.67669172932331,-200.48262046225227,-201.25125381423993
90.90225563909775,-200.3879267026488,-201.25186740837617
91.12781954887218,-200.34628838830918,-201.2524810025124
91.35338345864662,-200.3451860351151,-201.25309459664865
91.57894736842105,-200.3742330483345,-201.25370819078486
91.80451127819549,-200.42488397383966,-201.2543217849211
92.03007518796993,-200.4901760941148,-201.25493537905734
92.25563909774436,-200.56450112635815,-201.25554897319358
92.4812030075188,-200.64340405051593,-201.25616256732982
92.70676691729324,-200.72340634615637,-201.25677616146604
92.93233082706767,-200.801851149969,-201.25738975560228
93.15789473684211,-200.8767680615327,-201.25800334973852
93.38345864661655,-200.946755524792,-201.25861694387476
93.60902255639098,-201.01087889750565,-201.259230538011
93.83458646616542,-201.068582491745,-201.2598441321472
94.06015037593986,-201.11961402620054,-201.26045772628345
94.28571428571429,-201.16396007645233,-201.2610713204197
94.51127819548873,-201.20179124332287,-201.26168491455593
94.73684210526315,-201.23341588270586,-201.26229850869214
94.9624060150376,-201.25924135353105,-201.26291210282838
95.18796992481202,-201.2797418445607,-201.26245087115495
95.41353383458646,-201.29543193605224,-201.26177467431958
95.6390977443609,-201.3068451396222,-201.26109847748418
95.86466165413533,-201.31451673951403,-201.2604222806488
96.09022556390977,-201.31897033133023,-201.25974608381344
96.3157894736842,-201.32070752077743,-201.25906988697807
96.54135338345864,-201.32020030544393,-201.2583936901427
96.76691729323308,-201.31788571760865,-201.25771749330733
96.99248120300751,-201.31416235594625,-201.25704129647195
97.21804511278195,-201.30938847914072,-201.25636509963655
97.44360902255639,-201.30388137522095,-201.25568890280118
97.66917293233082,-201.2979177572216,-201.2550127059658
97.89473684210526,-201.29173496888808,-201.25433650913044
98.1203007518797,-201.28553281384563,-201.25366031229507
98.34586466165413,-201.27947584827297,-201.2529841154597
98.57142857142857,-201.273696000872,-201.25230791862433
98.796992481203,-201.26829540507782,-201.25163172178893
99.02255639097744,-201.26334934722232,-201.25095552495355
99.24812030075188,-201.2589092509655,-201.25027932811818
99.47368421052632,-201.2550056329319,-201.2496031312828
99.69924812030075,-201.25165097731568,-201.24892693444744
99.92481203007519,-201.24884248842397,-201.24825073761207
100.15037593984962,-201.24656468985194,-201.24819269863076
100.37593984962406,-201.2447918473939,-201.2484437385765
100.6015037593985,-201.24349019999121,-201.24869477852224
100.82706766917293,-201.24261998916,-201.24894581846797
101.05263157894737,-201.24213728250984,-201.2491968584137
101.2781954887218,-201.24199559128255,-201.24944789835942
101.50375939849624,-201.2421472853934,-201.24969893830516
101.72932330827068,-201.2425448123389,-201.2499499782509
101.95488721804512,-201.24314172861548,-201.25020101819663
102.18045112781955,-201.24389355405873,-201.25045205814237
102.40601503759399,-201.24475846081592,-201.2507030980881
102.63157894736842,-201.24569780957398,-201.25095413803385
102.85714285714286,-201.2466765462334,-201.25120517797959
103.0827067669173,-201.24766347249266,-201.25145621792532
103.30827067669173,-201.24863140383704,-201.25170725787106
103.53383458646617,-201.24955722824444,-201.2519582978168
103.7593984962406,-201.25042187857053,-201.2522093377625
103.98496240601503,-201.25121023108392,-201.25246037770825
104.21052631578948,-201.2519109420205,-201.25271141765398
104.4360902255639,-201.25251623333844,-201.25296245759972
104.66165413533835,-201.2530216381045,-201.25321349754546
104.88721804511277,-201.25342571514753,-201.2534645374912
105.11278195488721,-201.2537297417932,-201.25356120788518
105.33834586466165,-201.25393739266258,-201.25350350872745
105.56390977443608,-201.25405441168166,-201.25344580956968
105.78947368421052,-201.25408828363095,-201.25338811041192
106.01503759398496,-201.25404791076133,-201.25333041125418
106.2406015037594,-201.25394329923185,-201.25327271209642
106.46616541353383,-201.25378525938595,-201.25321501293865
106.69172932330827,-201.2535851231834,-201.25315731378092
106.9172932330827,-201.25335448144943,-201.25309961462315
107.14285714285714,-201.25310494299072,-201.25304191546542
107.36842105263158,-201.2528479170643,-201.25298421630765
107.59398496240601,-201.25259442016986,-201.2529265171499
107.81954887218045,-201.25235490766914,-201.25286881799215
108.04511278195488,-201.25213913031664,-201.2528111188344
108.27067669172932,-201.2519560154157,-201.25275341967662
108.49624060150376,-201.25181357198878,-201.2526957205189
108.7218045112782,-201.25171881907107,-201.25263802136112
108.94736842105263,-201.25167773599944,-201.25258032220339
109.17293233082707,-201.251695233373,-201.25252262304562
109.3984962406015,-201.25177514320401,-201.25246492388786
109.62406015037594,-201.25192022665595,-201.25240722473012
109.84962406015038,-201.25213219767832,-201.25234952557236
110.07518796992481,-201.25241176079018,-201.25256007383828
110.30075187969925,-201.25275866123613,-201.25330711695162
110.52631578947368,-201.25317174573473,-201.25405416006492
110.75187969924812,-201.25364903205934,-201.25480120317826
110.97744360902256,-201.25418778573138,-201.25554824629157
111.203007518797,-201.2547846021635,-201.2562952894049
111.42857142857143,-201.255435492664,-201.2570423325182
111.65413533834587,-201.25613597279843,-201.25778937563155
111.8796992481203,-201.25688115170325,-201.25853641874485
112.10526315789474,-201.25766582104978,-201.25928346185816
112.33082706766918,-201.25848454246966,-201.2600305049715
112.55639097744361,-201.2593317323697,-201.2607775480848
112.78195488721805,-201.26020174318322,-201.26152459119814
113.00751879699249,-201.261088940226,-201.26227163431145
113.23308270676691,-201.261987773446,-201.26301867742478
113.45864661654136,-201.26289284347547,-201.2637657205381
113.68421052631578,-201.2637989615096,-201.26451276365142
113.90977443609023,-201.26470120265128,-201.26525980676473
114.13533834586465,-201.26559495246698,-201.26600684987804
114.3609022556391,-201.26647594660434,-201.26675389299137
114.58646616541353,-201.2673403034168,-201.26750093610468
114.81203007518798,-201.26818454963237,-201.26824797921802
115.0375939849624,-201.26900563918574,-201.26895460031216
115.26315789473685,-201.26980096540876,-201.2694591113104
115.48872180451127,-201.27056836684258,-201.26996362230864
115.71428571428571,-201.2713061269943,-201.2704681333069
115.93984962406014,-201.27201296841358,-201.27097264430515
116.16541353383458,-201.27268804150916,-201.2714771553034
116.39097744360902,-201.2733309085611,-201.27198166630163
116.61654135338345,-201.27394152341463,-201.2724861772999
116.84210526315789,-201.2745202073621,-201.27299068829814
117.06766917293233,-201.2750676217348,-201.27349519929638
117.29323308270676,-201.27558473773402,-201.27399971029462
117.5187969924812,-201.27607280403205,-201.27450422129286
117.74436090225564,-201.27653331266913,-201.27500873229113
117.96992481203007,-201.27696796376281,-201.27551324328937
118.19548872180451,-201.2773786295304,-201.2760177542876
118.42105263157895,-201.27776731810542,-201.27652226528585
118.64661654135338,-201.27813613760569,-201.27702677628412
118.87218045112782,-201.2784872608818,-201.27753128728236
119.09774436090225,-201.2788228913458,-201.2780357982806
119.32330827067669,-201.27914523024424,-201.27854030927884
119.54887218045113,-201.27945644570673,-201.2790448202771
119.77443609022556,-201.27975864386158,-201.27954933127535
120.0,-201.28005384227345,-201.2800538422736
120.22556390977444,-201.28034394591742,-201.28036133394133
120.45112781954887,-201.28063072586545,-201.28066882560907
120.67669172932331,-201.28091580082068,-201.28097631727684
120.90225563909775,-201.2812006215969,-201.28128380894458
121.12781954887218,-201.28148645860173,-201.28159130061232
121.35338345864662,-201.28177439234568,-201.28189879228006
121.57894736842105,-201.28206530696244,-201.2822062839478
121.80451127819549,-201.2823598866941,-201.28251377561557
122.03007518796991,-201.28265861526066,-201.2828212672833
122.25563909774436,-201.28296177800584,-201.28312875895105
122.48120300751879,-201.28326946668236,-201.2834362506188
122.70676691729324,-201.2835815867165,-201.28374374228653
122.93233082706766,-201.2838978667689,-201.2840512339543
123.15789473684211,-201.2842178703899,-201.28435872562204
123.38345864661653,-201.28454100955128,-201.28466621728978
123.60902255639098,-201.28486655982317,-201.28497370895752
123.8345864661654,-201.2851936769538,-201.28528120062526
