bond,angle,energy,held_out,holdout_polynomial_mha,holdout_linear_mha
0.9,90.0,-199.86963020576846,False,nan,nan
0.9,100.0,-199.97729899304957,True,-2.8881306643029347,7.185944255297727
0.9,110.0,-200.0705958918201,False,nan,nan
0.9,120.0,-200.19591810994282,True,25.28249452367959,25.864292502319586
0.9,130.0,-200.26951174306092,False,nan,nan
0.9,140.0,-200.30724844572055,True,11.555502289411379,11.35180854262785
0.9,150.0,-200.32228153129492,False,nan,nan
0.9,160.0,-200.318792122951,True,-13.260248257068952,0.9557679322256263
0.9,170.0,-200.31339117874265,False,nan,nan
0.9,180.0,-200.31170898813693,True,3.747315928961825,2.7629856704436406
1.05,90.0,-200.90974772206084,True,100.9927414112326,346.9837314079598
1.05,100.0,-200.9435609300489,True,86.99551456507493,331.8198020045031
1.05,110.0,-200.98069910397987,True,69.02047263133682,319.9808385439553
1.05,120.0,-201.047673359579,True,84.51955953881907,326.0456817102977
1.05,130.0,-201.07436164217282,True,71.08939194264963,291.82455187131495
1.05,140.0,-201.09207284013513,True,64.53537267026377,294.678582333745
1.05,150.0,-201.09634057349626,True,61.66547933059974,284.08914819499387
1.05,160.0,-201.09174752324793,True,65.11459361900052,285.275199183161
1.05,170.0,-201.08287795577303,True,74.29702574705743,282.1847329446996
1.05,180.0,-201.0831614896738,True,94.25028127097335,288.2473680819544
1.2000000000000002,90.0,-201.25589777553728,False,nan,nan
1.2000000000000002,100.0,-201.2538637095919,True,20.237554523788504,0.4945022974141011
1.2000000000000002,110.0,-201.25084063905172,False,nan,nan
1.2000000000000002,120.0,-201.29343541881852,True,11.443296613776965,20.233880521601577
1.2000000000000002,130.0,-201.2955624375421,False,nan,nan
1.2000000000000002,140.0,-201.29994851364154,True,-7.529092215833089,1.0566352166847537
1.2000000000000002,150.0,-201.30222131930762,False,nan,nan
1.2000000000000002,160.0,-201.2947763783906,True,7.554012081186556,-0.3319147201921169
1.2000000000000002,170.0,-201.28799526691395,False,nan,nan
1.2000000000000002,180.0,-201.28442227715811,True,34.50160331414054,3.540036440995209
1.35,90.0,-201.3045126435604,True,-7.7888164572357255,64.76605266755087
1.35,100.0,-201.28771662687038,True,-12.04226977711187,56.763657996981465
1.35,110.0,-201.28400996312868,True,-19.094090568074762,61.850616274711
1.35,120.0,-201.29148247637028,True,-19.96943869471579,65.63302738675247
1.35,130.0,-201.2744736581808,True,-42.665963346081526,44.93410706771783
1.35,140.0,-201.28337335713795,True,-32.35311359389925,53.79535621679565
1.35,150.0,-201.2751958536533,True,-30.798063551088717,45.57940292403373
1.35,160.0,-201.26570193909785,True,-24.24363324618639,41.43030978522688
1.35,170.0,-201.26007176166073,True,-12.735442764551408,41.1449537647286
1.35,180.0,-201.2465260281775,True,-16.50071041987644,32.94404169812992
1.5,90.0,-201.22359540624842,False,nan,nan
1.5,100.0,-201.20232431968185,True,-2.858490525824209,-6.212410770473298
1.5,110.0,-201.19347805465623,False,nan,nan
1.5,120.0,-201.18413146396765,True,-13.532663610249074,5.6341042975134314
1.5,130.0,-201.16351666468404,False,nan,nan
1.5,140.0,-201.1640576923273,True,-30.269097689284763,3.7935689098560488
1.5,150.0,-201.1570115821509,False,nan,nan
1.5,160.0,-201.15220082779678,True,-20.556226835708458,-1.2341377176880997
1.5,170.0,-201.14985834887804,False,nan,nan
1.5,180.0,-201.073034817485,True,-89.06087104884364,-73.24691475662348
1.6500000000000001,90.0,-201.08542215185437,True,-8.704276544222012,-4.030976426605548
1.6500000000000001,100.0,-201.06072653667528,True,-1.2201448637938483,-21.487487496813173
1.6500000000000001,110.0,-201.05890389842045,True,8.526516846785626,-16.071021642744654
1.6500000000000001,120.0,-201.0366891335675,True,-11.900190937637944,-32.70968073923086
1.6500000000000001,130.0,-201.03157552793186,True,-17.39993527942829,-32.247180618384164
1.6500000000000001,140.0,-201.03870674127518,True,-8.444166169539358,-24.959980039938046
1.6500000000000001,150.0,-201.04083692549716,True,-1.1159983359334547,-22.673808582823085
1.6500000000000001,160.0,-201.0413553941485,True,5.914458269444367,-20.977369181878203
1.6500000000000001,170.0,-201.04225054809743,True,9.35402413722386,-18.90424448336603
1.6500000000000001,180.0,-200.94072660946242,True,-102.09681586661645,-119.25021236876887
1.8000000000000003,90.0,-200.95531085031354,False,nan,nan
1.8000000000000003,100.0,-200.95141353879606,True,7.484626558891705,-4.477779095822143
1.8000000000000003,110.0,-200.9564717854702,False,nan,nan
1.8000000000000003,120.0,-200.96072202140633,True,26.704334992757595,0.4217524629837044
1.8000000000000003,130.0,-200.96412875241646,False,nan,nan
1.8000000000000003,140.0,-200.9668370850384,True,26.93630248418799,-0.23223417437634453
1.8000000000000003,150.0,-200.97000988600908,False,nan,nan
1.8000000000000003,160.0,-200.97096285913048,True,31.35190453738801,-0.26770201580461617
1.8000000000000003,170.0,-200.97245123628352,False,nan,nan
