degree,max_mha,rms_mha,mae_mha
1,335.3913800596331,180.41743085109496,148.41732989643018
2,314.1513463289414,177.48828470940896,153.47967458107397
3,176.24315667788437,100.71223422852694,89.52473116330444
4,70.03485216623062,31.839615298921153,25.71232219250216
5,34.81179893105946,15.916612318923654,12.745157134667854
6,37.33778826514822,17.33193101936564,14.62209114005881
7,42.288903609062345,14.623367601388118,10.330129550534853
8,36.6521913647091,15.588864041434043,10.445276293375676
9,10.353310736263666,5.233205223828668,4.278185256012534
10,50.31252094778438,15.258918611634082,8.709694494661287
11,83.05361492978136,31.500011519094326,17.064817518800623
12,43.31941454481125,12.540858468848029,6.737598239368481
13,407.80666229028384,119.14303081798107,51.870632420719936
14,2805.375488611645,1071.751584918773,479.7737919954394
