distance,polynomial,linear
0.9,-147.1711322620997,-147.1711322620995
0.9020025031289112,-147.18096282142662,-147.1759903935767
0.9040050062578223,-147.19063228382268,-147.1808485250539
0.9060075093867335,-147.20014326125627,-147.18570665653112
0.9080100125156446,-147.20949832657934,-147.19056478800832
0.9100125156445558,-147.21870001399628,-147.19542291948554
0.9120150187734669,-147.2277508195289,-147.20028105096273
0.914017521902378,-147.23665320147737,-147.20513918243995
0.9160200250312891,-147.24540958087726,-147.20999731391714
0.9180225281602002,-147.25402234195255,-147.21485544539436
0.9200250312891114,-147.2624938325646,-147.21971357687156
0.9220275344180225,-147.27082636465744,-147.22457170834878
0.9240300375469337,-147.27902221469893,-147.22942983982597
0.9260325406758448,-147.28708362411822,-147.2342879713032
0.928035043804756,-147.29501279973925,-147.2391461027804
0.9300375469336671,-147.30281191421037,-147.2440042342576
0.9320400500625783,-147.31048310643035,-147.24886236573482
0.9340425531914894,-147.31802848197043,-147.25372049721202
0.9360450563204006,-147.3254501134926,-147.25857862868924
0.9380475594493116,-147.3327500411642,-147.26343676016643
0.9400500625782228,-147.33993027306877,-147.26829489164365
0.9420525657071339,-147.34699278561328,-147.27315302312084
0.9440550688360451,-147.35393952393142,-147.27801115459806
0.9460575719649562,-147.36077240228352,-147.28286928607525
0.9480600750938674,-147.36749330445264,-147.28772741755247
0.9500625782227785,-147.37410408413714,-147.29258554902967
0.9520650813516897,-147.38060656533958,-147.2974436805069
0.9540675844806008,-147.38700254275207,-147.3023018119841
0.956070087609512,-147.39329378213802,-147.3071599434613
0.9580725907384231,-147.39948202071045,-147.31201807493852
0.9600750938673343,-147.4055689675067,-147.3168762064157
0.9620775969962454,-147.41155630375957,-147.32173433789293
0.9640801001251564,-147.41744568326516,-147.32659246937013
0.9660826032540676,-147.4232387327471,-147.33145060084735
0.9680851063829787,-147.42893705221752,-147.33630873232454
0.9700876095118899,-147.43454221533426,-147.34116686380176
0.972090112640801,-147.4400557697551,-147.34602499527895
0.9740926157697122,-147.4454792374883,-147.35088312675617
0.9760951188986233,-147.45081411524,-147.35574125823337
0.9780976220275345,-147.45606187475806,-147.3605993897106
0.9801001251564456,-147.4612239631728,-147.3654575211878
0.9821026282853568,-147.4663018033343,-147.370315652665
0.9841051314142679,-147.47129679414644,-147.37517378414222
0.9861076345431791,-147.4762103108978,-147.3800319156194
0.9881101376720902,-147.48104370558914,-147.38489004709663
0.9901126408010013,-147.4857983072578,-147.38974817857383
0.9921151439299124,-147.4904754222988,-147.39460631005105
0.9941176470588236,-147.49507633478285,-147.39946444152824
0.9961201501877347,-147.49960230677118,-147.40432257300546
0.9981226533166458,-147.5040545786272,-147.40918070448265
1.000125156445557,-147.50843436932502,-147.41403883595987
1.0021276595744681,-147.51274287675488,-147.41889696743706
1.0041301627033792,-147.51698127802564,-147.42375509891428
1.0061326658322904,-147.52115072976386,-147.4286132303915
1.0081351689612015,-147.52525236841032,-147.4334713618687
1.0101376720901127,-147.529287310513,-147.43832949334592
1.0121401752190238,-147.53325665301756,-147.4431876248231
1.014142678347935,-147.5371614735543,-147.44804575630033
1.016145181476846,-147.54100283072268,-147.45290388777752
1.0181476846057573,-147.54478176437246,-147.45776201925474
1.0201501877346684,-147.5484992958822,-147.46262015073194
1.0221526908635796,-147.5521564284347,-147.46747828220916
1.0241551939924907,-147.55575414728955,-147.47233641368635
1.026157697121402,-147.5592934200529,-147.47719454516357
1.028160200250313,-147.5627751969443,-147.48205267664076
