bond,polynomial,linear
0.85,-55.33292986493272,-55.332929347212044
0.850938673341677,-55.334624482771524,-55.33416155351056
0.8518773466833541,-55.336306284952194,-55.33539375980908
0.8528160200250313,-55.33797530472004,-55.3366259661076
0.8537546933667084,-55.33963157602179,-55.337858172406115
0.8546933667083855,-55.341275133486334,-55.33909037870463
0.8556320400500625,-55.34290601240586,-55.34032258500315
0.8565707133917396,-55.34452424871722,-55.34155479130167
0.8575093867334167,-55.346129878983554,-55.342786997600186
0.8584480600750939,-55.34772294037624,-55.3440192038987
0.859386733416771,-55.349303470657105,-55.34525141019722
0.860325406758448,-55.350871508160914,-55.34648361649574
0.8612640801001251,-55.35242709177808,-55.34771582279426
0.8622027534418022,-55.35397026093773,-55.348948029092774
0.8631414267834793,-55.355501055590935,-55.35018023539129
0.8640801001251565,-55.357019516194306,-55.35141244168981
0.8650187734668335,-55.35852568369376,-55.35264464798833
0.8659574468085106,-55.3600195995086,-55.353876854286845
0.8668961201501877,-55.3615013055158,-55.35510906058536
0.8678347934918648,-55.36297084403461,-55.35634126688388
0.8687734668335418,-55.36442825781134,-55.3575734731824
0.869712140175219,-55.36587359000443,-55.358805679480916
0.8706508135168961,-55.367306884169764,-55.360037885779434
0.8715894868585732,-55.36872818424619,-55.36127009207795
0.8725281602002503,-55.370137534541335,-55.36250229837647
0.8734668335419273,-55.3715349797176,-55.36373450467499
0.8744055068836045,-55.37292056477844,-55.364966710973505
0.8753441802252816,-55.37429433505482,-55.36619891727202
0.8762828535669587,-55.37565633619196,-55.36743112357054
0.8772215269086358,-55.377006614136256,-55.36866332986906
0.8781602002503128,-55.378345215122444,-55.369895536167576
0.8790988735919899,-55.37967218566101,-55.37112774246609
0.8800375469336671,-55.38098757252576,-55.37235994876461
0.8809762202753442,-55.38229142274169,-55.37359215506313
0.8819148936170212,-55.383583783572966,-55.37482436136165
0.8828535669586983,-55.38486470251124,-55.376056567660164
0.8837922403003754,-55.38613422726404,-55.37728877395868
0.8847309136420525,-55.387392405743505,-55.3785209802572
0.8856695869837297,-55.388639286055195,-55.37975318655572
0.8866082603254067,-55.389874916487216,-55.380985392854235
0.8875469336670838,-55.39109934549948,-55.38221759915275
0.8884856070087609,-55.392312621713145,-55.38344980545127
0.889424280350438,-55.39351479390036,-55.38468201174979
0.8903629536921152,-55.394705910974054,-55.385914218048306
0.8913016270337922,-55.39588602197803,-55.38714642434683
0.8922403003754693,-55.397055176077224,-55.38837863064535
0.8931789737171464,-55.3982134225481,-55.389610836943866
0.8941176470588235,-55.39936081076931,-55.390843043242384
0.8950563204005005,-55.40049739021245,-55.3920752495409
0.8959949937421777,-55.4016232104331,-55.39330745583942
0.8969336670838548,-55.40273832106192,-55.39453966213794
0.8978723404255319,-55.40384277179605,-55.395771868436455
0.898811013767209,-55.404936612390586,-55.39700407473497
0.899749687108886,-55.40601989265028,-55.39823628103349
0.9006883604505631,-55.407092662421384,-55.39946848733201
0.9016270337922403,-55.40815497158369,-55.400700693630526
0.9025657071339174,-55.40920687004271,-55.401932899929044
0.9035043804755944,-55.41024840772204,-55.40316510622756
