angle,polynomial,linear
96.0,-55.46782181206716,-55.46782163643242
96.03003754693367,-55.467864250022174,-55.46785719527371
96.06007509386734,-55.467906574645866,-55.467892754115
96.090112640801,-55.4679487847298,-55.46792831295628
96.12015018773467,-55.46799087908619,-55.46796387179757
96.15018773466834,-55.46803285654767,-55.46799943063886
96.180225281602,-55.46807471596711,-55.46803498948015
96.21026282853568,-55.468116456217345,-55.468070548321435
96.24030037546933,-55.468158076190974,-55.468106107162725
96.270337922403,-55.468199574800174,-55.468141666004016
96.30037546933667,-55.46824095097645,-55.468177224845306
96.33041301627034,-55.468282203670455,-55.46821278368659
96.36045056320401,-55.46832333185173,-55.46824834252788
96.39048811013767,-55.46836433450856,-55.46828390136917
96.42052565707134,-55.46840521064769,-55.46831946021046
96.45056320400501,-55.468445959294186,-55.46835501905174
96.48060075093868,-55.4684865794912,-55.46839057789303
96.51063829787235,-55.46852707029975,-55.46842613673432
96.540675844806,-55.46856743079854,-55.46846169557561
96.57071339173967,-55.46860766008375,-55.4684972544169
96.60075093867334,-55.46864775726884,-55.468532813258186
96.63078848560701,-55.46868772148434,-55.468568372099476
96.66082603254067,-55.46872755187767,-55.468603930940766
96.69086357947434,-55.468767247612924,-55.468639489782056
96.72090112640801,-55.468806807870685,-55.46867504862334
96.75093867334168,-55.46884623184783,-55.46871060746463
96.78097622027535,-55.46888551875733,-55.46874616630592
96.811013767209,-55.4689246678281,-55.46878172514721
96.84105131414267,-55.46896367830473,-55.46881728398849
96.87108886107634,-55.469002549447374,-55.46885284282978
96.90112640801001,-55.469041280531506,-55.46888840167107
96.93116395494368,-55.46907987084779,-55.46892396051236
96.96120150187734,-55.46911831970184,-55.468959519353646
96.99123904881101,-55.469156626414076,-55.468995078194936
97.02127659574468,-55.46919479031952,-55.46903063703623
97.05131414267835,-55.469232810767615,-55.46906619587752
97.08135168961202,-55.46927068712207,-55.46910175471881
97.11138923654568,-55.469308418760654,-55.46913731356009
97.14142678347935,-55.46934600507504,-55.46917287240138
97.17146433041302,-55.46938344547061,-55.46920843124267
97.20150187734669,-55.469420739366306,-55.46924399008396
97.23153942428036,-55.46945788619442,-55.46927954892524
97.26157697121401,-55.469494885400465,-55.46931510776653
97.29161451814768,-55.46953173644296,-55.46935066660782
97.32165206508135,-55.46956843879332,-55.469386225449114
97.35168961201502,-55.46960499193562,-55.4694217842904
97.38172715894869,-55.46964139536647,-55.46945734313169
97.41176470588235,-55.46967764859485,-55.46949290197298
97.44180225281602,-55.46971375114193,-55.46952846081427
97.47183979974969,-55.46974970254091,-55.46956401965555
97.50187734668336,-55.46978550233686,-55.46959957849684
97.53191489361703,-55.469821150086574,-55.46963513733813
97.56195244055068,-55.46985664535839,-55.46967069617942
97.59198998748435,-55.469891987732034,-55.46970625502071
97.62202753441802,-55.46992717679847,-55.469741813861994
97.6520650813517,-55.46996221215976,-55.469777372703284
97.68210262828535,-55.46999709342887,-55.469812931544574
97.71214017521902,-55.47003182022956,-55.469848490385864
97.74217772215269,-55.47006639219618,-55.46988404922715
97.77221526908636,-55.4701008089736,-55.46991960806844
97.80225281602003,-55.47013507021697,-55.46995516690973
97.83229036295369,-55.47016917559162,-55.46999072575102
97.86232790988736,-55.47020312477292,-55.4700262845923
97.89236545682103,-55.470236917446115,-55.47006184343359
97.9224030037547,-55.47027055330618,-55.47009740227488
97.95244055068837,-55.47030403205766,-55.47013296111617
97.98247809762202,-55.4703373534146,-55.470168519957454
98.01251564455569,-55.47037051710031,-55.470204078798744
98.04255319148936,-55.47040352284726,-55.470239637640034
98.07259073842303,-55.47043637039699,-55.470275196481325
98.1026282853567,-55.4704690594999,-55.470310755322615
98.13266583229036,-55.47050158991513,-55.4703463141639
98.16270337922403,-55.47053396141048,-55.47038187300519
98.1927409261577,-55.470566173762194,-55.47041743184648
98.22277847309137,-55.47059822675488,-55.47045299068777
98.25281602002504,-55.47063012018137,-55.47048854952905
98.28285356695869,-55.47066185384256,-55.47052410837034
98.31289111389236,-55.470693427547324,-55.47055966721163
98.34292866082603,-55.47072484111236,-55.47059522605292
98.3729662077597,-55.47075609436205,-55.470630784894205
98.40300375469337,-55.47078718712837,-55.470666343735495
98.43304130162703,-55.47081811925073,-55.470701902576785
98.4630788485607,-55.470848890575866,-55.470737461418075
98.49311639549437,-55.47087950095771,-55.47077302025936
98.52315394242804,-55.47090995025728,-55.47080857910065
98.55319148936171,-55.470940238342536,-55.47084413794194
98.58322903629536,-55.47097036508829,-55.47087969678323
98.61326658322903,-55.47100033037607,-55.47091525562452
98.6433041301627,-55.471030134093986,-55.4709508144658
98.67334167709637,-55.471059776136656,-55.47098637330709
98.70337922403004,-55.47108925640504,-55.47102193214838
98.7334167709637,-55.47111857480636,-55.47105749098967
98.76345431789737,-55.47114773125399,-55.471093049830955
98.79349186483104,-55.47117672566731,-55.471128608672245
98.82352941176471,-55.471205557971636,-55.471164167513535
98.85356695869837,-55.471234228098055,-55.471199726354826
98.88360450563204,-55.47126273598338,-55.47123528519611
98.9136420525657,-55.471291081569994,-55.4712708440374
98.94367959949938,-55.47131926480577,-55.47130640287869
98.97371714643305,-55.47134728564395,-55.47134196171998
99.0037546933667,-55.47137514404304,-55.4713755384782
99.03379224030037,-55.47140283996671,-55.471395240654985
99.06382978723404,-55.47143037338369,-55.47141494283177
99.09386733416771,-55.471457744267674,-55.47143464500855
99.12390488110138,-55.47148495259721,-55.471454347185336
99.15394242803504,-55.471511998355595,-55.471474049362115
99.18397997496871,-55.4715388815308,-55.4714937515389
99.21401752190238,-55.47156560211534,-55.47151345371569
99.24405506883605,-55.471592160106205,-55.471533155892466
99.27409261576972,-55.47161855550474,-55.47155285806925
99.30413016270337,-55.47164478831657,-55.47157256024603
99.33416770963704,-55.471670858551484,-55.47159226242282
99.36420525657071,-55.47169676622338,-55.471611964599596
99.39424280350438,-55.47172251135012,-55.47163166677638
99.42428035043805,-55.47174809395349,-55.47165136895317
99.45431789737171,-55.47177351405906,-55.47167107112995
99.48435544430538,-55.47179877169614,-55.47169077330673
99.51439299123905,-55.47182386689769,-55.47171047548351
99.54443053817272,-55.47184879970016,-55.4717301776603
99.57446808510639,-55.47187357014352,-55.471749879837084
99.60450563204004,-55.47189817827108,-55.47176958201386
99.63454317897371,-55.47192262412944,-55.47178928419065
99.66458072590738,-55.47194690776841,-55.47180898636743
99.69461827284105,-55.47197102924093,-55.471828688544214
