bond,angle,energy,held_out,holdout_polynomial_mha,holdout_linear_mha
0.85,96.0,-55.310171774812346,False,nan,nan
0.975,96.0,-55.453638177783134,True,12.361435189262693,64.07205943658312
1.1,96.0,-55.46896046188075,False,nan,nan
1.225,96.0,-55.420635058899556,True,-5.507704264829272,14.249014973650276
1.35,96.0,-55.34381162597107,False,nan,nan
1.475,96.0,-55.25706036284725,True,9.711680347557206,-1.0839185908935178
1.6,96.0,-55.17247693690521,False,nan,nan
0.85,100.0,-55.32097072814753,True,2.5372529831599877,1.409362706304762
0.975,100.0,-55.459382400476635,True,14.771507672051598,65.06742496915052
1.1,100.0,-55.47059668838062,True,0.6322588502385429,1.528102806865661
1.225,100.0,-55.41924871531975,True,-5.6742147200807835,15.204120744932936
1.35,100.0,-55.34061334373631,True,0.6981047052363465,1.5927401604116653
1.475,100.0,-55.25395945347903,True,8.589252276841819,0.5120620928806829
1.6,100.0,-55.169065579673635,True,-2.651081577617731,1.1914004772393127
0.85,104.0,-55.3289509560701,False,nan,nan
0.975,104.0,-55.46230994287865,True,14.716078772693209,63.246110210215534
1.1,104.0,-55.469176709266755,False,nan,nan
1.225,104.0,-55.41459567432386,True,-6.854886996570997,12.892529100128058
1.35,104.0,-55.33422958118072,False,nan,nan
1.475,104.0,-55.247605420120664,True,8.367592496355769,-1.145081213486776
1.6,104.0,-55.16327142148758,False,nan,nan
0.85,108.0,-55.334571175856226,True,1.2651100829259576,0.9174200186805592
0.975,108.0,-55.46271434661204,True,13.483382933785037,64.2275835346453
1.1,108.0,-55.46462684258717,True,-1.6028056627632736,1.3070722699310977
1.225,108.0,-55.4068618329137,True,-7.86913127274147,14.217912820463141
1.35,108.0,-55.32395492324811,True,-1.2088329377633045,1.9868533788738318
1.475,108.0,-55.2360819082554,True,8.12503930907127,-0.3087161203509936
1.6,108.0,-55.15346595954232,True,-0.07318762358465847,2.6527806600427084
0.85,112.0,-55.33835655560498,False,nan,nan
0.975,112.0,-55.46083070235724,True,12.303203655505968,62.92100887088736
1.1,112.0,-55.45746283136773,False,nan,nan
1.225,112.0,-55.395098748271565,True,-8.670697546556028,11.514053308829375
1.35,112.0,-55.30970655855775,False,nan,nan
1.475,112.0,-55.22136538580526,True,10.832753456739397,-2.6653616121024015
1.6,112.0,-55.13835493627696,False,nan,nan
0.85,116.0,-55.34060841594993,True,-2.010695608063884,0.507080874918131
0.975,116.0,-55.45713221979361,True,12.643443436950008,63.6143040219892
1.1,116.0,-55.44792568672233,True,-1.4042086808814247,0.9911902541048789
1.225,116.0,-55.37949420043229,True,-8.07711296344138,13.354996742982905
1.35,116.0,-55.2887370421243,True,-0.904832908027231,3.3931312139117153
1.475,116.0,-55.19817249488142,True,12.202069870305365,3.6333725150257123
1.6,116.0,-55.115255702197324,True,8.269894167163727,11.521368374921792
0.85,120.0,-55.34184611454504,False,nan,nan
0.975,120.0,-55.45214436578355,True,16.024261960254194,63.01822772667265
1.1,120.0,-55.43640616156872,False,nan,nan
1.225,120.0,-55.36066290644647,True,-4.478967653071209,11.969194030591268
1.35,120.0,-55.260981263263034,False,nan,nan
1.475,120.0,-55.16000074440661,True,6.725190292208083,-5.0467529088251695
1.6,120.0,-55.069113731367835,False,nan,nan
