distance,polynomial,linear
0.9,-7.722834554681551,-7.722834554681542
0.9037546933667084,-7.725586387626105,-7.7245968672774605
0.9075093867334167,-7.728298808305449,-7.726359179873378
0.9112640801001252,-7.73097235061508,-7.728121492469296
0.9150187734668336,-7.7336075405606275,-7.7298838050652146
0.9187734668335419,-7.736204896376242,-7.731646117661133
0.9225281602002503,-7.738764928641365,-7.73340843025705
0.9262828535669587,-7.741288140395909,-7.735170742852969
0.9300375469336671,-7.743775027253867,-7.736933055448887
0.9337922403003754,-7.746226077515351,-7.738695368044805
0.9375469336670839,-7.748641772277102,-7.740457680640723
0.9413016270337923,-7.7510225855414685,-7.742219993236641
0.9450563204005006,-7.75336898432388,-7.743982305832559
0.948811013767209,-7.755681428758835,-7.745744618428477
0.9525657071339174,-7.7579603722044075,-7.747506931024395
0.9563204005006258,-7.760206261345309,-7.749269243620313
0.9600750938673341,-7.762419536294504,-7.7510315562162315
0.9638297872340426,-7.7646006306934074,-7.752793868812149
0.967584480600751,-7.766749971810669,-7.754556181408067
0.9713391739674593,-7.768867980639579,-7.7563184940039855
0.9750938673341677,-7.770955071994085,-7.758080806599904
0.9788485607008761,-7.773011654603474,-7.759843119195821
0.9826032540675844,-7.775038131205684,-7.76160543179174
0.9863579474342928,-7.777034898639314,-7.763367744387658
0.9901126408010013,-7.779002347934308,-7.765130056983576
0.9938673341677096,-7.780940864401354,-7.766892369579494
0.997622027534418,-7.782850827719996,-7.768654682175412
1.0013767209011264,-7.784732612025489,-7.77041699477133
1.0051314142678347,-7.786586585994391,-7.772179307367248
1.0088861076345432,-7.78841311292894,-7.773941619963166
1.0126408010012515,-7.790212550840195,-7.775703932559084
1.0163954943679598,-7.7919852525299795,-7.7774662451550025
1.0201501877346684,-7.7937315656716315,-7.77922855775092
1.0239048811013767,-7.795451832889581,-7.780990870346838
1.027659574468085,-7.797146391837765,-7.7827531829427565
1.0314142678347935,-7.798815575276887,-7.784515495538675
1.0351689612015018,-7.800459711150557,-7.786277808134592
1.0389236545682101,-7.802079122660303,-7.7880401207305106
1.0426783479349186,-7.803674128339473,-7.789802433326429
1.046433041301627,-7.805245042126058,-7.791564745922346
1.0501877346683353,-7.806792173434421,-7.793327058518265
1.0539424280350438,-7.808315827225975,-7.795089371114183
1.057697121401752,-7.809816304078796,-7.796851683710101
1.0614518147684606,-7.81129390025621,-7.798613996306019
1.065206508135169,-7.812748907774344,-7.800376308901937
1.0689612015018772,-7.814181614468668,-7.802138621497855
1.0727158948685858,-7.815592304059545,-7.8039009340937735
1.076470588235294,-7.816981256216775,-7.805663246689691
1.0802252816020024,-7.818348746623185,-7.807425559285609
1.083979974968711,-7.819695047037244,-7.8091878718815275
1.0877346683354192,-7.821020425354733,-7.810950184477445
1.0914893617021275,-7.822325145669475,-7.812712497073363
1.095244055068836,-7.823609468333144,-7.8144748096692815
1.0989987484355443,-7.824873650014156,-7.8162371222652
1.1027534418022527,-7.826117943755657,-7.817999434861117
1.1065081351689612,-7.827342599032633,-7.819761747457036
1.1102628285356695,-7.828547861808122,-7.821524060052954
1.1140175219023778,-7.82973397458858,-7.823286372648872
1.1177722152690863,-7.830901176478378,-7.82504868524479
1.1215269086357946,-7.832049703233459,-7.826810997840708
1.1252816020025032,-7.833179787314166,-7.828573310436626
1.1290362953692115,-7.834291657937244,-7.8303356230325445
1.1327909887359198,-7.8353855411270334,-7.832097935628462
1.136545682102628,-7.836461659765861,-7.83386024822438
1.1403003754693366,-7.837520233643651,-7.8356225608202985
1.144055068836045,-7.83856147950674,-7.837384873416216
1.1478097622027534,-7.839585611105949,-7.839147186012134
1.1515644555694617,-7.840592839243874,-7.840413341896191
1.15531914893617,-7.841583371821446,-7.840984878383643
1.1590738423028784,-7.842557413883744,-7.841556414871094
1.1628285356695869,-7.843515167665096,-7.842127951358545
1.1665832290362952,-7.84445683263344,-7.842699487845997
1.1703379224030037,-7.845382605534003,-7.843271024333448
1.174092615769712,-7.846292680432269,-7.8438425608208995
1.1778473091364203,-7.84718724875626,-7.84441409730835
