degree,max_mha,rms_mha,mae_mha
1,58.61497927858572,30.799784597529577,24.041076924224747
2,58.41604523815391,31.639906706286297,27.494476657182965
3,33.892876568309305,18.79031571081232,16.636344283319524
4,16.556090708194304,7.39495307772683,6.309235724314632
5,7.493525016934122,3.1427367644034363,2.457028931647413
6,3.9420982406799254,1.7137897501434833,1.377318412276729
7,1.6811760804529285,0.7436191319177934,0.533447448524349
8,0.5389559165926983,0.21035627700149465,0.14159300865947766
9,0.5286180962942311,0.20880833285989875,0.1290182663167272
10,0.5323099991594304,0.23069859877663218,0.1320717372606175
11,0.10909783449974952,0.047370773867706335,0.02543469388228591
