distance,energy,loo_polynomial,loo_linear,loo_polynomial_mha,loo_linear_mha
0.9,-7.722834554681542,nan,nan,nan,nan
1.15,-7.840175201693087,nan,0.03964292127770541,nan,39.64292127770541
1.4,-7.878230006149221,nan,0.01766906049728867,nan,17.66906049728867
1.6499999999999997,-7.880946689610778,nan,0.007837330884176374,nan,7.8373308841763745
1.8999999999999995,-7.867988711303983,nan,0.0028628310068352647,nan,2.8628310068352647
2.1499999999999995,-7.849305070983517,nan,0.00013932401197713773,nan,0.13932401197713773
2.3999999999999995,-7.830342782639096,nan,-0.001395711760017626,nan,-1.395711760017626
2.649999999999999,-7.81417191781471,nan,-0.0020727794758537144,nan,-2.0727794758537144
2.899999999999999,-7.802146611942033,nan,-0.0020037759967150848,nan,-2.0037759967150848
3.149999999999999,-7.794128858062784,nan,-0.001517089788221071,nan,-1.517089788221071
3.399999999999999,-7.789145283759978,nan,-0.0009990802527379827,nan,-0.9990802527379827
3.6499999999999986,-7.786159869962647,nan,-0.000615670053105255,nan,-0.615670053105255
3.8999999999999986,-7.7844057962715265,nan,nan,nan,nan
