bond,angle,energy,held_out,holdout_spline_mha,holdout_linear_mha
0.9,90.0,-15.252287568554745,False,nan,nan
0.9,100.0,-15.275222252772531,True,0.05751051795144235,2.172162319933335
0.9,110.0,-15.29381261235045,False,nan,nan
0.9,120.0,-15.308800045735687,True,-0.02221022207038459,1.5013644645129887
0.9,130.0,-15.320784750191898,False,nan,nan
0.9,140.0,-15.330208412892588,True,-0.012256348863814992,1.1317500027754335
0.9,150.0,-15.337368575587728,False,nan,nan
0.9,160.0,-15.342434349178777,True,0.03782039354405242,1.0137671906864654
0.9,170.0,-15.345472588388454,False,nan,nan
0.9,180.0,-15.34648801653346,True,1.015428145000996,-3.0365782553563037
1.05,90.0,-15.405947558088684,True,6.8423717015999586,46.61116073181404
1.05,100.0,-15.428728312218325,True,6.884897141377522,48.85693364661137
1.05,110.0,-15.44727579365901,True,6.8011288156046845,46.86943387245179
1.05,120.0,-15.462335965704355,True,6.769185190021787,48.480900382998016
1.05,130.0,-15.47448443192917,True,6.7968250115697515,47.18066107301233
1.05,140.0,-15.484120479327206,True,6.795883444111084,48.47808100599238
1.05,150.0,-15.491492911156707,True,6.84928390784556,47.511885370434825
1.05,160.0,-15.496729470229187,True,6.999282374216875,48.671600197714326
1.05,170.0,-15.49987427406327,True,7.20450952178453,47.73955978659572
1.05,180.0,-15.500925332095939,True,8.255567554453336,44.71377357406503
1.2000000000000002,90.0,-15.466385226158994,False,nan,nan
1.2000000000000002,100.0,-15.488765162514934,True,0.0794664609564677,2.0724958241054026
1.2000000000000002,110.0,-15.507000107222662,False,nan,nan
1.2000000000000002,120.0,-15.521835220708027,True,-0.03124849185276446,1.4237713364870785
1.2000000000000002,130.0,-15.533822791520416,False,nan,nan
1.2000000000000002,140.0,-15.543333067688009,True,-0.003531112845678308,1.124933935395589
1.2000000000000002,150.0,-15.550593475984812,False,nan,nan
1.2000000000000002,160.0,-15.555728633617292,True,0.02011051959804888,1.0334755424405984
1.2000000000000002,170.0,-15.558796840164892,False,nan,nan
1.2000000000000002,180.0,-15.559818412799242,True,1.021572634346768,-3.080109455691371
1.35,90.0,-15.474385992960297,True,-2.2852894021081482,14.939905136181153
1.35,100.0,-15.496080756961488,True,-2.188996315773295,17.074139482312845
1.35,110.0,-15.51373810072549,True,-2.27409511416532,15.170953591255198
1.35,120.0,-15.528092125650595,True,-2.3128950955388916,16.64098342115139
1.35,130.0,-15.539668081638895,True,-2.2865570543348923,15.332944314241814
1.35,140.0,-15.548813942345257,True,-2.295853030723549,16.498158828609277
1.35,150.0,-15.555748543300677,True,-2.3400331827332366,15.452113592036909
1.35,160.0,-15.560605962571529,True,-2.445440131520371,16.493485756541304
1.35,170.0,-15.563476991166446,True,-2.681703555969861,15.548467245107389
1.35,180.0,-15.564425776833508,True,-1.7329178889085028,12.681205805817442
1.5,90.0,-15.452506949489239,False,nan,nan
1.5,100.0,-15.473263498310873,True,0.08974347246670789,1.9429300433486674
1.5,110.0,-15.49013418704581,False,nan,nan
1.5,120.0,-15.503831728549844,True,-0.034405334989884295,1.3408934624941082
1.5,130.0,-15.514847483128891,False,nan,nan
1.5,140.0,-15.523502146500736,True,0.004843511014485102,1.0787132200551497
1.5,150.0,-15.52999938343247,False,nan,nan
1.5,160.0,-15.534475801570341,True,-0.0028932903184397674,0.9460060152122196
1.5,170.0,-15.537060207677786,False,nan,nan
1.5,180.0,-15.537896773707526,True,0.8365660297400268,-2.693846092920893
1.6500000000000001,90.0,-15.413848943438012,True,0.46147550124864267,4.288137831558458
1.6500000000000001,100.0,-15.433466635095122,True,0.5447473638220401,6.211689649980201
1.6500000000000001,110.0,-15.449395513030597,True,0.4607907267413225,4.446427746765735
1.6500000000000001,120.0,-15.462317919965539,True,0.4391483123775686,5.755778385982069
1.6500000000000001,130.0,-15.47268619687842,True,0.4793611004707543,4.510999003137783
1.6500000000000001,140.0,-15.480787094156323,True,0.49373636459471015,5.556162007533061
1.6500000000000001,150.0,-15.48678820401927,True,0.588850752095027,4.50153759696903
1.6500000000000001,160.0,-15.490791255663792,True,0.8837747720669142,5.5191571577548615
1.6500000000000001,170.0,-15.492940905676253,True,1.5405063234297245,4.683375086482755
