angle,energy,loo_spline,loo_linear,loo_spline_mha,loo_linear_mha
90.0,-15.475542162391115,nan,nan,nan,nan
95.0,-15.487013454693273,1.9028367166384896e-06,0.0005608827953089701,0.0019028367166384896,0.5608827953089701
100.0,-15.497362981404814,-1.1368522567778427e-06,0.0005057705173054927,-0.0011368522567778427,0.5057705173054927
105.0,-15.506700967081743,-9.841497394802445e-07,0.00045616121550118294,-0.0009841497394802445,0.45616121550118294
110.0,-15.515126630327671,-9.382764076804051e-07,0.0004133637973744442,-0.0009382764076804051,0.4133637973744442
115.0,-15.52272556597885,-8.825940440715385e-07,0.000377254875916222,-0.0008825940440715385,0.377254875916222
120.0,-15.529569991878196,-7.791365685960727e-07,0.00034742081062510977,-0.0007791365685960727,0.34742081062510977
125.0,-15.535719576156293,-6.856451619796644e-07,0.00032319030958660733,-0.0006856451619796644,0.3231903095866073
130.0,-15.541222779815214,-5.458439940042581e-07,0.00030382522204064344,-0.0005458439940042581,0.30382522204064344
135.0,-15.546118333030055,-5.7212281312502e-07,0.00028857626656808577,-0.00057212281312502,0.28857626656808577
140.0,-15.55043673371176,-1.469480093163611e-07,0.0002768933802368423,-0.0001469480093163611,0.2768933802368423
145.0,-15.55420134763299,-5.734118566635971e-07,0.0002672838164023972,-0.0005734118566635971,0.2672838164023972
150.0,-15.557431393921417,8.052474598230219e-08,0.00026049725600252316,8.052474598230219e-05,0.26049725600252316
155.0,-15.56014044569784,-3.780461472757679e-07,0.0002544634555157188,-0.0003780461472757679,0.2544634555157188
160.0,-15.56234057056323,6.749025871499725e-08,0.00025006133159166666,6.749025871499725e-05,0.25006133159166666
165.0,-15.564040572765435,-1.8066069173983124e-07,0.00024600021962051244,-0.00018066069173983124,0.24600021962051244
170.0,-15.5652485745284,-2.323257994873984e-07,0.00024292589345620286,-0.0002323257994873984,0.24292589345620286
175.0,-15.565970724504451,3.88861488787029e-07,0.0002409522249955387,0.000388861488787029,0.2409522249955387
180.0,-15.566210970030511,nan,nan,nan,nan
