angle,spline,linear
90.0,-15.475542162391115,-15.475542162391115
90.22556390977444,-15.476085403372915,-15.476059664299482
90.45112781954887,-15.476626142944886,-15.47657716620785
90.67669172932331,-15.477164391426738,-15.47709466811622
90.90225563909775,-15.477700159138184,-15.477612170024587
91.12781954887218,-15.478233456398934,-15.478129671932955
91.35338345864662,-15.4787642935287,-15.478647173841322
91.57894736842105,-15.479292680847198,-15.479164675749692
91.80451127819549,-15.479818628674135,-15.47968217765806
92.03007518796993,-15.480342147329225,-15.480199679566427
92.25563909774436,-15.480863247132175,-15.480717181474795
92.4812030075188,-15.481381938402706,-15.481234683383162
92.70676691729324,-15.48189823146052,-15.481752185291532
92.93233082706767,-15.482412136625333,-15.4822696871999
93.15789473684211,-15.482923664216857,-15.482787189108267
93.38345864661655,-15.483432824554804,-15.483304691016635
93.60902255639098,-15.483939627958886,-15.483822192925002
93.83458646616542,-15.484444084748812,-15.484339694833372
94.06015037593986,-15.484946205244295,-15.48485719674174
94.28571428571429,-15.48544599976505,-15.485374698650107
94.51127819548873,-15.485943478630782,-15.485892200558474
94.73684210526315,-15.48643865216121,-15.486409702466844
94.9624060150376,-15.48693153067604,-15.486927204375212
95.18796992481202,-15.487422124494987,-15.487402534644835
95.41353383458646,-15.487910443937762,-15.487869430586708
95.6390977443609,-15.488396499324077,-15.488336326528582
95.86466165413533,-15.48888030097364,-15.488803222470457
96.09022556390977,-15.48936185920617,-15.48927011841233
96.3157894736842,-15.48984118434137,-15.489737014354205
96.54135338345864,-15.490318286698962,-15.490203910296078
96.76691729323308,-15.490793176598647,-15.490670806237953
96.99248120300751,-15.491265864360143,-15.491137702179827
97.21804511278195,-15.491736360303161,-15.4916045981217
97.44360902255639,-15.492204674747413,-15.492071494063575
97.66917293233082,-15.492670818012607,-15.492538390005448
97.89473684210526,-15.493134800418462,-15.493005285947323
98.1203007518797,-15.493596632284682,-15.493472181889198
98.34586466165413,-15.494056323930982,-15.49393907783107
98.57142857142857,-15.494513885677073,-15.494405973772945
98.796992481203,-15.494969327842668,-15.494872869714818
99.02255639097744,-15.49542266074748,-15.495339765656693
99.24812030075188,-15.495873894711215,-15.495806661598568
99.47368421052632,-15.496323040053593,-15.496273557540441
99.69924812030075,-15.496770107094317,-15.496740453482316
99.92481203007519,-15.497215106153106,-15.497207349424189
100.15037593984962,-15.497658047490471,-15.497643823079308
100.37593984962406,-15.498098940678766,-15.49806508559105
100.6015037593985,-15.498537794846364,-15.49848634810279
100.82706766917293,-15.498974619114243,-15.498907610614532
101.05263157894737,-15.49940942260338,-15.499328873126274
101.2781954887218,-15.499842214434752,-15.499750135638013
101.50375939849624,-15.500273003729333,-15.500171398149755
101.72932330827068,-15.500701799608104,-15.500592660661496
101.95488721804512,-15.501128611192035,-15.501013923173238
102.18045112781955,-15.501553447602108,-15.50143518568498
102.40601503759399,-15.501976317959297,-15.501856448196719
102.63157894736842,-15.502397231384576,-15.50227771070846
102.85714285714286,-15.502816196998927,-15.502698973220202
103.0827067669173,-15.503233223923322,-15.503120235731943
103.30827067669173,-15.503648321278739,-15.503541498243685
103.53383458646617,-15.504061498186156,-15.503962760755426
103.7593984962406,-15.504472763766543,-15.504384023267166
103.98496240601503,-15.504882127140885,-15.504805285778907
104.21052631578948,-15.505289597430153,-15.505226548290649
104.4360902255639,-15.505695183755325,-15.50564781080239
104.66165413533835,-15.506098895237377,-15.506069073314132
104.88721804511277,-15.506500740997287,-15.506490335825873
105.11278195488721,-15.506900730129615,-15.506891019636162
105.33834586466165,-15.507298871121375,-15.507271124745001
105.56390977443608,-15.507695171852042,-15.50765122985384
105.78947368421052,-15.508089640174665,-15.508031334962679
106.01503759398496,-15.508482283942305,-15.508411440071518
106.2406015037594,-15.508873111008015,-15.508791545180356
106.46616541353383,-15.50926212922485,-15.509171650289195
106.69172932330827,-15.509649346445864,-15.509551755398034
106.9172932330827,-15.510034770524115,-15.509931860506873
107.14285714285714,-15.510418409312656,-15.510311965615712
107.36842105263158,-15.510800270664543,-15.51069207072455
107.59398496240601,-15.511180362432833,-15.511072175833391
107.81954887218045,-15.511558692470581,-15.51145228094223
108.04511278195488,-15.51193526863084,-15.511832386051069
108.27067669172932,-15.512310098766665,-15.512212491159907
108.49624060150376,-15.512683190731112,-15.512592596268746
108.7218045112782,-15.513054552377238,-15.512972701377585
108.94736842105263,-15.5134241915581,-15.513352806486424
109.17293233082707,-15.513792116126746,-15.513732911595262
109.3984962406015,-15.514158333936235,-15.514113016704101
109.62406015037594,-15.514522852839626,-15.51449312181294
109.84962406015038,-15.51488568068997,-15.514873226921779
110.07518796992481,-15.515246825332703,-15.515240900036712
110.30075187969925,-15.51560629415603,-15.515583709163833
110.52631578947368,-15.515964093839449,-15.515926518290954
110.75187969924812,-15.516320231001492,-15.516269327418074
110.97744360902256,-15.516674712260695,-15.516612136545195
111.203007518797,-15.517027544235589,-15.516954945672316
111.42857142857143,-15.517378733544712,-15.517297754799436
111.65413533834587,-15.517728286806594,-15.517640563926557
111.8796992481203,-15.518076210639775,-15.517983373053678
112.10526315789474,-15.51842251166278,-15.5183261821808
112.33082706766918,-15.51876719649415,-15.518668991307921
112.55639097744361,-15.519110271752416,-15.519011800435042
