bond,energy,loo_spline,loo_linear,loo_spline_mha,loo_linear_mha
0.9,-15.346488264218127,nan,nan,nan,nan
1.0,-15.462869791385398,0.0010457038625482085,0.0253097941101057,1.0457038625482085,25.3097941101057
1.1,-15.528631730332458,-0.0006247571241360106,0.017287632326016933,-0.6247571241360106,17.287632326016933
1.2,-15.559818404627485,-0.00019580313455769272,0.011886156711025109,-0.19580313455769272,11.886156711025109
1.2999999999999998,-15.56723276550046,-0.0001736306276090005,0.00820582920286661,-0.1736306276090005,8.20582920286661
1.4,-15.558235467967702,-7.265916896237457e-05,0.005670788073336652,-0.07265916896237457,5.670788073336652
1.5,-15.53789659428827,-0.00017674269888345862,0.00390211682488939,-0.17674269888345862,3.90211682488939
1.5999999999999999,-15.50975348695906,0.00035733104998669774,0.002638562675777223,0.35733104998669774,2.638562675777223
1.6999999999999997,-15.476333254278295,-0.0015348919884523582,0.001712693066878046,-1.5348919884523582,1.712693066878046
1.7999999999999998,-15.439487635463774,0.0055917992917251524,0.0010146669104358352,5.591799291725152,1.0146669104358352
1.9,-15.400612682828383,-0.010984317685313272,-0.011464349322045209,-10.984317685313272,-11.464349322045209
1.9999999999999996,-15.384666428837084,0.010525530107786452,0.009347755073664032,10.525530107786452,9.347755073664032
2.0999999999999996,-15.350024664698457,-0.005103317805856378,-0.001014673106771724,-5.103317805856378,-1.014673106771724
2.1999999999999997,-15.317412246773376,0.0015759953404881344,-0.001584706111902534,1.5759953404881344,-1.584706111902534
2.3,-15.2879692410721,-0.0026378641415085724,-0.002220374320478058,-2.6378641415085724,-2.220374320478058
2.3999999999999995,-15.26296698401178,nan,nan,nan,nan
