bond,spline,linear
0.9,-15.346488264218127,-15.346488264218127
0.9037593984962407,-15.351983247320302,-15.350863509600355
0.9075187969924812,-15.357383239687046,-15.355238754982583
0.9112781954887218,-15.362689157321537,-15.359614000364813
0.9150375939849624,-15.367901916226952,-15.36398924574704
0.9187969924812031,-15.373022432406472,-15.368364491129269
0.9225563909774436,-15.378051621863275,-15.372739736511496
0.9263157894736842,-15.382990400600535,-15.377114981893724
0.9300751879699248,-15.387839684621435,-15.381490227275952
0.9338345864661655,-15.392600389929152,-15.385865472658182
0.937593984962406,-15.397273432526859,-15.39024071804041
0.9413533834586466,-15.401859728417739,-15.394615963422638
0.9451127819548872,-15.406360193604968,-15.398991208804865
0.9488721804511279,-15.410775744091726,-15.403366454187093
0.9526315789473684,-15.41510729588119,-15.407741699569321
0.956390977443609,-15.419355764976537,-15.412116944951551
0.9601503759398496,-15.423522067380945,-15.416492190333779
0.9639097744360903,-15.427607119097592,-15.420867435716007
0.9676691729323308,-15.431611836129658,-15.425242681098235
0.9714285714285714,-15.43553713448032,-15.429617926480462
0.975187969924812,-15.439383930152754,-15.433993171862692
0.9789473684210527,-15.443153139150143,-15.43836841724492
0.9827067669172932,-15.44684567747566,-15.442743662627148
0.9864661654135338,-15.450462461132483,-15.447118908009376
0.9902255639097745,-15.454004406123794,-15.451494153391604
0.9939849624060151,-15.457472428452768,-15.455869398773833
0.9977443609022556,-15.460867444122583,-15.460244644156061
1.0015037593984961,-15.464190369136416,-15.463858692722948
1.0052631578947369,-15.46744211949745,-15.466330946066822
1.0090225563909774,-15.47062361120886,-15.468803199410697
1.0127819548872181,-15.473735760273822,-15.47127545275457
1.0165413533834586,-15.476779482695516,-15.473747706098445
1.0203007518796992,-15.47975569447712,-15.47621995944232
1.02406015037594,-15.482665311621814,-15.478692212786195
1.0278195488721804,-15.485509250132768,-15.48116446613007
1.0315789473684212,-15.48828842601317,-15.483636719473942
1.0353383458646617,-15.491003755266195,-15.486108972817817
1.0390977443609022,-15.493656153895019,-15.488581226161692
1.042857142857143,-15.496246537902818,-15.491053479505567
1.0466165413533834,-15.498775823292775,-15.493525732849442
1.050375939849624,-15.501244926068065,-15.495997986193315
1.0541353383458647,-15.503654762231868,-15.49847023953719
1.0578947368421052,-15.506006247787361,-15.500942492881064
1.0616541353383457,-15.508300298737721,-15.503414746224939
1.0654135338345865,-15.510537831086125,-15.505886999568814
1.069172932330827,-15.512719760835758,-15.508359252912687
1.0729323308270677,-15.514847003989788,-15.510831506256562
1.0766917293233083,-15.516920476551398,-15.513303759600436
1.0804511278195488,-15.51894109452377,-15.515776012944311
1.0842105263157895,-15.520909773910075,-15.518248266288186
1.08796992481203,-15.522827430713493,-15.52072051963206
1.0917293233082705,-15.524694980937204,-15.523192772975934
1.0954887218045113,-15.526513340584385,-15.525665026319809
1.0992481203007518,-15.528283425658216,-15.528137279663683
1.1030075187969923,-15.530006119630267,-15.529569675424039
1.106766917293233,-15.531682065543244,-15.530742106788512
1.1105263157894736,-15.533311798678913,-15.531914538152988
1.1142857142857143,-15.534895853810736,-15.533086969517463
1.1180451127819548,-15.53643476571218,-15.534259400881936
1.1218045112781954,-15.537929069156696,-15.535431832246411
1.125563909774436,-15.539379298917755,-15.536604263610887
1.1293233082706766,-15.540785989768812,-15.537776694975362
1.1330827067669174,-15.542149676483334,-15.538949126339835
1.1368421052631579,-15.54347089383478,-15.54012155770431
1.1406015037593984,-15.544750176596612,-15.541293989068786
1.1443609022556391,-15.545988059542292,-15.542466420433259
1.1481203007518797,-15.547185077445285,-15.543638851797734
1.1518796992481202,-15.548341765079044,-15.54481128316221
1.155639097744361,-15.54945865721704,-15.545983714526685
1.1593984962406014,-15.550536288632728,-15.547156145891158
1.163157894736842,-15.551575194099575,-15.548328577255633
1.1669172932330827,-15.55257590839104,-15.549501008620108
1.1706766917293232,-15.553538966280584,-15.550673439984582
1.174436090225564,-15.554464902541671,-15.551845871349057
1.1781954887218045,-15.555354251947763,-15.553018302713532
1.181954887218045,-15.556207549272319,-15.554190734078007
1.1857142857142857,-15.557025329288802,-15.55536316544248
1.1894736842105262,-15.557808126770672,-15.556535596806956
1.193233082706767,-15.558556476491393,-15.557708028171431
1.1969924812030075,-15.559270913224427,-15.558880459535905
1.200751879699248,-15.559951971548589,-15.559874151701719
1.2045112781954885,-15.560600144777721,-15.560152887072883
1.2082706766917293,-15.56121583415806,-15.560431622444048
1.2120300751879698,-15.5617994284785,-15.560710357815212
1.2157894736842105,-15.562351316527922,-15.560989093186375
1.219548872180451,-15.562871887095216,-15.56126782855754
1.2233082706766916,-15.563361528969274,-15.561546563928705
1.2270676691729323,-15.563820630938979,-15.56182529929987
1.2308270676691728,-15.56424958179322,-15.562104034671034
1.2345864661654136,-15.56464877032089,-15.562382770042198
1.238345864661654,-15.56501858531087,-15.562661505413363
1.2421052631578946,-15.56535941555205,-15.562940240784528
1.2458646616541353,-15.565671649833323,-15.563218976155692
1.2496240601503759,-15.565955676943572,-15.563497711526857
1.2533834586466166,-15.566211885671683,-15.563776446898022
1.2571428571428571,-15.566440664806551,-15.564055182269184
1.2609022556390976,-15.56664240313706,-15.564333917640349
1.2646616541353382,-15.566817489452095,-15.564612653011514
1.268421052631579,-15.56696631254055,-15.564891388382678
1.2721804511278194,-15.567089261191311,-15.565170123753843
1.2759398496240602,-15.567186724193265,-15.565448859125008
1.2796992481203007,-15.5672590903353,-15.565727594496172
1.2834586466165412,-15.567306748406304,-15.566006329867337
1.287218045112782,-15.567330087195167,-15.566285065238501
1.2909774436090224,-15.567329495490775,-15.566563800609666
1.2947368421052632,-15.567305362082015,-15.56684253598083
1.2984962406015037,-15.567258075757778,-15.567121271351994
1.3022556390977442,-15.567188020547542,-15.56702981893957
1.3060150375939847,-15.567095509265949,-15.566691574671422
1.3097744360902255,-15.566980799906306,-15.566353330403274
1.313533834586466,-15.566844149051738,-15.566015086135124
1.3172932330827067,-15.566685813285359,-15.565676841866976
1.3210526315789473,-15.566506049190286,-15.565338597598826
1.3248120300751878,-15.566305113349639,-15.565000353330678
1.3285714285714285,-15.566083262346535,-15.56466210906253
1.332330827067669,-15.565840752764093,-15.56432386479438
1.3360902255639098,-15.565577841185432,-15.563985620526232
1.3398496240601503,-15.565294784193666,-15.563647376258082
1.3436090225563908,-15.564991838371915,-15.563309131989934
1.3473684210526315,-15.5646692603033,-15.562970887721786
1.351127819548872,-15.564327306570933,-15.562632643453636
1.3548872180451128,-15.563966233757936,-15.562294399185488
1.3586466165413533,-15.563586298447426,-15.561956154917338
1.3624060150375938,-15.563187757222522,-15.56161791064919
1.3661654135338344,-15.56277086666634,-15.561279666381042
1.369924812030075,-15.562335883361998,-15.560941422112892
1.3736842105263156,-15.561883063892617,-15.560603177844744
1.3774436090225564,-15.561412664841312,-15.560264933576594
1.3812030075187969,-15.560924942791203,-15.559926689308446
1.3849624060150374,-15.560420154325405,-15.559588445040298
1.3887218045112781,-15.559898556027036,-15.559250200772148
1.3924812030075187,-15.55936040447922,-15.558911956504
1.3962406015037594,-15.558805956265068,-15.55857371223585
1.4,-15.558235467967702,-15.558235467967702
1.4037593984962404,-15.55764918693577,-15.557470848656445
1.407518796992481,-15.557047323580047,-15.556706229345188
1.4112781954887217,-15.55643007907684,-15.555941610033932
1.4150375939849624,-15.555797654602458,-15.555176990722675
