angle,spline,linear
90.0,-181.08813324480016,-181.08813324480016
90.22556390977444,-181.08754533868455,-181.08756953283552
90.45112781954887,-181.08695814666876,-181.08700582087084
90.67669172932331,-181.0863719025984,-181.0864421089062
90.90225563909775,-181.08578684031895,-181.08587839694155
91.12781954887218,-181.08520319367597,-181.08531468497688
91.35338345864662,-181.08462119651495,-181.08475097301223
91.57894736842105,-181.0840410826815,-181.0841872610476
91.80451127819549,-181.08346308602108,-181.08362354908294
92.03007518796993,-181.08288744037932,-181.08305983711827
92.25563909774436,-181.08231437960166,-181.08249612515363
92.4812030075188,-181.08174413753363,-181.08193241318898
92.70676691729324,-181.08117694802087,-181.0813687012243
92.93233082706767,-181.08061304490883,-181.08080498925966
93.15789473684211,-181.08005266204307,-181.08024127729502
93.38345864661655,-181.07949603326912,-181.07967756533034
93.60902255639098,-181.07894339243256,-181.0791138533657
93.83458646616542,-181.07839497337883,-181.07855014140105
94.06015037593986,-181.07785100995352,-181.07798642943638
94.28571428571429,-181.0773117360022,-181.07742271747173
94.51127819548873,-181.07677738537038,-181.0768590055071
94.73684210526315,-181.07624819190357,-181.07629529354244
94.9624060150376,-181.07572438944732,-181.07573158157777
95.18796992481202,-181.07520621184716,-181.07527249314603
95.41353383458646,-181.07469389294863,-181.0748343294209
95.6390977443609,-181.07418766659728,-181.07439616569573
95.86466165413533,-181.0736877666386,-181.0739580019706
96.09022556390977,-181.0731944269182,-181.07351983824543
96.3157894736842,-181.0727078812816,-181.07308167452027
96.54135338345864,-181.07222836357423,-181.07264351079513
96.76691729323308,-181.0717561076418,-181.07220534706997
96.99248120300751,-181.0712913473297,-181.07176718334483
97.21804511278195,-181.07083431648348,-181.07132901961967
97.44360902255639,-181.07038524894875,-181.0708908558945
97.66917293233082,-181.06994437857102,-181.07045269216937
97.89473684210526,-181.0695119391958,-181.0700145284442
98.1203007518797,-181.0690881646686,-181.06957636471907
98.34586466165413,-181.06867328883507,-181.0691382009939
98.57142857142857,-181.0682675455406,-181.06870003726874
98.796992481203,-181.06787116863083,-181.0682618735436
99.02255639097744,-181.06748439195124,-181.06782370981844
99.24812030075188,-181.06710744934742,-181.0673855460933
99.47368421052632,-181.06674057466483,-181.06694738236814
99.69924812030075,-181.06638400174907,-181.06650921864298
99.92481203007519,-181.06603796444566,-181.06607105491784
100.15037593984962,-181.06570277138363,-181.065875869591
100.37593984962406,-181.06537960055022,-181.0658021734633
100.6015037593985,-181.06507019080902,-181.06572847733563
100.82706766917293,-181.06477629037147,-181.06565478120794
101.05263157894737,-181.06449964744914,-181.06558108508023
101.2781954887218,-181.06424201025345,-181.06550738895254
101.50375939849624,-181.06400512699585,-181.06543369282485
101.72932330827068,-181.0637907458879,-181.06535999669717
101.95488721804512,-181.06360061514104,-181.06528630056948
102.18045112781955,-181.06343648296675,-181.0652126044418
102.40601503759399,-181.06330009757653,-181.0651389083141
102.63157894736842,-181.06319320718185,-181.0650652121864
102.85714285714286,-181.06311755999425,-181.0649915160587
103.0827067669173,-181.06307490422512,-181.06491781993103
103.30827067669173,-181.063066988086,-181.06484412380334
103.53383458646617,-181.06309555978837,-181.06477042767565
103.7593984962406,-181.06316236754373,-181.06469673154797
103.98496240601503,-181.06326915956353,-181.06462303542028
104.21052631578948,-181.06341768405926,-181.06454933929257
104.4360902255639,-181.06360968924244,-181.06447564316488
104.66165413533835,-181.0638469233245,-181.0644019470372
104.88721804511277,-181.06413113451694,-181.0643282509095
105.11278195488721,-181.06446401235831,-181.06468896323304
105.33834586466165,-181.06484589690777,-181.0654840840078
105.56390977443608,-181.06527577874547,-181.06627920478255
105.78947368421052,-181.06575258977853,-181.0670743255573
106.01503759398496,-181.066275261914,-181.06786944633205
106.2406015037594,-181.06684272705897,-181.0686645671068
106.46616541353383,-181.0674539171205,-181.06945968788153
