r_nn,r_no,energy,held_out,holdout_spline_mha,holdout_linear_mha
0.9,0.95,-180.64341975674037,False,nan,nan
0.9,1.0999999999999999,-180.8624002565303,True,58.46386301783468,93.47266466733117
0.9,1.2499999999999998,-180.89443542698552,False,nan,nan
0.9,1.3999999999999997,-180.87821203670134,True,-36.704820458226095,-1.696018808701183
0.9,1.5499999999999996,-180.86538068403453,False,nan,nan
0.9,1.6999999999999995,-180.86093027952793,True,-4.450404506627592,10.076966968910028
1.05,0.95,-180.97102368750404,True,27.46055958422744,131.75541204543606
1.05,1.0999999999999999,-181.1962281094493,True,96.80039053301925,231.02510405911403
1.05,1.2499999999999998,-181.21903619568164,True,37.85261169727505,127.89846035991559
1.05,1.3999999999999997,-181.18545618724488,True,-3.374535879288487,126.55380212657974
1.05,1.5499999999999996,-181.15899601884456,True,36.62688250895485,132.32898392965353
1.05,1.6999999999999995,-181.14860356100846,True,26.23442467285031,154.1718762969424
1.2000000000000002,0.95,-181.03511679417684,False,nan,nan
1.2000000000000002,1.0999999999999999,-181.26958885224514,True,64.03419490982287,108.11043332776649
1.2000000000000002,1.2499999999999998,-181.2878400436579,False,nan,nan
1.2000000000000002,1.3999999999999997,-181.23382814669614,True,-48.14480644844821,-4.068568030419328
1.2000000000000002,1.5499999999999996,-181.18795338579525,False,nan,nan
1.2000000000000002,1.6999999999999995,-181.16818443181063,True,-19.76895398462375,30.174374946682292
1.35,0.95,-180.99752899515562,True,-4.297291484959942,16.25202984672569
1.35,1.0999999999999999,-181.2408994078704,True,50.13590252056588,125.96596275886895
1.35,1.2499999999999998,-181.2652403212867,True,-11.279968504709359,16.65039637256882
1.35,1.3999999999999997,-181.19579143750394,True,-63.30520246149263,11.921686092193795
1.35,1.5499999999999996,-181.12293936622766,True,-15.553189644123222,3.7897883183006797
1.35,1.6999999999999995,-181.08656588390534,True,-51.92667196644152,32.13647949834808
1.5,0.95,-180.92743713644094,False,nan,nan
1.5,1.0999999999999999,-181.17274711158663,True,49.24655204641226,104.35864028093533
1.5,1.2499999999999998,-181.20933980617042,False,nan,nan
1.5,1.3999999999999997,-181.14551730829152,True,-39.43756803997189,15.6745201945796
1.5,1.5499999999999996,-181.05034577002348,False,nan,nan
1.5,1.6999999999999995,-180.98916685030977,True,-61.178919713682944,18.318098359742407
1.6500000000000001,0.95,-180.8771044835941,True,-2.2768895813953804,-16.53259478422342
1.6500000000000001,1.0999999999999999,-181.10183999043082,True,40.35194294962707,80.8716383677961
1.6500000000000001,1.2499999999999998,-181.1342697790868,True,-5.569405058196253,-14.02984666091811
1.6500000000000001,1.3999999999999997,-181.08785425686193,True,-26.580526304968544,14.454909708973673
1.6500000000000001,1.5499999999999996,-181.0019621660847,True,16.687321537744992,3.463097526491765
1.6500000000000001,1.6999999999999995,-180.93498408786758,True,-50.29075667937377,11.385297904126901
1.8000000000000003,0.95,-180.85983702031572,False,nan,nan
1.8000000000000003,1.0999999999999999,-181.07661840727084,True,57.06648654535229,103.07017445049382
1.8000000000000003,1.2499999999999998,-181.08725944532497,False,nan,nan
1.8000000000000003,1.3999999999999997,-181.02153777979294,True,-41.42181432118264,4.581873583987317
1.8000000000000003,1.5499999999999996,-180.94665236709292,False,nan,nan
1.8000000000000003,1.6999999999999995,-180.89792856307673,True,-48.72380401616283,21.579735099862773
1.9500000000000002,0.95,-180.85282238347685,True,-1.8462163242816132,-1.9664434666992747
1.9500000000000002,1.0999999999999999,-181.0701013444385,True,68.30728261815011,102.01028613562357
1.9500000000000002,1.2499999999999998,-181.07770774785362,True,15.441028968638193,-3.685541808607695
1.9500000000000002,1.3999999999999997,-181.00283169307383,True,-33.254877921166326,-0.49151308260775295
1.9500000000000002,1.5499999999999996,-180.90651535022607,True,-16.738267924267802,-18.737772424515242
1.9500000000000002,1.6999999999999995,-180.84684800567615,True,-76.40561247418987,-0.33503346861607497
2.1,0.95,-180.84974063357137,False,nan,nan
2.1,1.0999999999999999,-181.06687407665825,True,54.55772334539688,104.24019287282249
2.1,1.2499999999999998,-181.07552713399951,False,nan,nan
2.1,1.3999999999999997,-181.0016422703853,True,-37.730705246019625,11.951764281405985
2.1,1.5499999999999996,-180.90385387820828,False,nan,nan
2.1,1.6999999999999995,-180.83942265393534,True,-64.43122427293702,21.405403622708263
2.25,0.95,-180.8482232079054,True,-1.5174256659804541,3.5307677061950926
2.25,1.0999999999999999,-181.06537637416352,True,53.06002085066552,108.19966489552257
2.25,1.2499999999999998,-181.07485106424983,True,-0.6760697496872581,5.190085913028497
2.25,1.3999999999999997,-181.00232846982058,True,-37.0445058107407,26.27066376922471
2.25,1.5499999999999996,-180.90600220975654,True,2.1483315482555554,23.547575990619407
2.25,1.6999999999999995,-180.83990723619428,True,-63.946642014002464,51.05577471377387
