r_nn,spline,linear
0.9,-180.89479205639276,-180.89479205639276
0.9032581453634085,-180.9064635458464,-180.90329880755436
0.906516290726817,-180.91789633544693,-180.91180555871594
0.9097744360902256,-180.9290930946506,-180.92031230987754
0.9130325814536341,-180.9400564929135,-180.92881906103912
0.9162907268170426,-180.95078919969177,-180.93732581220073
0.9195488721804511,-180.96129388444172,-180.9458325633623
0.9228070175438596,-180.97157321661936,-180.9543393145239
0.9260651629072681,-180.98162986568096,-180.9628460656855
0.9293233082706767,-180.99146650108267,-180.9713528168471
0.9325814536340853,-181.00108579228063,-180.9798595680087
0.9358395989974937,-181.01049040873102,-180.98836631917027
0.9390977443609023,-181.01968301989,-180.99687307033187
0.9423558897243108,-181.02866629521372,-181.00537982149345
0.9456140350877194,-181.0374429041584,-181.01388657265505
0.9488721804511279,-181.04601551618023,-181.02239332381666
0.9521303258145364,-181.05438680073527,-181.03090007497823
0.9553884711779449,-181.06255942727978,-181.03940682613984
0.9586466165413534,-181.0705360652699,-181.04791357730141
0.9619047619047619,-181.07831938416174,-181.05642032846302
0.9651629072681704,-181.08591205341156,-181.0649270796246
0.968421052631579,-181.09331674247548,-181.0734338307862
0.9716791979949875,-181.1005361208097,-181.0819405819478
0.974937343358396,-181.10757285787037,-181.09044733310938
0.9781954887218045,-181.1144296231136,-181.09895408427099
0.981453634085213,-181.12110908599564,-181.10746083543256
0.9847117794486215,-181.12761391597266,-181.11596758659417
0.98796992481203,-181.1339467825008,-181.12447433775574
0.9912280701754386,-181.14011035503617,-181.13298108891735
0.9944862155388471,-181.14610730303502,-181.14148784007895
0.9977443609022556,-181.15194029595347,-181.14999459124053
1.0010025062656642,-181.15761200324778,-181.1569956482452
1.0042606516290726,-181.16312509437398,-181.16060889339684
1.0075187969924813,-181.1684822387883,-181.16422213854847
1.0107769423558897,-181.17368610594693,-181.1678353837001
1.0140350877192983,-181.17873936530603,-181.1714486288517
1.0172932330827067,-181.18364468632174,-181.17506187400332
1.0205513784461153,-181.1884047384503,-181.17867511915495
1.0238095238095237,-181.19302219114775,-181.18228836430657
1.0270676691729324,-181.19749971387034,-181.1859016094582
1.030325814536341,-181.20183997607433,-181.18951485460983
1.0335839598997494,-181.2060456472157,-181.19312809976145
1.0368421052631578,-181.21011939675068,-181.19674134491308
