r_nn,energy,loo_spline,loo_linear,loo_spline_mha,loo_linear_mha
0.9,-180.89479205639276,nan,nan,nan,nan
1.0,-181.15588388050625,0.006210246512381445,0.07509649607607116,6.210246512381445,75.09649607607116
1.1,-181.2667827124676,-0.0037103198048953345,0.04005690406009421,-3.7103198048953345,40.05690406009421
1.2,-181.29756773630874,-0.0011038232547377902,0.020512082575351087,-1.1038232547377902,20.512082575351087
1.2999999999999998,-181.28732859499914,-0.0008608318750873423,0.01070939047531283,-0.8608318750873423,10.70939047531283
1.4,-181.2556706727389,-0.00017404373588192357,0.006517754860198011,-0.17404373588192357,6.517754860198011
1.5,-181.21097724075827,0.0006762733677589949,0.0033778662755992173,0.6762733677589949,3.3778662755992173
1.5999999999999999,-181.15952807622648,0.0011252715045202422,-0.0041355231604427445,1.1252715045202422,-4.1355231604427445
1.6999999999999997,-181.11634995801558,-0.004126832450907614,-0.012906017932095892,-4.126832450907614,-12.906017932095892
1.7999999999999998,-181.09898387566884,0.0018267731292667122,-0.005461080542119134,1.8267731292667122,-5.461080542119134
1.9,-181.09253995440633,3.0755945715554844e-05,-0.0018427018156899067,0.030755945715554844,-1.8427018156899067
1.9999999999999996,-181.0897814367752,0.00017699085762501454,-0.0007191600464295789,0.17699085762501454,-0.7191600464295789
2.0999999999999996,-181.08846123923695,-0.0002962431580613156,-0.0003091468014133625,-0.2962431580613156,-0.3091468014133625
2.1999999999999997,-181.0877593353015,nan,nan,nan,nan
