angle,energy,loo_spline,loo_linear,loo_spline_mha,loo_linear_mha
90.0,-181.08813324480016,nan,nan,nan,nan
95.0,-181.07563762958367,-0.002403859407309028,-0.0013914929878069415,-2.403859407309028,-1.3914929878069415
100.0,-181.0659250003428,0.0014361889096221603,-0.004039515871880894,1.4361889096221603,-4.039515871880894
105.0,-181.06429140284567,-0.0021859918041684523,-0.009629387335365891,-2.1859918041684523,-9.629387335365891
110.0,-181.08191658001928,6.388987009131597e-05,-0.0064451666145544095,0.06388987009131597,-6.4451666145544095
115.0,-181.11243209042198,-0.0007035648107773795,-0.00016844131707216548,-0.7035648107773795,-0.16844131707216548
120.0,-181.1432844834588,0.003727661926006931,0.004939064376259239,3.727661926006931,4.939064376259239
125.0,-181.16425874774316,-0.003988463956375199,-0.0021764078992134728,-3.988463956375199,-2.1764078992134728
130.0,-181.1895858278259,0.002267867563347181,0.0026198217124431267,2.267867563347181,2.6198217124431267
135.0,-181.20967326448377,-0.0006072495563387292,0.0020623616781278997,-0.6072495563387292,2.0623616781278997
140.0,-181.22563597778534,0.00012683654509260123,0.0015459227400356212,0.12683654509260123,1.5459227400356212
145.0,-181.23850684560685,-3.151426139424984e-05,0.0011866793263664022,-0.03151426139424984,1.1866793263664022
150.0,-181.2490043547756,-8.34473788700052e-05,0.0009263183864618441,-0.0834473788700052,0.9263183864618441
155.0,-181.2576492271714,0.0002454539268796907,0.0008093466937566518,0.2454539268796907,0.8093466937566518
160.0,-181.26467540617972,-0.0009181376905189609,0.0007143912548883691,-0.9181376905189609,0.7143912548883691
165.0,-181.27027280267825,0.0017647617441411967,0.0026480824035957085,1.7647617441411967,2.6480824035957085
170.0,-181.2705740343696,-0.0014996457682912023,-0.0011411279567425936,-1.4996457682912023,-1.1411279567425936
175.0,-181.2731575219744,0.0025100720132513743,-0.0012529889291670315,2.5100720132513743,-1.2529889291670315
180.0,-181.27824698743757,nan,nan,nan,nan
