r_no,energy,loo_spline,loo_linear,loo_spline_mha,loo_linear_mha
0.9,-180.8599444176011,nan,nan,nan,nan
1.0,-181.13988640373557,0.005192895990177249,0.08181775747854658,5.192895990177249,81.81775747854658
1.1,-181.25619287491298,-0.0031025024206030594,0.04557938043103604,-3.1025024206030594,45.57938043103604
1.2,-181.2813405852283,-0.0007363796420634117,0.02207922635665227,-0.7363796420634117,22.07922635665227
1.2999999999999998,-181.26232984283027,-0.0010396544439572608,0.006234332730457481,-1.0396544439572608,6.234332730457481
1.4,-181.23085043497133,-0.0009237405101316654,-0.002678312243546088,-0.9237405101316654,-2.678312243546088
1.5,-181.20472765159946,-0.0005547698907548693,-0.005266559932920245,-0.5547698907548693,-5.266559932920245
1.5999999999999999,-181.18913798809345,-6.0761398032127545e-05,-0.004022985626846776,-0.060761398032127545,-4.022985626846776
1.6999999999999997,-181.18159429584117,0.0001529022185877693,-0.00200800110761179,0.1529022185877693,-2.00800110761179
1.7999999999999998,-181.17806660580408,0.00010491201749118773,-0.0007773844023972742,0.10491201749118773,-0.7773844023972742
1.9,-181.1760936845718,3.9288137571702464e-05,-0.0002784846926715545,0.039288137571702464,-0.2784846926715545
1.9999999999999996,-181.17467773272492,1.4167900047823423e-05,-0.00010930492925353974,0.014167900047823423,-0.10930492925353974
2.0999999999999996,-181.17348039073653,6.020637982828703e-06,-5.907624762357955e-05,0.006020637982828703,-0.05907624762357955
2.1999999999999997,-181.17240120124342,-1.007720302936832e-05,-4.8463495318173955e-05,-0.01007720302936832,-0.048463495318173955
2.3,-181.17141893874094,nan,nan,nan,nan
