degree,max_mha,rms_mha,mae_mha
1,5.440487848744624,2.2235902742159013,1.6504252005584956
2,5.958152227776736,2.313971604515226,1.665460058158969
3,6.079221614186281,2.4287619556292257,1.7216499698269458
4,5.746709419867102,2.378889326162844,1.895330706021776
5,4.8825620990271545,2.2276156987811015,1.5793292892099358
6,4.79838978444036,2.2887717049217313,1.781701879692451
7,4.3455244811809735,2.12108120725973,1.715772409543139
8,7.375069497925324,2.716254245574014,1.9877636186536431
9,5.633767469191753,2.5426034065821668,1.9561887702667156
10,4.753558926267942,2.044241874077328,1.6238890310593408
11,15.135200596972709,4.6323043391627445,2.828564321594526
12,20.708408947996304,5.45319185656585,2.8669417831879938
13,66.12615519190967,16.999457193291818,7.063153660965327
14,198.95441436432293,57.16248464964958,24.09248818817974
15,357.5400683150747,122.06975287733025,50.43676267399298
16,168.60509181111638,41.357443565361194,12.624885846955014
17,2485.275461417018,858.5445292363198,336.1907456610241
