dihedral,energy,loo_polynomial,loo_linear,loo_polynomial_mha,loo_linear_mha
0.0,-148.78482403629542,nan,nan,nan,nan
10.0,-148.78528737464936,nan,-0.00031200160597677495,nan,-0.31200160597677495
20.0,-148.78637471621522,nan,-0.00012733082274962726,nan,-0.12733082274962726
30.0,-148.78771671942656,nan,3.8059280171864884e-05,nan,0.038059280171864884
40.0,-148.78898260407755,nan,-0.0002552033173799373,nan,-0.2552033173799373
50.0,-148.7907588953633,nan,0.00021953474777092197,nan,0.21953474777092197
60.0,-148.79209611715353,nan,0.00015866686831600418,nan,0.15866686831600418
70.0,-148.7931160052071,nan,0.0001852057232269999,nan,0.1852057232269999
80.0,-148.79376548181426,nan,0.000480783265146556,nan,0.480783265146556
90.0,-148.79345339189112,nan,4.800641315227949e-05,nan,0.04800641315227949
100.0,-148.79304528914167,nan,0.0013407160127201223,nan,1.3407160127201223
110.0,-148.7899557543668,nan,-0.0027526081361770594,nan,-2.7526081361770594
120.0,-148.79237143586425,nan,-0.0026958296202508336,nan,-2.6958296202508336
130.0,-148.80017877660222,nan,0.003719565211184772,nan,3.719565211184772
140.0,-148.8005469869178,nan,0.00016780626933154963,nan,0.16780626933154963
150.0,-148.8005795846947,nan,0.0006976731418433246,nan,0.6976731418433246
160.0,-148.79921683618792,nan,-0.001305091857801699,nan,-1.305091857801699
170.0,-148.80046427139672,nan,0.0010627491501509212,nan,1.0627491501509212
180.0,-148.79958620830521,nan,nan,nan,nan
