degree,max_mha,rms_mha,mae_mha
1,103.88227170972186,56.92594768172433,46.03534110768686
2,106.56200507244762,53.62560062158774,44.818152302378905
3,78.10552824560091,37.05786741982206,32.102181006435835
4,40.427599591311036,19.232445990627685,16.443737383918975
5,17.73825092945458,7.726875102468952,6.656668538005605
6,6.9634993330396355,2.7242027621919465,2.1063997648666013
7,4.483847750492487,1.5437319895272892,1.0729851455865078
8,3.946371523994685,1.406077313036863,1.123914367042289
9,3.3707589857669973,1.3353506979378484,1.0557970263556327
10,7.531628629777742,2.175137651569598,1.2736155797304156
11,13.732204508102086,3.590309836602744,1.8742733996900465
12,20.865544914556722,5.684759759925681,2.8409383336892056
13,19.906797171557855,6.138108556629917,2.9960099477453865
14,14.7073238546227,3.4917176214052317,1.457383052092765
15,69.86462274335281,16.43831714630722,5.498600486798989
16,225.2925878543408,73.75638236046053,28.842223119038646
17,56.53349981233191,16.51507908599905,6.487405799100244
18,919.5614258969158,259.8629822003292,94.89495541390774
19,4434.196599706411,1446.8255273282396,527.1237265008907
