oo,polynomial,linear
1.0,-148.3753080825817,-148.37530808258398
1.005012531328321,-148.68072740139854,-148.38635685117336
1.0100250626566416,-148.88762565801588,-148.3974056197627
1.0150375939849625,-149.01794389833077,-148.40845438835208
1.0200501253132832,-149.089741113549,-148.41950315694146
1.0250626566416041,-149.1177705113964,-148.4305519255308
1.0300751879699248,-149.1139821659618,-148.44160069412018
1.0350877192982457,-149.0879602459006,-148.45264946270953
1.0401002506265664,-149.04730221953548,-148.4636982312989
1.0451127819548873,-148.99794670294867,-148.47474699988828
1.050125313283208,-148.94445594842352,-148.48579576847763
1.055137844611529,-148.8902583605879,-148.496844537067
1.0601503759398496,-148.8378558719414,-148.50789330565638
1.0651629072681705,-148.78900050380676,-148.51894207424573
1.0701754385964912,-148.74484397910075,-148.5299908428351
1.0751879699248121,-148.7060638363022,-148.54103961142445
1.0802005012531328,-148.67296911581144,-148.55208838001383
1.0852130325814537,-148.6455883476875,-148.5631371486032
1.0902255639097744,-148.6237422603385,-148.57418591719255
1.0952380952380953,-148.60710335061083,-148.58523468578193
1.100250626566416,-148.5952442040596,-148.59602417968452
1.105263157894737,-148.58767622790313,-148.60188745453846
1.1102756892230576,-148.5838802558912,-148.6077507293924
1.1152882205513786,-148.58333030212816,-148.6136140042463
1.1203007518796992,-148.58551157786945,-148.61947727910024
1.1253132832080202,-148.58993373977552,-148.62534055395417
1.130325814536341,-148.59614020841622,-148.6312038288081
1.1353383458646618,-148.6037142805629,-148.63706710366205
1.1403508771929824,-148.61228265653253,-148.64293037851596
1.1453634085213034,-148.62151691349231,-148.6487936533699
1.1503759398496243,-148.6311333758004,-148.65465692822383
1.155388471177945,-148.6408917633677,-148.66052020307777
1.1604010025062659,-148.65059293748882,-148.6663834779317
1.1654135338345866,-148.660076009886,-148.6722467527856
1.1704260651629075,-148.6692150339303,-148.67811002763955
1.1754385964912282,-148.6779154564701,-148.68397330249348
1.180451127819549,-148.68611047372943,-148.68983657734742
1.1854636591478698,-148.6937574046845,-148.69569985220136
1.1904761904761907,-148.70083416970456,-148.70156312705527
1.1954887218045114,-148.70733594047277,-148.7074264019092
1.2005012531328323,-148.71327200888823,-148.71296725705616
1.205513784461153,-148.71866290733337,-148.71560633484043
1.210526315789474,-148.7235378000317,-148.7182454126247
1.2155388471177946,-148.72793215486215,-148.72088449040896
1.2205513784461155,-148.7318856966436,-148.72352356819323
1.2255639097744362,-148.73544063629134,-148.72616264597747
1.230576441102757,-148.7386401651206,-148.72880172376173
1.2355889724310778,-148.74152719972838,-148.731440801546
1.2406015037593987,-148.74414336011935,-148.73407987933027
1.2456140350877196,-148.7465281618955,-148.73671895711453
1.2506265664160403,-148.74871840224037,-148.7393580348988
1.255639097744361,-148.75074771897312,-148.74199711268304
1.260651629072682,-148.75264630199956,-148.7446361904673
1.2656641604010028,-148.7544407369618,-148.74727526825157
1.2706766917293235,-148.7561539616661,-148.74991434603584
1.2756892230576442,-148.75780531691345,-148.7525534238201
1.2807017543859651,-148.75941067456552,-148.75519250160437
1.285714285714286,-148.7609826270188,-148.7578315793886
1.2907268170426067,-148.76253072367436,-148.76047065717287
1.2957393483709276,-148.76406174144068,-148.76310973495714
1.3007518796992483,-148.7655799777606,-148.7655346877426
1.3057644110275692,-148.7670875560833,-148.76674626553466
1.31077694235589,-148.76858473508688,-148.76795784332674
1.3157894736842108,-148.77007021427784,-148.76916942111885
1.3208020050125315,-148.7715414298405,-148.77038099891092
1.3258145363408524,-148.77299483576937,-148.771592576703
1.3308270676691731,-148.7744261663872,-148.77280415449508
1.335839598997494,-148.7758306773254,-148.77401573228718
1.3408521303258147,-148.77720336291938,-148.77522731007926
1.3458646616541357,-148.77853914875223,-148.77643888787134
1.3508771929824563,-148.77983305876393,-148.7776504656634
1.3558897243107773,-148.78108035693683,-148.77886204345552
1.3609022556390982,-148.78227666407162,-148.7800736212476
1.3659147869674189,-148.7834180505893,-148.78128519903967
1.3709273182957395,-148.7845011066375,-148.78249677683178
1.3759398496240605,-148.7855229910501,-148.78370835462385
1.3809523809523814,-148.78648146091246,-148.78491993241593
1.385964912280702,-148.7873748836289,-148.786131510208
1.3909774436090228,-148.78820223347893,-148.7873430880001
1.3959899749373437,-148.7889630746896,-148.7885546657922
1.4010025062656646,-148.78965753305224,-148.78955608754373
1.4060150375939853,-148.79028625807388,-148.78971688513315
1.411027568922306,-148.79085037758762,-148.78987768272253
1.4160401002506269,-148.7913514466523,-148.79003848031192
1.4210526315789478,-148.79179139245915,-148.79019927790134
1.4260651629072685,-148.7921724568323,-148.79036007549072
1.4310776942355894,-148.79249713776954,-148.79052087308014
1.43609022556391,-148.79276813131912,-148.79068167066953
1.441102756892231,-148.79298827493383,-148.79084246825892
1.4461152882205517,-148.793160493288,-148.79100326584833
1.4511278195488726,-148.79328774738727,-148.79116406343772
1.4561403508771933,-148.79337298764935,-148.79132486102714
1.4611528822055142,-148.7934191114879,-148.79148565861652
1.466165413533835,-148.79342892579223,-148.7916464562059
1.4711779448621558,-148.79340511456428,-148.79180725379533
1.4761904761904765,-148.79335021185435,-148.7919680513847
1.4812030075187974,-148.79326658002466,-148.79212884897413
1.486215538847118,-148.7931563932715,-148.79228964656352
1.491228070175439,-148.79302162624722,-148.7924504441529
1.49624060150376,-148.79286404754757,-148.79261124174232
1.5012531328320806,-148.79268521776305,-148.7926451184286
1.5062656641604013,-148.79248649174048,-148.79229823240556
1.5112781954887222,-148.79226902465692,-148.7919513463825
1.5162907268170431,-148.792033781476,-148.79160446035945
1.5213032581453638,-148.79178154933425,-148.7912575743364
1.5263157894736845,-148.79151295239234,-148.79091068831335
1.5313283208020054,-148.79122846868083,-148.7905638022903
1.5363408521303263,-148.79092844847514,-148.79021691626727
1.541353383458647,-148.79061313374388,-148.7898700302442
1.5463659147869677,-148.79028267823267,-148.78952314422116
1.5513784461152886,-148.789937167768,-148.7891762581981
1.5563909774436095,-148.7895766403932,-148.78882937217506
1.5614035087719302,-148.78920110597974,-148.78848248615202
1.566416040100251,-148.78881056499196,-148.78813560012895
1.5714285714285718,-148.7884050261197,-148.78778871410591
1.5764411027568928,-148.78798452253207,-148.78744182808288
1.5814536340852134,-148.78754912654514,-148.7870949420598
1.5864661654135344,-148.78709896253574,-148.78674805603677
1.5914786967418553,-148.78663421797324,-148.78640117001373
1.596491228070176,-148.78615515248015,-148.78605428399067
1.6015037593984967,-148.785662104869,-148.7856378862639
1.6065162907268176,-148.7851554981395,-148.7850592945618
1.6115288220551385,-148.78463584245253,-148.78448070285967
1.6165413533834592,-148.78410373612982,-148.78390211115754
1.6215538847117799,-148.78355986475523,-148.78332351945542
1.6265664160401008,-148.78300499848027,-148.7827449277533
1.6315789473684217,-148.78243998765825,-148.7821663360512
1.6365914786967424,-148.78186575695085,-148.78158774434908
1.641604010025063,-148.78128329806745,-148.78100915264696
1.646616541353384,-148.7806936613098,-148.78043056094484
1.651629072681705,-148.7800979461046,-148.7798519692427
1.6566416040100256,-148.7794972907132,-148.7792733775406
1.6616541353383463,-148.77889286131085,-148.7786947858385
1.6666666666666672,-148.77828584062846,-148.77811619413637
