oo,energy,loo_polynomial,loo_linear,loo_polynomial_mha,loo_linear_mha
1.0,-148.37530808258398,nan,nan,nan,nan
1.1,-148.59573101594182,nan,0.05172530001095765,nan,51.72530001095765
1.2000000000000002,-148.71270334927775,nan,0.032161365769951544,nan,32.161365769951544
1.3000000000000003,-148.76535295107377,nan,0.014239312421949535,nan,14.239312421949535
1.4000000000000004,-148.78952392802586,nan,0.010481532521794179,nan,10.481532521794179
1.5000000000000004,-148.79273183993436,nan,0.005064144034150786,nan,5.064144034150786
1.6000000000000005,-148.78581146377454,nan,0.0023112641487159635,nan,2.3112641487159635
1.7000000000000006,-148.77426855931728,nan,-0.0007438451134191837,nan,-0.7438451134191837
1.8000000000000007,-148.7642133450869,nan,-0.0011303624465597295,nan,-1.1303624465597295
1.9000000000000008,-148.75641885574962,nan,1.7822884785800852e-06,nan,0.0017822884785800852
2.000000000000001,-148.74862080183536,nan,-0.0008613033153039851,nan,-0.8613033153039851
2.100000000000001,-148.7425453545517,nan,-0.0010431883711135015,nan,-1.0431883711135015
2.200000000000001,-148.7385562840103,nan,-0.0006307306643122956,nan,-0.6307306643122956
2.300000000000001,-148.73582867479752,nan,0.00040448707221685254,nan,0.40448707221685254
2.4000000000000012,-148.73229209144029,nan,-0.0012151445269807937,nan,-1.2151445269807937
2.5000000000000013,-148.73118579713702,nan,-0.0003041430468329054,nan,-0.3041430468329054
2.6000000000000014,-148.73068778892744,nan,-3.8737899075158566e-05,nan,-0.038737899075158566
2.7000000000000015,-148.73026725651604,nan,-9.194930143507918e-05,nan,-0.09194930143507918
2.8000000000000016,-148.7300306227075,nan,-4.240646092057432e-06,nan,-0.004240646092057432
2.9000000000000017,-148.7298024701911,nan,-0.00011155100474979918,nan,-0.11155100474979918
3.0000000000000018,-148.7297974196842,nan,nan,nan,nan
