dihedral,polynomial,linear
0.0,-148.78482403629582,-148.78482403629542
0.45112781954887216,-148.5988659038917,-148.78484493877755
0.9022556390977443,-148.4673337307088,-148.7848658412597
1.3533834586466165,-148.3797934332397,-148.78488674374182
1.8045112781954886,-148.32737778536531,-148.78490764622396
2.2556390977443606,-148.30259116826306,-148.7849285487061
2.706766917293233,-148.2991350264538,-148.78494945118823
3.1578947368421053,-148.31175213890896,-148.78497035367036
3.6090225563909772,-148.3360879636166,-148.78499125615247
4.060150375939849,-148.3685674531817,-148.7850121586346
4.511278195488721,-148.40628586867493,-148.78503306111674
4.962406015037594,-148.44691223948152,-148.78505396359887
5.413533834586466,-148.4886042289751,-148.785074866081
5.864661654135338,-148.52993326991424,-148.78509576856314
6.315789473684211,-148.5698189300179,-148.78511667104527
6.7669172932330826,-148.60747155774487,-148.7851375735274
7.2180451127819545,-148.6423423412264,-148.78515847600954
7.669172932330826,-148.6740799900656,-148.78517937849168
8.120300751879698,-148.70249332070688,-148.7852002809738
8.571428571428571,-148.72751909162074,-148.78522118345595
9.022556390977442,-148.749194495058,-148.78524208593808
9.473684210526315,-148.7676337678782,-148.78526298842021
9.924812030075188,-148.7830084353111,-148.78528389090235
10.375939849624059,-148.79553074872604,-148.78532825215183
10.827067669172932,-148.80543992186273,-148.7853773051548
11.278195488721805,-148.81299080977962,-148.78542635815776
11.729323308270676,-148.81844471124276,-148.78547541116075
12.180451127819548,-148.82206200865113,-148.78552446416373
12.631578947368421,-148.82409639008523,-148.78557351716668
13.082706766917292,-148.8247904258968,-148.78562257016966
13.533834586466165,-148.82437229760077,-148.78567162317262
13.984962406015036,-148.82305349988857,-148.7857206761756
14.436090225563909,-148.82102735751985,-148.78576972917858
14.887218045112782,-148.81846821781986,-148.78581878218154
15.338345864661653,-148.8155311966771,-148.78586783518452
15.789473684210526,-148.81235237143335,-148.7859168881875
16.240601503759397,-148.80904932801496,-148.78596594119045
16.69172932330827,-148.80572198220233,-148.78601499419344
17.142857142857142,-148.80245360618696,-148.7860640471964
17.593984962406015,-148.79931200161747,-148.78611310019937
18.045112781954884,-148.79635076931254,-148.78616215320235
18.496240601503757,-148.7936106337869,-148.7862112062053
18.94736842105263,-148.79112078780202,-148.7862602592083
19.398496240601503,-148.7889002283882,-148.78630931221127
19.849624060150376,-148.78695906126714,-148.78635836521423
20.30075187969925,-148.78529975539976,-148.78641507721406
20.751879699248118,-148.78391833356704,-148.7864756187123
21.20300751879699,-148.78280548850648,-148.78653616021057
21.654135338345863,-148.7819476172453,-148.78659670170882
22.105263157894736,-148.78132776893025,-148.7866572432071
22.55639097744361,-148.7809265037108,-148.78671778470533
23.00751879699248,-148.7807226621219,-148.7867783262036
23.45864661654135,-148.78069404598247,-148.78683886770185
23.909774436090224,-148.78081801310336,-148.78689940920012
24.360902255639097,-148.7810719891271,-148.78695995069836
24.81203007518797,-148.7814339006229,-148.7870204921966
25.263157894736842,-148.78188253416698,-148.78708103369488
25.71428571428571,-148.7823978265758,-148.78714157519312
26.165413533834585,-148.78296109174525,-148.7872021166914
26.616541353383457,-148.78355518971395,-148.78726265818963
27.06766917293233,-148.78416464361908,-148.7873231996879
27.518796992481203,-148.78477571017683,-148.78738374118615
27.969924812030072,-148.78537640920598,-148.78744428268442
28.421052631578945,-148.7859565175355,-148.78750482418266
28.872180451127818,-148.78650753241305,-148.7875653656809
29.32330827067669,-148.78702260926258,-148.78762590717918
29.774436090225564,-148.7874964783462,-148.78768644867742
30.225563909774433,-148.7879253445665,-148.78774527321568
30.676691729323306,-148.78830677431463,-148.78780238079392
31.12781954887218,-148.78863957293083,-148.78785948837216
31.57894736842105,-148.78892365600151,-148.7879165959504
32.03007518796992,-148.78915991737918,-148.78797370352865
32.48120300751879,-148.78935009647824,-148.78803081110686
32.932330827067666,-148.78949664707665,-148.7880879186851
33.38345864661654,-148.78960260954375,-148.78814502626335
33.83458646616541,-148.7896714881184,-148.7882021338416
34.285714285714285,-148.78970713458205,-148.78825924141984
34.73684210526316,-148.78971363941068,-148.78831634899808
35.18796992481203,-148.78969523124516,-148.78837345657632
35.6390977443609,-148.78965618529733,-148.78843056415457
36.09022556390977,-148.78960074110347,-148.7884876717328
36.54135338345864,-148.78953302985323,-148.78854477931102
36.992481203007515,-148.78945701135552,-148.78860188688927
37.44360902255639,-148.7893764205576,-148.7886589944675
37.89473684210526,-148.78929472340414,-148.78871610204575
38.34586466165413,-148.7892150817143,-148.788773209624
38.796992481203006,-148.78914032666012,-148.78883031720224
39.24812030075188,-148.78907294035315,-148.78888742478048
