angle,polynomial,linear
80.0,-148.76789510280668,-148.767895102808
80.15037593984962,-148.76881095456477,-148.76844806536178
80.30075187969925,-148.76969209711936,-148.76900102791552
80.45112781954887,-148.77053920328092,-148.7695539904693
80.6015037593985,-148.77135311729063,-148.77010695302303
80.75187969924812,-148.7721348290165,-148.7706599155768
80.90225563909775,-148.77288545016793,-148.77121287813054
81.05263157894737,-148.77360619242253,-148.7717658406843
81.203007518797,-148.7742983473619,-148.77231880323805
81.35338345864662,-148.77496326811828,-148.77287176579182
81.50375939849624,-148.77560235263675,-148.7734247283456
81.65413533834587,-148.7762170284623,-148.77397769089933
81.80451127819549,-148.77680873896355,-148.7745306534531
81.95488721804512,-148.77737893090995,-148.77508361600684
82.10526315789474,-148.7779290433211,-148.7756365785606
82.25563909774436,-148.77846049751156,-148.77618954111435
82.40601503759399,-148.7789746882563,-148.77674250366812
82.55639097744361,-148.77947297600704,-148.77729546622186
82.70676691729324,-148.77995668009012,-148.77784842877563
82.85714285714286,-148.78042707282225,-148.7784013913294
83.00751879699249,-148.7808853744813,-148.77895435388314
83.15789473684211,-148.78133274907293,-148.7795073164369
83.30827067669173,-148.7817703008365,-148.78006027899065
83.45864661654136,-148.78219907143642,-148.78061324154442
83.60902255639098,-148.78262003778664,-148.78116620409816
83.7593984962406,-148.78303411046022,-148.78171916665192
83.90977443609023,-148.7834421326364,-148.78227212920567
84.06015037593986,-148.78384487954116,-148.78282509175943
84.21052631578948,-148.78424305833886,-148.7833780543132
84.3609022556391,-148.78463730843478,-148.78393101686694
84.51127819548873,-148.7850282021507,-148.7844839794207
84.66165413533835,-148.78541624573722,-148.78503694197445
84.81203007518798,-148.78580188068898,-148.78558990452822
84.9624060150376,-148.78618548532992,-148.78614286708196
85.11278195488723,-148.78656737663903,-148.78653755864266
85.26315789473684,-148.7869478122867,-148.78687949320567
85.41353383458646,-148.78732699285547,-148.7872214277687
85.56390977443608,-148.78770506421915,-148.78756336233172
85.71428571428571,-148.78808212005669,-148.78790529689473
85.86466165413533,-148.78845820447788,-148.78824723145775
86.01503759398496,-148.78883331474054,-148.78858916602076
86.16541353383458,-148.78920740403862,-148.78893110058377
