angle,energy,loo_polynomial,loo_linear,loo_polynomial_mha,loo_linear_mha
80.0,-148.767895102808,nan,nan,nan,nan
85.0,-148.7862811077204,nan,0.0035083403461158014,nan,3.5083403461158014
90.0,-148.7976504319406,nan,0.004319270272048925,nan,4.319270272048925
95.0,-148.8003812156167,nan,0.0041051823540101395,nan,4.1051823540101395
100.0,-148.7949016345848,nan,0.0007747912875970542,nan,0.7747912875970542
105.0,-148.78787247097767,nan,0.0011995984195323217,nan,1.1995984195323217
110.0,-148.77844411053147,nan,0.0021976462159898347,nan,2.1976462159898347
115.0,-148.76462045765328,nan,0.0017322972872193532,nan,1.7322972872193532
120.0,-148.74733221020063,nan,0.0021053334015732617,nan,2.1053334015732617
125.0,-148.72583329594485,nan,0.0006436540400898139,nan,0.6436540400898139
130.0,-148.70304707360887,nan,0.0016785203181086672,nan,1.6785203181086672
135.0,-148.6769038106367,nan,0.00036272454377694885,nan,0.36272454377694885
140.0,-148.65003509857695,nan,nan,nan,nan
