distance,polynomial,linear
0.8,-106.7132614335497,-106.71326143354956
0.8020025031289112,-106.72882943864822,-106.72132910202359
0.8040050062578223,-106.744170121438,-106.7293967704976
0.8060075093867335,-106.75928661680928,-106.73746443897163
0.8080100125156446,-106.77418201785646,-106.74553210744564
0.8100125156445558,-106.78885937635869,-106.75359977591967
0.8120150187734668,-106.8033217032561,-106.76166744439368
0.814017521902378,-106.81757196912207,-106.7697351128677
0.8160200250312891,-106.83161310463129,-106.77780278134172
0.8180225281602003,-106.8454480010237,-106.78587044981575
0.8200250312891114,-106.85907951056461,-106.79393811828976
0.8220275344180226,-106.87251044700045,-106.80200578676379
0.8240300375469337,-106.88574358601079,-106.8100734552378
0.8260325406758449,-106.8987816656562,-106.81814112371183
0.828035043804756,-106.91162738682227,-106.82620879218585
0.8300375469336672,-106.92428341365954,-106.83427646065986
0.8320400500625783,-106.93675237401966,-106.84234412913389
0.8340425531914895,-106.94903685988753,-106.8504117976079
0.8360450563204005,-106.96113942780966,-106.85847946608193
0.8380475594493116,-106.9730625993186,-106.86654713455594
0.8400500625782228,-106.9848088613536,-106.87461480302997
0.8420525657071339,-106.99638066667738,-106.88268247150398
0.8440550688360451,-107.00778043428924,-106.89075013997801
0.8460575719649562,-107.01901054983426,-106.89881780845202
0.8480600750938674,-107.03007336600885,-106.90688547692605
0.8500625782227785,-107.04097120296255,-106.91495314540006
0.8520650813516897,-107.05170634869617,-106.92302081387409
0.8540675844806008,-107.06228105945618,-106.93108848234812
0.856070087609512,-107.07269756012545,-106.93915615082213
0.858072590738423,-107.08295804461048,-106.94722381929616
0.8600750938673342,-107.09306467622483,-106.95529148777017
0.8620775969962453,-107.10301958806913,-106.9633591562442
0.8640801001251565,-107.1128248834074,-106.97142682471821
0.8660826032540676,-107.12248263603988,-106.97949449319223
0.8680851063829788,-107.13199489067232,-106.98756216166625
0.8700876095118899,-107.14136366328175,-106.99562983014027
0.872090112640801,-107.15059094147884,-107.00369749861429
0.8740926157697122,-107.15967868486665,-107.01176516708831
0.8760951188986233,-107.16862882539613,-107.01983283556233
0.8780976220275345,-107.177443267718,-107.02790050403635
0.8801001251564455,-107.1861238895314,-107.03596817251038
0.8821026282853567,-107.19467254192905,-107.04403584098439
0.8841051314142678,-107.20309104973911,-107.05210350945842
0.886107634543179,-107.21138121186371,-107.06017117793243
0.8881101376720901,-107.21954480161406,-107.06823884640646
0.8901126408010013,-107.22758356704244,-107.07630651488047
0.8921151439299124,-107.23549923127081,-107.0843741833545
0.8941176470588236,-107.24329349281606,-107.09244185182851
0.8961201501877347,-107.25096802591234,-107.10050952030254
0.8981226533166459,-107.25852448082979,-107.10857718877655
0.900125156445557,-107.26596448419042,-107.11664485725058
0.902127659574468,-107.27328963928055,-107.12471252572459
