distance,energy,loo_spline,loo_linear,loo_spline_mha,loo_linear_mha
0.9,-7.722834554681542,nan,nan,nan,nan
1.15,-7.840175201693087,0.005146701853183444,0.03964292127770541,5.146701853183444,39.64292127770541
1.4,-7.878230006149221,-0.0030749036741921643,0.01766906049728867,-3.0749036741921643,17.66906049728867
1.6499999999999997,-7.880946689610778,-0.0003169758157808289,0.007837330884176374,-0.3169758157808289,7.8373308841763745
1.8999999999999995,-7.867988711303983,-0.00036150300470083607,0.0028628310068352647,-0.3615030047008361,2.8628310068352647
2.1499999999999995,-7.849305070983517,-0.0001283110599654691,0.00013932401197713773,-0.1283110599654691,0.13932401197713773
2.3999999999999995,-7.830342782639096,-0.00011947390542310643,-0.001395711760017626,-0.11947390542310643,-1.395711760017626
2.649999999999999,-7.81417191781471,-0.0001111022005391149,-0.0020727794758537144,-0.1111022005391149,-2.0727794758537144
2.899999999999999,-7.802146611942033,-5.9993146440007195e-05,-0.0020037759967150848,-0.059993146440007195,-2.0037759967150848
3.149999999999999,-7.794128858062784,1.521600353271424e-06,-0.001517089788221071,0.001521600353271424,-1.517089788221071
3.399999999999999,-7.789145283759978,3.469479909501416e-05,-0.0009990802527379827,0.03469479909501416,-0.9990802527379827
3.6499999999999986,-7.786159869962647,-5.807134327362462e-05,-0.000615670053105255,-0.05807134327362462,-0.615670053105255
3.8999999999999986,-7.7844057962715265,nan,nan,nan,nan
