distance,spline,linear
0.9,-7.722834554681542,-7.722834554681542
0.9037546933667084,-7.725427200295897,-7.7245968672774605
0.9075093867334167,-7.7279908901221415,-7.726359179873378
0.9112640801001252,-7.730525792980475,-7.728121492469296
0.9150187734668336,-7.733032077691098,-7.7298838050652146
0.9187734668335419,-7.7355099130742095,-7.731646117661133
0.9225281602002503,-7.737959467950015,-7.73340843025705
0.9262828535669587,-7.740380911138709,-7.735170742852969
0.9300375469336671,-7.7427744114604975,-7.736933055448887
0.9337922403003754,-7.745140137735577,-7.738695368044805
0.9375469336670839,-7.747478258784151,-7.740457680640723
0.9413016270337923,-7.7497889434264176,-7.742219993236641
0.9450563204005006,-7.752072360482578,-7.743982305832559
0.948811013767209,-7.754328678772835,-7.745744618428477
0.9525657071339174,-7.756558067117387,-7.747506931024395
0.9563204005006258,-7.758760694336435,-7.749269243620313
0.9600750938673341,-7.760936729250179,-7.7510315562162315
0.9638297872340426,-7.763086340678823,-7.752793868812149
0.967584480600751,-7.765209697442563,-7.754556181408067
0.9713391739674593,-7.767306968361602,-7.7563184940039855
0.9750938673341677,-7.76937832225614,-7.758080806599904
0.9788485607008761,-7.771423927946377,-7.759843119195821
0.9826032540675844,-7.7734439542525156,-7.76160543179174
0.9863579474342928,-7.775438569994754,-7.763367744387658
0.9901126408010013,-7.777407943993295,-7.765130056983576
0.9938673341677096,-7.779352245068337,-7.766892369579494
0.997622027534418,-7.781271642040082,-7.768654682175412
1.0013767209011264,-7.783166303728731,-7.77041699477133
1.0051314142678347,-7.785036398954483,-7.772179307367248
1.0088861076345432,-7.786882096537539,-7.773941619963166
1.0126408010012515,-7.788703565298102,-7.775703932559084
1.0163954943679598,-7.790500974056368,-7.7774662451550025
1.0201501877346684,-7.792274491632542,-7.77922855775092
1.0239048811013767,-7.794024286846822,-7.780990870346838
1.027659574468085,-7.7957505285194095,-7.7827531829427565
1.0314142678347935,-7.797453385470505,-7.784515495538675
1.0351689612015018,-7.79913302652031,-7.786277808134592
1.0389236545682101,-7.800789620489023,-7.7880401207305106
1.0426783479349186,-7.802423336196846,-7.789802433326429
1.046433041301627,-7.80403434246398,-7.791564745922346
1.0501877346683353,-7.805622808110624,-7.793327058518265
1.0539424280350438,-7.80718890195698,-7.795089371114183
1.057697121401752,-7.808732792823249,-7.796851683710101
1.0614518147684606,-7.810254649529629,-7.798613996306019
1.065206508135169,-7.811754640896323,-7.800376308901937
1.0689612015018772,-7.813232935743531,-7.802138621497855
1.0727158948685858,-7.814689702891454,-7.8039009340937735
1.076470588235294,-7.816125111160291,-7.805663246689691
1.0802252816020024,-7.817539329370245,-7.807425559285609
1.083979974968711,-7.818932526341514,-7.8091878718815275
1.0877346683354192,-7.8203048708943,-7.810950184477445
1.0914893617021275,-7.821656531848803,-7.812712497073363
1.095244055068836,-7.8229876780252265,-7.8144748096692815
1.0989987484355443,-7.824298478243765,-7.8162371222652
1.1027534418022527,-7.825589101324625,-7.817999434861117
1.1065081351689612,-7.826859716088005,-7.819761747457036
1.1102628285356695,-7.828110491354105,-7.821524060052954
1.1140175219023778,-7.829341595943125,-7.823286372648872
1.1177722152690863,-7.8305531986752674,-7.82504868524479
1.1215269086357946,-7.831745468370731,-7.826810997840708
1.1252816020025032,-7.832918573849718,-7.828573310436626
1.1290362953692115,-7.83407268393243,-7.8303356230325445
1.1327909887359198,-7.835207967439064,-7.832097935628462
1.136545682102628,-7.836324593189822,-7.83386024822438
1.1403003754693366,-7.837422730004907,-7.8356225608202985
1.144055068836045,-7.838502546704516,-7.837384873416216
1.1478097622027534,-7.8395642121088525,-7.839147186012134
1.1515644555694617,-7.840607895038115,-7.840413341896191
1.15531914893617,-7.841633764312506,-7.840984878383643
1.1590738423028784,-7.842641988752224,-7.841556414871094
1.1628285356695869,-7.8436327371774714,-7.842127951358545
1.1665832290362952,-7.844606178408448,-7.842699487845997
1.1703379224030037,-7.845562481265353,-7.843271024333448
1.174092615769712,-7.84650181456839,-7.8438425608208995
1.1778473091364203,-7.847424347137758,-7.84441409730835
1.1816020025031289,-7.8483302477936565,-7.844985633795802
1.1853566958698372,-7.849219685356288,-7.845557170283254
1.1891113892365457,-7.8500928286458524,-7.846128706770704
1.192866082603254,-7.850949846482549,-7.846700243258156
1.1966207759699623,-7.851790907686581,-7.847271779745607
1.2003754693366706,-7.8526161810781465,-7.8478433162330585
1.2041301627033791,-7.853425835477448,-7.84841485272051
1.2078848560700874,-7.854220039704685,-7.848986389207961
1.211639549436796,-7.8549989625800585,-7.849557925695413
1.2153942428035043,-7.855762772923768,-7.850129462182864
1.2191489361702126,-7.8565116395560155,-7.850700998670315
1.2229036295369209,-7.857245731297001,-7.851272535157767
1.2266583229036294,-7.857965216966926,-7.851844071645218
1.2304130162703377,-7.85867026538599,-7.852415608132669
1.2341677096370463,-7.859361045374394,-7.852987144620121
1.2379224030037546,-7.860037725752337,-7.853558681107572
1.2416770963704629,-7.860700475340022,-7.854130217595023
1.2454317897371714,-7.861349462957649,-7.854701754082474
1.2491864831038797,-7.861984857425417,-7.855273290569926
1.252941176470588,-7.862606827563529,-7.8558448270573775
1.2566958698372965,-7.863215542192185,-7.856416363544828
1.2604505632040048,-7.863811170131584,-7.85698790003228
1.2642052565707131,-7.864393880201927,-7.857559436519731
1.2679599499374217,-7.864963841223416,-7.858130973007182
1.27171464330413,-7.865521222016251,-7.858702509494634
1.2754693366708385,-7.866066191400631,-7.859274045982085
1.2792240300375468,-7.866598918196759,-7.859845582469537
1.2829787234042551,-7.867119571224835,-7.860417118956988
1.2867334167709634,-7.867628319305059,-7.860988655444439
1.290488110137672,-7.868125331257632,-7.861560191931891
1.2942428035043803,-7.868610775902753,-7.8621317284193415
1.2979974968710888,-7.869084822060625,-7.862703264906793
1.301752190237797,-7.869547638551446,-7.863274801394245
1.3055068836045054,-7.869999394195419,-7.863846337881696
1.3092615769712137,-7.870440257812745,-7.864417874369147
1.3130162703379222,-7.870870398223621,-7.864989410856598
1.3167709637046305,-7.871289984248252,-7.86556094734405
1.320525657071339,-7.871699184706835,-7.866132483831501
1.3242803504380474,-7.872098168419572,-7.866704020318952
1.3280350438047557,-7.872487104206664,-7.867275556806404
1.3317897371714642,-7.872866160888311,-7.867847093293856
1.3355444305381725,-7.873235507284715,-7.868418629781306
1.339299123904881,-7.873595312216073,-7.868990166268758
1.3430538172715893,-7.87394574450259,-7.869561702756209
1.3468085106382977,-7.874286972964464,-7.8701332392436605
1.350563204005006,-7.874619166421897,-7.870704775731112
1.3543178973717145,-7.874942493695088,-7.871276312218563
1.3580725907384228,-7.8752571236042375,-7.871847848706015
1.3618272841051313,-7.875563224969548,-7.872419385193465
1.3655819774718396,-7.875860966611218,-7.872990921680917
1.369336670838548,-7.87615051734945,-7.873562458168369
1.3730913642052562,-7.876432046004444,-7.8741339946558195
1.3768460575719648,-7.8767057213964,-7.874705531143271
1.380600750938673,-7.876971712345519,-7.875277067630722
1.3843554443053816,-7.8772301876720014,-7.875848604118174
1.38811013767209,-7.8774813161960475,-7.876420140605625
1.3918648310387982,-7.877725266737859,-7.876991677093076
1.3956195244055067,-7.877962208117635,-7.877563213580528
1.399374217772215,-7.878192309155577,-7.8781347500679795
1.4031289111389236,-7.878415727133093,-7.878264007193796
1.4068836045056319,-7.878632542621698,-7.878304808447286
1.4106382978723402,-7.878842804899701,-7.8783456097007765
1.4143929912390485,-7.8790465631531035,-7.878386410954267
1.4181476846057568,-7.8792438665679025,-7.878427212207757
1.4219023779724653,-7.879434764330099,-7.878468013461247
1.4256570713391739,-7.879619305625691,-7.8785088147147375
1.4294117647058822,-7.87979753964068,-7.878549615968228
1.4331664580725905,-7.879969515561062,-7.878590417221718
1.4369211514392988,-7.880135282572839,-7.878631218475208
1.4406758448060073,-7.88029488986201,-7.878672019728699
1.4444305381727156,-7.880448386614574,-7.878712820982188
1.4481852315394241,-7.880595822016531,-7.878753622235679
1.4519399249061324,-7.880737245253879,-7.878794423489169
1.4556946182728407,-7.880872705512618,-7.87883522474266
1.459449311639549,-7.8810022519787495,-7.878876025996149
1.4632040050062576,-7.881125933838269,-7.87891682724964
1.466958698372966,-7.881243800277179,-7.87895762850313
1.4707133917396744,-7.881355900481477,-7.87899842975662
1.4744680851063827,-7.8814622836371635,-7.87903923101011
1.478222778473091,-7.881562998930237,-7.879080032263601
1.4819774718397993,-7.881658095546698,-7.87912083351709
1.4857321652065079,-7.8817476226725445,-7.879161634770581
1.4894868585732164,-7.881831629493778,-7.879202436024071
1.4932415519399247,-7.881910165196395,-7.879243237277562
1.496996245306633,-7.881983278966396,-7.879284038531051
1.5007509386733413,-7.882051019989783,-7.879324839784542
1.5045056320400498,-7.882113437452551,-7.879365641038032
1.5082603254067581,-7.882170580540702,-7.879406442291522
1.5120150187734667,-7.882222498440235,-7.8794472435450125
1.515769712140175,-7.88226924033715,-7.879488044798503
1.5195244055068833,-7.882310855417445,-7.8795288460519926
1.5232790988735916,-7.8823473928671195,-7.879569647305483
1.5270337922403001,-7.882378901872173,-7.8796104485589735
1.5307884856070084,-7.882405431618606,-7.879651249812464
1.534543178973717,-7.882427031292418,-7.879692051065954
1.5382978723404253,-7.882443750079606,-7.879732852319444
1.5420525657071336,-7.882455637166172,-7.879773653572935
1.5458072590738419,-7.882462741738113,-7.879814454826424
1.5495619524405504,-7.882465112981431,-7.879855256079915
1.553316645807259,-7.8824628000821235,-7.879896057333405
1.5570713391739672,-7.882455852226189,-7.879936858586895
1.5608260325406755,-7.88244431859963,-7.879977659840385
1.5645807259073838,-7.882428248388442,-7.880018461093876
1.5683354192740921,-7.88240769077863,-7.880059262347366
1.5720901126408007,-7.882382694956187,-7.880100063600856
1.5758448060075092,-7.882353310107115,-7.880140864854346
1.5795994993742175,-7.882319585417416,-7.880181666107837
1.5833541927409258,-7.882281570073085,-7.880222467361326
1.5871088861076341,-7.882239313260125,-7.880263268614817
1.5908635794743426,-7.882192864164532,-7.880304069868307
1.594618272841051,-7.882142271972308,-7.880344871121797
1.5983729662077595,-7.882087585869451,-7.880385672375287
1.6021276595744678,-7.882028855041963,-7.880426473628778
1.605882352941176,-7.881966128675838,-7.880467274882268
1.6096370463078844,-7.881899455957081,-7.880508076135758
1.613391739674593,-7.881828886071688,-7.8805488773892485
1.6171464330413015,-7.881754468205658,-7.880589678642739
1.6209011264080098,-7.881676251544994,-7.880630479896229
1.624655819774718,-7.881594285275693,-7.880671281149719
1.6284105131414264,-7.881508618583752,-7.8807120824032095
1.6321652065081347,-7.881419300655176,-7.880752883656699
1.6359198998748432,-7.88132638067596,-7.88079368491019
1.6396745932415517,-7.881229907832104,-7.88083448616368
1.64342928660826,-7.881129931309609,-7.880875287417171
1.6471839799749683,-7.881026500294473,-7.88091608867066
1.6509386733416767,-7.880919663933455,-7.880898036375584
1.6546933667083852,-7.880809466625259,-7.880703423434806
1.6584480600750935,-7.8806959435471535,-7.880508810494028
1.662202753441802,-7.880579128816924,-7.88031419755325
1.6659574468085103,-7.880459056552358,-7.880119584612472
1.6697121401752186,-7.880335760871239,-7.879924971671694
1.673466833541927,-7.880209275891357,-7.879730358730916
1.6772215269086355,-7.880079635730494,-7.879535745790139
1.6809762202753438,-7.879946874506437,-7.87934113284936
1.6847309136420523,-7.879811026336973,-7.879146519908582
1.6884856070087606,-7.879672125339886,-7.878951906967805
1.692240300375469,-7.879530205632966,-7.878757294027027
1.6959949937421772,-7.879385301333994,-7.878562681086249
1.6997496871088857,-7.879237446560759,-7.878368068145471
1.7035043804755943,-7.879086675431046,-7.878173455204693
1.7072590738423026,-7.8789330220626415,-7.877978842263915
1.7110137672090109,-7.8787765205733304,-7.8777842293231375
1.7147684605757192,-7.8786172050809,-7.87758961638236
1.7185231539424275,-7.878455109703134,-7.877395003441581
1.722277847309136,-7.878290268557821,-7.8772003905008035
1.7260325406758446,-7.878122715762745,-7.877005777560026
1.7297872340425529,-7.877952485435695,-7.876811164619248
1.7335419274092612,-7.877779611694452,-7.87661655167847
1.7372966207759695,-7.877604128656807,-7.876421938737692
1.741051314142678,-7.877426070440542,-7.876227325796914
1.7448060075093863,-7.8772454711634445,-7.876032712856136
1.7485607008760948,-7.877062364943302,-7.8758380999153585
1.7523153942428031,-7.876876785897897,-7.875643486974581
1.7560700876095114,-7.876688768145019,-7.875448874033802
1.7598247809762197,-7.876498345802451,-7.8752542610930245
1.7635794743429283,-7.876305552987983,-7.875059648152247
1.7673341677096368,-7.876110423819395,-7.874865035211469
1.7710888610763451,-7.875912992414478,-7.874670422270691
