bond,angle,energy,held_out,holdout_polynomial_mha,holdout_linear_mha
0.9,90.0,-15.252287568554745,False,nan,nan
0.9,100.0,-15.275222252772531,True,-0.037748042762686396,2.172162319933335
0.9,110.0,-15.29381261235045,False,nan,nan
0.9,120.0,-15.308800045735687,True,-0.04321666819251391,1.5013644645129887
0.9,130.0,-15.320784750191898,False,nan,nan
0.9,140.0,-15.330208412892588,True,-0.12996819440402874,1.1317500027754335
0.9,150.0,-15.337368575587728,False,nan,nan
0.9,160.0,-15.342434349178777,True,-0.3941924990407131,1.0137671906864654
0.9,170.0,-15.345472588388454,False,nan,nan
0.9,180.0,-15.34648801653346,True,-1.349084290506397,-3.0365782553563037
1.05,90.0,-15.405947558088684,True,7.981688668772691,46.61116073181404
1.05,100.0,-15.428728312218325,True,7.911777082144411,48.85693364661137
1.05,110.0,-15.44727579365901,True,7.783223671872008,46.86943387245179
1.05,120.0,-15.462335965704355,True,7.732118312326008,48.480900382998016
1.05,130.0,-15.47448443192917,True,7.821680419414889,47.18066107301233
1.05,140.0,-15.484120479327206,True,8.036302088338942,48.47808100599238
1.05,150.0,-15.491492911156707,True,8.307380939124087,47.511885370434825
1.05,160.0,-15.496729470229187,True,8.542743405428155,48.671600197714326
1.05,170.0,-15.49987427406327,True,8.664079888360376,47.73955978659572
1.05,180.0,-15.500925332095939,True,8.644461967724837,44.71377357406503
1.2000000000000002,90.0,-15.466385226158994,False,nan,nan
1.2000000000000002,100.0,-15.488765162514934,True,0.9964661453736312,2.0724958241054026
1.2000000000000002,110.0,-15.507000107222662,False,nan,nan
1.2000000000000002,120.0,-15.521835220708027,True,0.7218366123655784,1.4237713364870785
1.2000000000000002,130.0,-15.533822791520416,False,nan,nan
1.2000000000000002,140.0,-15.543333067688009,True,1.1264722170327701,1.124933935395589
1.2000000000000002,150.0,-15.550593475984812,False,nan,nan
1.2000000000000002,160.0,-15.555728633617292,True,1.9050836408425198,1.0334755424405984
1.2000000000000002,170.0,-15.558796840164892,False,nan,nan
1.2000000000000002,180.0,-15.559818412799242,True,2.6387738717517095,-3.080109455691371
1.35,90.0,-15.474385992960297,True,-3.3006531111308135,14.939905136181153
1.35,100.0,-15.496080756961488,True,-3.4940700803876013,17.074139482312845
1.35,110.0,-15.51373810072549,True,-3.7236071741233445,15.170953591255198
1.35,120.0,-15.528092125650595,True,-3.8265407467683588,16.64098342115139
1.35,130.0,-15.539668081638895,True,-3.7515093886000273,15.332944314241814
1.35,140.0,-15.548813942345257,True,-3.5269386767851074,16.498158828609277
1.35,150.0,-15.555748543300677,True,-3.2129030520060553,15.452113592036909
1.35,160.0,-15.560605962571529,True,-2.856745159228069,16.493485756541304
1.35,170.0,-15.563476991166446,True,-2.451605440800364,15.548467245107389
1.35,180.0,-15.564425776833508,True,-1.9197783392961298,12.681205805817442
1.5,90.0,-15.452506949489239,False,nan,nan
1.5,100.0,-15.473263498310873,True,-2.6101554609105904,1.9429300433486674
1.5,110.0,-15.49013418704581,False,nan,nan
