bond,polynomial,linear
0.9,-15.346488264217994,-15.346488264218127
0.9037593984962407,-15.421979140567805,-15.350863509600355
0.9075187969924812,-15.480963462204636,-15.355238754982583
0.9112781954887218,-15.525918727095274,-15.359614000364813
0.9150375939849624,-15.559034980603881,-15.36398924574704
0.9187969924812031,-15.582241958792892,-15.368364491129269
0.9225563909774436,-15.597234098904384,-15.372739736511496
0.9263157894736842,-15.605493557610703,-15.377114981893724
0.9300751879699248,-15.608311369847303,-15.381490227275952
0.9338345864661655,-15.60680687363645,-15.385865472658182
0.937593984962406,-15.601945519234112,-15.39024071804041
0.9413533834586466,-15.594555174200712,-15.394615963422638
0.9451127819548872,-15.585341029574316,-15.398991208804865
0.9488721804511279,-15.574899206211215,-15.403366454187093
0.9526315789473684,-15.563729154539926,-15.407741699569321
0.956390977443609,-15.55224493543796,-15.412116944951551
0.9601503759398496,-15.540785464672469,-15.416492190333779
0.9639097744360903,-15.529623798343405,-15.420867435716007
0.9676691729323308,-15.518975532008964,-15.425242681098235
0.9714285714285714,-15.50900638165983,-15.429617926480462
0.975187969924812,-15.499839010420608,-15.433993171862692
0.9789473684210527,-15.491559160792816,-15.43836841724492
0.9827067669172932,-15.484221148398747,-15.442743662627148
0.9864661654135338,-15.477852769533747,-15.447118908009376
0.9902255639097745,-15.47245967137643,-15.451494153391604
0.9939849624060151,-15.468029230433713,-15.455869398773833
0.9977443609022556,-15.46453398170258,-15.460244644156061
1.0015037593984961,-15.461934638104776,-15.463858692722948
1.0052631578947369,-15.460182736987742,-15.466330946066822
1.0090225563909774,-15.459222947876968,-15.468803199410697
1.0127819548872181,-15.45899507320522,-15.47127545275457
1.0165413533834586,-15.459435771424701,-15.473747706098445
1.0203007518796992,-15.460480029725646,-15.47621995944232
1.02406015037594,-15.462062411528526,-15.478692212786195
1.0278195488721804,-15.464118101985667,-15.48116446613007
1.0315789473684212,-15.466583772911564,-15.483636719473942
1.0353383458646617,-15.469398286857558,-15.486108972817817
1.0390977443609022,-15.472503258447288,-15.488581226161692
1.042857142857143,-15.475843489592366,-15.491053479505567
1.0466165413533834,-15.47936729380463,-15.493525732849442
1.050375939849624,-15.48302672351123,-15.495997986193315
1.0541353383458647,-15.486777713052955,-15.49847023953719
1.0578947368421052,-15.49058014890424,-15.500942492881064
1.0616541353383457,-15.494397877587483,-15.503414746224939
1.0654135338345865,-15.498198660762576,-15.505886999568814
1.069172932330827,-15.501954086051272,-15.508359252912687
1.0729323308270677,-15.505639441299259,-15.510831506256562
1.0766917293233083,-15.509233559185457,-15.513303759600436
1.0804511278195488,-15.512718638353352,-15.515776012944311
1.0842105263157895,-15.516080046559829,-15.518248266288186
1.08796992481203,-15.519306110710025,-15.52072051963206
1.0917293233082705,-15.522387898069795,-15.523192772975934
1.0954887218045113,-15.525318992415988,-15.525665026319809
1.0992481203007518,-15.528095268398012,-15.528137279663683
1.1030075187969923,-15.530714666937781,-15.529569675424039
1.106766917293233,-15.533176974088008,-15.530742106788512
1.1105263157894736,-15.535483605397154,-15.531914538152988
1.1142857142857143,-15.537637397492249,-15.533086969517463
1.1180451127819548,-15.539642408284772,-15.534259400881936
1.1218045112781954,-15.541503726928878,-15.535431832246411
1.125563909774436,-15.543227294412464,-15.536604263610887
1.1293233082706766,-15.544819735438987,-15.537776694975362
1.1330827067669174,-15.546288202058959,-15.538949126339835
1.1368421052631579,-15.54764022933337,-15.54012155770431
1.1406015037593984,-15.54888360315532,-15.541293989068786
1.1443609022556391,-15.550026240219186,-15.542466420433259
1.1481203007518797,-15.551076080007235,-15.543638851797734
1.1518796992481202,-15.552040988560645,-15.54481128316221
1.155639097744361,-15.55292867371364,-15.545983714526685
1.1593984962406014,-15.553746611395171,-15.547156145891158
1.163157894736842,-15.554501982540591,-15.548328577255633
1.1669172932330827,-15.555201620105588,-15.549501008620108
1.1706766917293232,-15.5558519656345,-15.550673439984582
1.174436090225564,-15.556459034804853,-15.551845871349057
1.1781954887218045,-15.557028391348009,-15.553018302713532
1.181954887218045,-15.55756512873154,-15.554190734078007
1.1857142857142857,-15.558073858981805,-15.55536316544248
1.1894736842105262,-15.55855870802397,-15.556535596806956
1.193233082706767,-15.559023316921062,-15.557708028171431
1.1969924812030075,-15.559470848402825,-15.558880459535905
1.200751879699248,-15.559903998088398,-15.559874151701719
1.2045112781954885,-15.560325009823853,-15.560152887072883
1.2082706766917293,-15.56073569457565,-15.560431622444048
1.2120300751879698,-15.561137452343772,-15.560710357815212
1.2157894736842105,-15.561531296583139,-15.560989093186375
1.219548872180451,-15.561917880648492,-15.56126782855754
1.2233082706766916,-15.562297525805969,-15.561546563928705
1.2270676691729323,-15.56267025038355,-15.56182529929987
1.2308270676691728,-15.563035799662325,-15.562104034671034
1.2345864661654136,-15.563393676140665,-15.562382770042198
1.238345864661654,-15.563743169833668,-15.562661505413363
1.2421052631578946,-15.564083388300546,-15.562940240784528
1.2458646616541353,-15.564413286122505,-15.563218976155692
1.2496240601503759,-15.564731693583186,-15.563497711526857
1.2533834586466166,-15.565037344332525,-15.563776446898022
1.2571428571428571,-15.565328901842982,-15.564055182269184
1.2609022556390976,-15.565604984494136,-15.564333917640349
1.2646616541353382,-15.565864189147797,-15.564612653011514
1.268421052631579,-15.566105113100694,-15.564891388382678
1.2721804511278194,-15.566326374325572,-15.565170123753843
1.2759398496240602,-15.566526629934055,-15.565448859125008
1.2796992481203007,-15.566704592815723,-15.565727594496172
1.2834586466165412,-15.566859046427764,-15.566006329867337
1.287218045112782,-15.566988857727887,-15.566285065238501
1.2909774436090224,-15.56709298826034,-15.566563800609666
1.2947368421052632,-15.56717050342037,-15.56684253598083
1.2984962406015037,-15.567220579936793,-15.567121271351994
1.3022556390977442,-15.567242511625128,-15.56702981893957
1.3060150375939847,-15.567235713475242,-15.566691574671422
1.3097744360902255,-15.567199724147502,-15.566353330403274
1.313533834586466,-15.56713420696037,-15.566015086135124
1.3172932330827067,-15.567038949459718,-15.565676841866976
1.3210526315789473,-15.566913861666611,-15.565338597598826
1.3248120300751878,-15.566758973105262,-15.565000353330678
1.3285714285714285,-15.566574428716903,-15.56466210906253
1.332330827067669,-15.56636048376815,-15.56432386479438
1.3360902255639098,-15.5661174978643,-15.563985620526232
1.3398496240601503,-15.565845928178806,-15.563647376258082
1.3436090225563908,-15.565546322010217,-15.563309131989934
1.3473684210526315,-15.565219308776829,-15.562970887721786
1.351127819548872,-15.56486559155773,-15.562632643453636
1.3548872180451128,-15.564485938286367,-15.562294399185488
1.3586466165413533,-15.564081172699721,-15.561956154917338
1.3624060150375938,-15.563652165142454,-15.56161791064919
1.3661654135338344,-15.563199823321114,-15.561279666381042
1.369924812030075,-15.562725083098762,-15.560941422112892
1.3736842105263156,-15.562228899415189,-15.560603177844744
1.3774436090225564,-15.561712237412392,-15.560264933576594
1.3812030075187969,-15.561176063839113,-15.559926689308446
1.3849624060150374,-15.560621338802141,-15.559588445040298
1.3887218045112781,-15.560049007925828,-15.559250200772148
1.3924812030075187,-15.559459994974778,-15.558911956504
1.3962406015037594,-15.558855194988185,-15.55857371223585
1.4,-15.558235467967682,-15.558235467967702
1.4037593984962404,-15.557601633154011,-15.557470848656445
1.407518796992481,-15.556954463921272,-15.556706229345188
1.4112781954887217,-15.556294683311055,-15.555941610033932
1.4150375939849624,-15.555622960222449,-15.555176990722675
1.418796992481203,-15.554939906267707,-15.554412371411418
1.4225563909774435,-15.554246073297437,-15.553647752100161
1.426315789473684,-15.553541951593346,-15.552883132788905
1.4300751879699247,-15.552827968721123,-15.552118513477646
1.4338345864661652,-15.55210448903079,-15.55135389416639
1.437593984962406,-15.5513718137869,-15.550589274855133
1.4413533834586465,-15.550630181906389,-15.549824655543876
1.445112781954887,-15.549879771277558,-15.54906003623262
1.4488721804511275,-15.549120700629793,-15.548295416921363
1.4526315789473683,-15.548353031919985,-15.547530797610106
1.456390977443609,-15.547576773198518,-15.54676617829885
1.4601503759398495,-15.546791881914796,-15.546001558987593
1.46390977443609,-15.545998268619904,-15.545236939676336
1.4676691729323306,-15.545195801021935,-15.54447232036508
1.4714285714285713,-15.54438430834788,-15.543707701053822
1.475187969924812,-15.543563585964709,-15.542943081742566
1.4789473684210526,-15.542733400211372,-15.542178462431309
1.482706766917293,-15.541893493392989,-15.541413843120052
1.4864661654135336,-15.541043588888305,-15.540649223808794
1.4902255639097743,-15.540183396321783,-15.539884604497537
1.4939849624060149,-15.53931261675218,-15.53911998518628
1.4977443609022556,-15.5384309478305,-15.538355365875024
