bond,energy,loo_polynomial,loo_linear,loo_polynomial_mha,loo_linear_mha
0.9,-15.346488264218127,nan,nan,nan,nan
1.0,-15.462869791385398,nan,0.0253097941101057,nan,25.3097941101057
1.1,-15.528631730332458,nan,0.017287632326016933,nan,17.287632326016933
1.2,-15.559818404627485,nan,0.011886156711025109,nan,11.886156711025109
1.2999999999999998,-15.56723276550046,nan,0.00820582920286661,nan,8.20582920286661
1.4,-15.558235467967702,nan,0.005670788073336652,nan,5.670788073336652
1.5,-15.53789659428827,nan,0.00390211682488939,nan,3.90211682488939
1.5999999999999999,-15.50975348695906,nan,0.002638562675777223,nan,2.638562675777223
1.6999999999999997,-15.476333254278295,nan,0.001712693066878046,nan,1.712693066878046
1.7999999999999998,-15.439487635463774,nan,0.0010146669104358352,nan,1.0146669104358352
1.9,-15.400612682828383,nan,-0.011464349322045209,nan,-11.464349322045209
1.9999999999999996,-15.384666428837084,nan,0.009347755073664032,nan,9.347755073664032
2.0999999999999996,-15.350024664698457,nan,-0.001014673106771724,nan,-1.014673106771724
2.1999999999999997,-15.317412246773376,nan,-0.001584706111902534,nan,-1.584706111902534
2.3,-15.2879692410721,nan,-0.002220374320478058,nan,-2.220374320478058
2.3999999999999995,-15.26296698401178,nan,nan,nan,nan
