angle,energy,loo_polynomial,loo_linear,loo_polynomial_mha,loo_linear_mha
90.0,-15.475542162391115,nan,nan,nan,nan
95.0,-15.487013454693273,nan,0.0005608827953089701,nan,0.5608827953089701
100.0,-15.497362981404814,nan,0.0005057705173054927,nan,0.5057705173054927
105.0,-15.506700967081743,nan,0.00045616121550118294,nan,0.45616121550118294
110.0,-15.515126630327671,nan,0.0004133637973744442,nan,0.4133637973744442
115.0,-15.52272556597885,nan,0.000377254875916222,nan,0.377254875916222
120.0,-15.529569991878196,nan,0.00034742081062510977,nan,0.34742081062510977
125.0,-15.535719576156293,nan,0.00032319030958660733,nan,0.3231903095866073
130.0,-15.541222779815214,nan,0.00030382522204064344,nan,0.30382522204064344
135.0,-15.546118333030055,nan,0.00028857626656808577,nan,0.28857626656808577
140.0,-15.55043673371176,nan,0.0002768933802368423,nan,0.2768933802368423
145.0,-15.55420134763299,nan,0.0002672838164023972,nan,0.2672838164023972
150.0,-15.557431393921417,nan,0.00026049725600252316,nan,0.26049725600252316
155.0,-15.56014044569784,nan,0.0002544634555157188,nan,0.2544634555157188
160.0,-15.56234057056323,nan,0.00025006133159166666,nan,0.25006133159166666
165.0,-15.564040572765435,nan,0.00024600021962051244,nan,0.24600021962051244
170.0,-15.5652485745284,nan,0.00024292589345620286,nan,0.24292589345620286
175.0,-15.565970724504451,nan,0.0002409522249955387,nan,0.2409522249955387
180.0,-15.566210970030511,nan,nan,nan,nan
