angle,polynomial,linear
90.0,-15.47554216239111,-15.475542162391115
90.22556390977444,-15.476050208597782,-15.476059664299482
90.45112781954887,-15.476566082947125,-15.47657716620785
90.67669172932331,-15.477087808213735,-15.47709466811622
90.90225563909775,-15.477613706954102,-15.477612170024587
91.12781954887218,-15.47814236395133,-15.478129671932955
91.35338345864662,-15.478672592668122,-15.478647173841322
91.57894736842105,-15.479203405339206,-15.479164675749692
91.80451127819549,-15.479733986363701,-15.47968217765806
92.03007518796993,-15.48026366868538,-15.480199679566427
92.25563909774436,-15.480791912874158,-15.480717181474795
92.4812030075188,-15.481318288645895,-15.481234683383162
92.70676691729324,-15.481842458579527,-15.481752185291532
92.93233082706767,-15.482364163810972,-15.4822696871999
93.15789473684211,-15.482883211502154,-15.482787189108267
93.38345864661655,-15.483399463901026,-15.483304691016635
93.60902255639098,-15.48391282882472,-15.483822192925002
93.83458646616542,-15.484423251412869,-15.484339694833372
94.06015037593986,-15.484930707012126,-15.48485719674174
94.28571428571429,-15.485435195065582,-15.485374698650107
94.51127819548873,-15.48593673389263,-15.485892200558474
94.73684210526315,-15.486435356255692,-15.486409702466844
94.9624060150376,-15.486931105620165,-15.486927204375212
95.18796992481202,-15.487424033023187,-15.487402534644835
95.41353383458646,-15.487914194475179,-15.487869430586708
95.6390977443609,-15.488401648825887,-15.488336326528582
95.86466165413533,-15.488886456033713,-15.488803222470457
96.09022556390977,-15.489368675783554,-15.48927011841233
96.3157894736842,-15.489848366404303,-15.489737014354205
96.54135338345864,-15.490325584042509,-15.490203910296078
96.76691729323308,-15.490800382053624,-15.490670806237953
96.99248120300751,-15.491272810576671,-15.491137702179827
97.21804511278195,-15.491742916262206,-15.4916045981217
97.44360902255639,-15.492210742127131,-15.492071494063575
97.66917293233082,-15.492676327513173,-15.492538390005448
97.89473684210526,-15.493139708128812,-15.493005285947323
98.1203007518797,-15.493600916157169,-15.493472181889198
98.34586466165413,-15.4940599804147,-15.49393907783107
98.57142857142857,-15.494516926547734,-15.494405973772945
98.796992481203,-15.494971777255795,-15.494872869714818
99.02255639097744,-15.495424552532373,-15.495339765656693
99.24812030075188,-15.49587526991529,-15.495806661598568
99.47368421052632,-15.496323944740187,-15.496273557540441
99.69924812030075,-15.496770590391824,-15.496740453482316
99.92481203007519,-15.497215218548916,-15.497207349424189
100.15037593984962,-15.497657839419128,-15.497643823079308
100.37593984962406,-15.498098461961682,-15.49806508559105
100.6015037593985,-15.498537094095633,-15.49848634810279
100.82706766917293,-15.498973742892538,-15.498907610614532
101.05263157894737,-15.499408414752669,-15.499328873126274
101.2781954887218,-15.499841115564394,-15.499750135638013
101.50375939849624,-15.500271850846664,-15.500171398149755
101.72932330827068,-15.500700625874847,-15.500592660661496
101.95488721804512,-15.501127445790397,-15.501013923173238
102.18045112781955,-15.501552315695013,-15.50143518568498
102.40601503759399,-15.5019752407301,-15.501856448196719
102.63157894736842,-15.502396226142436,-15.50227771070846
102.85714285714286,-15.502815277337074,-15.502698973220202
103.0827067669173,-15.50323239991848,-15.503120235731943
103.30827067669173,-15.503647599721003,-15.503541498243685
103.53383458646617,-15.50406088282974,-15.503962760755426
103.7593984962406,-15.504472255592864,-15.504384023267166
103.98496240601503,-15.504881724626443,-15.504805285778907
104.21052631578948,-15.505289296812762,-15.505226548290649
104.4360902255639,-15.505694979293104,-15.50564781080239
104.66165413533835,-15.506098779455867,-15.506069073314132
104.88721804511277,-15.506500704920915,-15.506490335825873
105.11278195488721,-15.506900763520875,-15.506891019636162
105.33834586466165,-15.507298963280176,-15.507271124745001
105.56390977443608,-15.507695312392418,-15.50765122985384
105.78947368421052,-15.508089819196712,-15.508031334962679
106.01503759398496,-15.508482492153483,-15.508411440071518
106.2406015037594,-15.508873339820225,-15.508791545180356
106.46616541353383,-15.509262370827578,-15.509171650289195
106.69172932330827,-15.509649593856127,-15.509551755398034
106.9172932330827,-15.510035017614136,-15.509931860506873
107.14285714285714,-15.510418650816536,-15.510311965615712
107.36842105263158,-15.510800502165294,-15.51069207072455
107.59398496240601,-15.511180580331347,-15.511072175833391
107.81954887218045,-15.511558893938176,-15.51145228094223
108.04511278195488,-15.511935451547126,-15.511832386051069
108.27067669172932,-15.512310261644457,-15.512212491159907
108.49624060150376,-15.512683332630166,-15.512592596268746
108.7218045112782,-15.513054672808561,-15.512972701377585
108.94736842105263,-15.513424290380492,-15.513352806486424
109.17293233082707,-15.51379219343725,-15.513732911595262
109.3984962406015,-15.514158389955984,-15.514113016704101
109.62406015037594,-15.514522887796577,-15.51449312181294
109.84962406015038,-15.51488569469989,-15.514873226921779
110.07518796992481,-15.515246818287208,-15.515240900036712
110.30075187969925,-15.51560626606083,-15.515583709163833
110.52631578947368,-15.51596404540564,-15.515926518290954
110.75187969924812,-15.51632016359156,-15.516269327418074
110.97744360902256,-15.516674627776746,-15.516612136545195
111.203007518797,-15.517027445011411,-15.516954945672316
111.42857142857143,-15.517378622242171,-15.517297754799436
111.65413533834587,-15.517728166316775,-15.517640563926557
111.8796992481203,-15.51807608398914,-15.517983373053678
112.10526315789474,-15.518422381924566,-15.5183261821808
112.33082706766918,-15.518767066705054,-15.518668991307921
112.55639097744361,-15.519110144834634,-15.519011800435042
112.78195488721805,-15.519451622744622,-15.519354609562162
113.00751879699249,-15.519791506798734,-15.519697418689283
113.23308270676691,-15.520129803298016,-15.520040227816404
113.45864661654136,-15.5204665184855,-15.520383036943525
113.68421052631578,-15.520801658550585,-15.520725846070645
113.90977443609023,-15.521135229633051,-15.521068655197766
114.13533834586465,-15.52146723782674,-15.521411464324887
114.3609022556391,-15.521797689182833,-15.521754273452009
114.58646616541353,-15.522126589712723,-15.52209708257913
114.81203007518798,-15.522453945390492,-15.52243989170625
115.0375939849624,-15.52277976215497,-15.522777027827718
115.26315789473685,-15.523104045911385,-15.523085798920922
115.48872180451127,-15.523426802532626,-15.523394570014124
115.71428571428571,-15.523748037860113,-15.523703341107328
115.93984962406014,-15.524067757704314,-15.524012112200532
116.16541353383458,-15.524385967844912,-15.524320883293736
116.39097744360902,-15.524702674030658,-15.524629654386938
116.61654135338345,-15.525017881978934,-15.524938425480142
116.84210526315789,-15.525331597375065,-15.525247196573346
117.06766917293233,-15.525643825871384,-15.52555596766655
117.29323308270676,-15.525954573086123,-15.525864738759754
117.5187969924812,-15.52626384460212,-15.526173509852956
117.74436090225564,-15.526571645965413,-15.52648228094616
117.96992481203007,-15.526877982683716,-15.526791052039364
118.19548872180451,-15.527182860224848,-15.527099823132568
118.42105263157895,-15.527486284015103,-15.527408594225772
118.64661654135338,-15.527788259437632,-15.527717365318974
118.87218045112782,-15.528088791830834,-15.528026136412178
119.09774436090225,-15.528387886486797,-15.528334907505382
119.32330827067669,-15.528685548649806,-15.528643678598586
119.54887218045113,-15.528981783514933,-15.528952449691788
119.77443609022556,-15.52927659622676,-15.529261220784992
120.0,-15.529569991878201,-15.529569991878196
