bond,angle,polynomial
0.9,90.0,-15.254739265615715
0.9,90.45226130653266,-15.255872751715403
0.9,90.90452261306532,-15.256995862606406
0.9,91.35678391959799,-15.258108682410414
0.9,91.80904522613065,-15.259211294706164
0.9,92.26130653266331,-15.260303782529467
0.9,92.71356783919597,-15.261386228373176
0.9,93.16582914572864,-15.262458714187222
0.9,93.61809045226131,-15.263521321378585
0.9,94.07035175879398,-15.264574130811301
0.9,94.52261306532664,-15.265617222806473
0.9,94.9748743718593,-15.266650677142254
0.9,95.42713567839196,-15.267674573053867
0.9,95.87939698492463,-15.268688989233581
0.9,96.33165829145729,-15.269694003830748
0.9,96.78391959798995,-15.270689694451745
0.9,97.23618090452261,-15.271676138160036
0.9,97.68844221105527,-15.272653411476128
0.9,98.14070351758794,-15.273621590377598
0.9,98.5929648241206,-15.274580750299078
0.9,99.04522613065326,-15.275530966132251
0.9,99.49748743718592,-15.276472312225877
0.9,99.9497487437186,-15.277404862385753
0.9,100.40201005025125,-15.278328689874755
0.9,100.85427135678393,-15.27924386741281
0.9,101.30653266331659,-15.2801504671769
0.9,101.75879396984925,-15.281048560801072
0.9,102.21105527638191,-15.281938219376428
0.9,102.66331658291458,-15.282819513451134
0.9,103.11557788944724,-15.283692513030413
0.9,103.5678391959799,-15.284557287576547
0.9,104.02010050251256,-15.285413906008873
0.9,104.47236180904522,-15.286262436703794
0.9,104.92462311557789,-15.287102947494766
0.9,105.37688442211055,-15.28793550567231
0.9,105.82914572864321,-15.288760177984004
0.9,106.28140703517587,-15.289577030634481
0.9,106.73366834170855,-15.290386129285437
0.9,107.1859296482412,-15.291187539055626
0.9,107.63819095477388,-15.291981324520869
0.9,108.09045226130654,-15.292767549714027
0.9,108.5427135678392,-15.293546278125039
0.9,108.99497487437186,-15.294317572700892
0.9,109.44723618090453,-15.295081495845642
0.9,109.89949748743719,-15.295838109420396
0.9,110.35175879396985,-15.296587474743319
0.9,110.80402010050251,-15.297329652589642
0.9,111.25628140703517,-15.298064703191649
0.9,111.70854271356784,-15.298792686238684
0.9,112.1608040201005,-15.29951366087716
0.9,112.61306532663316,-15.300227685710535
0.9,113.06532663316582,-15.30093481879933
0.9,113.5175879396985,-15.301635117661137
0.9,113.96984924623115,-15.302328639270584
0.9,114.42211055276383,-15.303015440059376
0.9,114.87437185929649,-15.30369557591628
0.9,115.32663316582915,-15.304369102187103
0.9,115.77889447236181,-15.305036073674732
0.9,116.23115577889448,-15.3056965446391
0.9,116.68341708542714,-15.306350568797203
0.9,117.1356783919598,-15.306998199323097
0.9,117.58793969849246,-15.307639488847894
0.9,118.04020100502512,-15.308274489459773
0.9,118.49246231155779,-15.308903252703958
0.9,118.94472361809045,-15.30952582958275
0.9,119.39698492462311,-15.310142270555488
0.9,119.84924623115577,-15.310752625538596
0.9,120.30150753768845,-15.311356943905531
0.9,120.7537688442211,-15.311955274486825
0.9,121.20603015075378,-15.31254766557007
0.9,121.65829145728644,-15.313134164899907
0.9,122.1105527638191,-15.313714819678044
0.9,122.56281407035176,-15.31428967656324
0.9,123.01507537688443,-15.314858781671326
0.9,123.46733668341709,-15.315422180575176
0.9,123.91959798994975,-15.315979918304743
0.9,124.37185929648241,-15.316532039347022
0.9,124.82412060301507,-15.317078587646074
0.9,125.27638190954774,-15.317619606603017
0.9,125.7286432160804,-15.318155139076026
0.9,126.18090452261308,-15.318685227380348
0.9,126.63316582914572,-15.319209913288269
0.9,127.0854271356784,-15.319729238029154
0.9,127.53768844221105,-15.320243242289413
0.9,127.98994974874373,-15.320751966212518
0.9,128.44221105527637,-15.321255449399004
0.9,128.89447236180905,-15.321753730906467
0.9,129.3467336683417,-15.322246849249554
0.9,129.79899497487438,-15.32273484239998
0.9,130.25125628140705,-15.323217747786508
0.9,130.7035175879397,-15.323695602294967
0.9,131.15577889447235,-15.324168442268252
0.9,131.60804020100502,-15.324636303506303
0.9,132.0603015075377,-15.325099221266127
0.9,132.51256281407035,-15.32555723026179
0.9,132.96482412060303,-15.326010364664414
0.9,133.41708542713567,-15.326458658102194
0.9,133.86934673366835,-15.326902143660357
0.9,134.321608040201,-15.327340853881212
0.9,134.77386934673368,-15.327774820764118
0.9,135.22613065326632,-15.328204075765496
0.9,135.678391959799,-15.328628649798825
0.9,136.13065326633165,-15.329048573234642
0.9,136.58291457286433,-15.329463875900544
0.9,137.035175879397,-15.329874587081191
0.9,137.48743718592965,-15.330280735518294
0.9,137.9396984924623,-15.330682349410628
0.9,138.39195979899498,-15.331079456414031
0.9,138.84422110552765,-15.331472083641387
0.9,139.2964824120603,-15.331860257662656
0.9,139.74874371859298,-15.332244004504844
0.9,140.20100502512562,-15.332623349652026
0.9,140.6532663316583,-15.332998318045329
0.9,141.10552763819095,-15.333368934082939
0.9,141.55778894472363,-15.333735221620106
0.9,142.01005025125627,-15.334097203969138
0.9,142.46231155778895,-15.334454903899394
0.9,142.9145728643216,-15.334808343637306
0.9,143.36683417085428,-15.335157544866359
0.9,143.81909547738695,-15.335502528727085
0.9,144.2713567839196,-15.335843315817097
0.9,144.72361809045225,-15.336179926191054
0.9,145.17587939698493,-15.336512379360675
0.9,145.6281407035176,-15.336840694294741
0.9,146.08040201005025,-15.337164889419087
0.9,146.53266331658293,-15.337484982616616
0.9,146.98492462311557,-15.33780099122728
0.9,147.43718592964825,-15.338112932048096
0.9,147.8894472361809,-15.338420821333141
0.9,148.34170854271358,-15.338724674793554
0.9,148.79396984924622,-15.339024507597516
0.9,149.2462311557789,-15.339320334370287
0.9,149.69849246231155,-15.339612169194181
0.9,150.15075376884423,-15.339900025608562
0.9,150.6030150753769,-15.34018391660987
0.9,151.05527638190955,-15.340463854651581
0.9,151.5075376884422,-15.340739851644253
0.9,151.95979899497488,-15.341011918955484
0.9,152.41206030150755,-15.34128006740995
0.9,152.8643216080402,-15.341544307289372
0.9,153.31658291457288,-15.341804648332538
0.9,153.76884422110552,-15.342061099735284
0.9,154.2211055276382,-15.342313670150517
0.9,154.67336683417085,-15.342562367688203
0.9,155.12562814070353,-15.342807199915356
0.9,155.5778894472362,-15.343048173856062
0.9,156.03015075376885,-15.343285295991453
0.9,156.4824120603015,-15.343518572259734
0.9,156.93467336683418,-15.343748008056163
0.9,157.38693467336685,-15.34397360823305
0.9,157.8391959798995,-15.344195377099776
0.9,158.29145728643215,-15.344413318422774
0.9,158.74371859296483,-15.344627435425537
0.9,159.1959798994975,-15.344837730788623
0.9,159.64824120603015,-15.34504420664964
0.9,160.1005025125628,-15.345246864603256
0.9,160.55276381909547,-15.345445705701207
0.9,161.00502512562815,-15.345640730452287
0.9,161.4572864321608,-15.345831938822325
0.9,161.90954773869348,-15.346019330234254
0.9,162.36180904522615,-15.346202903568024
0.9,162.8140703517588,-15.34638265716067
0.9,163.26633165829145,-15.346558588806268
0.9,163.71859296482413,-15.346730695755971
0.9,164.1708542713568,-15.346898974717979
0.9,164.62311557788945,-15.34706342185755
0.9,165.0753768844221,-15.347224032797016
0.9,165.52763819095478,-15.34738080261575
0.9,165.97989949748745,-15.347533725850187
0.9,166.4321608040201,-15.347682796493839
0.9,166.88442211055275,-15.347828007997258
0.9,167.33668341708542,-15.347969353268056
0.9,167.7889447236181,-15.348106824670914
0.9,168.24120603015075,-15.348240414027568
0.9,168.69346733668343,-15.348370112616813
0.9,169.1457286432161,-15.348495911174506
0.9,169.59798994974875,-15.348617799893546
0.9,170.0502512562814,-15.34873576842392
0.9,170.50251256281408,-15.34884980587265
0.9,170.95477386934675,-15.34895990080383
0.9,171.4070351758794,-15.349066041238613
0.9,171.85929648241205,-15.349168214655197
0.9,172.31155778894473,-15.349266407988857
0.9,172.7638190954774,-15.349360607631919
0.9,173.21608040201005,-15.349450799433766
0.9,173.6683417085427,-15.349536968700844
0.9,174.12060301507537,-15.349619100196659
0.9,174.57286432160805,-15.349697178141774
0.9,175.0251256281407,-15.349771186213806
0.9,175.47738693467338,-15.34984110754744
0.9,175.92964824120605,-15.34990692473442
0.9,176.3819095477387,-15.349968619823537
0.9,176.83417085427135,-15.350026174320657
0.9,177.28643216080403,-15.350079569188697
0.9,177.7386934673367,-15.350128784847628
0.9,178.19095477386935,-15.35017380117449
0.9,178.643216080402,-15.350214597503383
0.9,179.09547738693468,-15.350251152625454
0.9,179.54773869346735,-15.35028344478892
0.9,180.0,-15.350311451699046
0.907537688442211,90.0,-15.264351392623716
0.907537688442211,90.45226130653266,-15.265485827743898
0.907537688442211,90.90452261306532,-15.266609885025208
0.907537688442211,91.35678391959799,-15.267723648486506
