degree,max_mha,rms_mha,mae_mha
1,91.48177449969097,59.44475546185772,50.26012178848863
2,59.96749293142756,36.323249126109516,31.431206617070675
3,21.74204410076186,14.025876535794321,12.893709347942206
4,10.489571954719779,4.681048080489892,3.7687945365514657
5,11.611140282239418,4.644372867018473,3.4285958017771074
6,12.065648242449711,5.159732518938769,3.8667241980636646
7,10.622041269567006,4.49640572920558,3.2177825237327897
8,15.274144702754455,6.194328641915971,3.892135922329462
9,18.9213326404456,8.299326387761896,5.899069786719581
10,19.146517448669798,7.5641364105857765,5.769157294280371
11,109.07754395302405,31.71784608508283,15.672554199898135
12,334.63856145212924,107.3524838770767,51.86638844698915
13,763.7332334400621,268.9518668149124,124.82574973653142
14,1498.575032047299,572.5080910674108,256.2854878538223
