distance,energy,loo_polynomial,loo_linear,loo_polynomial_mha,loo_linear_mha
0.9,-195.2288949886688,nan,nan,nan,nan
1.0,-195.65256029652875,nan,0.10008775728914543,nan,100.08775728914543
1.1,-195.8760500898104,nan,0.05661491502303306,nan,56.61491502303306
1.2,-195.986310053046,nan,0.03238861419350769,nan,32.38861419350769
1.2999999999999998,-196.03179278789457,nan,0.01782130676218685,nan,17.82130676218685
1.4,-196.0416329092188,nan,0.008607554805138307,nan,8.607554805138307
1.5,-196.03425792093273,nan,0.0030068094469868356,nan,3.0068094469868356
1.5999999999999999,-196.02086931375268,nan,5.761321909858452e-05,nan,0.05761321909858452
1.6999999999999997,-196.00736548013444,nan,-0.0011372612512161595,nan,-1.1372612512161595
1.7999999999999998,-195.99613616901863,nan,-0.0013899576276514836,nan,-1.3899576276514836
1.9,-195.98768677315812,nan,-0.0012511196456728158,nan,-1.2511196456728158
1.9999999999999996,-195.98173961658898,nan,-0.0010038520715340837,nan,-1.0038520715340837
2.0999999999999996,-195.97780016416291,nan,-0.0007333112814364995,nan,-0.7333112814364995
2.1999999999999997,-195.9753273342997,nan,-0.000507930927255984,nan,-0.507930927255984
2.3,-195.97387036629098,nan,-0.000330669773433101,nan,-0.330669773433101
2.3999999999999995,-195.97307473782914,nan,-0.00020148007598663753,nan,-0.20148007598663753
2.4999999999999996,-195.97268206951924,nan,nan,nan,nan
