degree,max_mha,rms_mha,mae_mha
1,208.1188905224849,122.13868298567746,104.6113246459413
2,191.0835518654892,100.27007450665921,84.17287991927651
3,116.21642596924175,60.01323086238942,52.50211407642761
4,50.59910144646551,25.59319446531168,22.43696380753969
5,20.104163935201314,8.16529992510948,6.885702816657613
6,8.057311276388646,2.869374413399233,2.1299980572431805
7,4.618824315429038,1.621121980472232,1.1736352571972475
8,2.7988381710883914,1.0128789221685461,0.7095019901252423
9,1.0813346304132665,0.4218033379930201,0.28037344694477423
10,0.19789026904959428,0.056821837689367154,0.03168261701110472
11,0.4207277939372034,0.15508280765938626,0.0822327108267018
12,0.06684193630235313,0.023840210502246387,0.011926750240339363
13,0.0777110326168895,0.02209275120756058,0.010520088221710466
14,0.6767765698043604,0.2348620294673971,0.1032955410323666
15,1.0644405703033044,0.3922944234516527,0.16724166363057216
