distance,polynomial,linear
0.9,-195.22889498866905,-195.2288949886688
0.9020025031289112,-195.2401935044925,-195.2373788997148
0.9040050062578223,-195.2513559759301,-195.2458628107608
0.9060075093867335,-195.26238381043188,-195.25434672180683
0.9080100125156446,-195.2732784114787,-195.26283063285283
0.9100125156445558,-195.28404117793957,-195.27131454389882
0.9120150187734668,-195.2946735034664,-195.27979845494482
0.914017521902378,-195.30517677592402,-195.28828236599085
0.9160200250312891,-195.31555237685438,-195.29676627703685
0.9180225281602002,-195.3258016809735,-195.30525018808285
0.9200250312891114,-195.33592605569984,-195.31373409912885
0.9220275344180225,-195.34592686071278,-195.32221801017488
0.9240300375469337,-195.35580544753992,-195.33070192122088
0.9260325406758448,-195.36556315917238,-195.33918583226688
0.928035043804756,-195.37520132970616,-195.34766974331288
0.9300375469336671,-195.38472128400943,-195.3561536543589
0.9320400500625783,-195.3941243374137,-195.3646375654049
0.9340425531914893,-195.40341179542867,-195.3731214764509
0.9360450563204005,-195.4125849534791,-195.3816053874969
0.9380475594493116,-195.42164509666304,-195.39008929854293
0.9400500625782228,-195.4305934995306,-195.39857320958893
0.9420525657071339,-195.43943142588193,-195.40705712063493
0.9440550688360451,-195.44816012858396,-195.41554103168093
0.9460575719649562,-195.45678084940477,-195.42402494272696
0.9480600750938674,-195.46529481886503,-195.43250885377296
0.9500625782227785,-195.47370325610535,-195.44099276481896
0.9520650813516897,-195.48200736876922,-195.44947667586496
0.9540675844806008,-195.4902083529005,-195.45796058691099
0.9560700876095118,-195.49830739285483,-195.46644449795699
0.958072590738423,-195.5063056612243,-195.47492840900298
0.9600750938673341,-195.51420431877483,-195.48341232004898
0.9620775969962453,-195.52200451439546,-195.491896231095
0.9640801001251564,-195.52970738505888,-195.500380142141
0.9660826032540676,-195.53731405579302,-195.508864053187
0.9680851063829787,-195.54482563966263,-195.517347964233
0.9700876095118899,-195.55224323776068,-195.52583187527904
0.972090112640801,-195.55956793920882,-195.53431578632504
0.9740926157697122,-195.56680082116668,-195.54279969737104
0.9760951188986233,-195.5739429488491,-195.55128360841704
0.9780976220275344,-195.58099537555134,-195.55976751946307
0.9801001251564455,-195.58795914268146,-195.56825143050906
0.9821026282853567,-195.5948352797995,-195.57673534155506
0.9841051314142678,-195.6016248046632,-195.58521925260106
0.986107634543179,-195.60832872327984,-195.59370316364706
0.9881101376720901,-195.61494802996353,-195.6021870746931
0.9901126408010013,-195.6214837073981,-195.6106709857391
0.9921151439299124,-195.62793672670477,-195.6191548967851
0.9941176470588236,-195.6343080475145,-195.6276388078311
0.9961201501877347,-195.6405986180449,-195.63612271887712
0.9981226533166458,-195.64680937518068,-195.64460662992312
1.0001251564455569,-195.65294124455843,-195.6528400084102
1.0021276595744681,-195.65899514065435,-195.65731539851348
1.0041301627033792,-195.66497196687556,-195.6617907886167
1.0061326658322904,-195.67087261565402,-195.66626617871998
1.0081351689612015,-195.67669796854344,-195.67074156882325
1.0101376720901127,-195.68244889631853,-195.6752169589265
1.0121401752190238,-195.6881262590764,-195.67969234902978
1.0141426783479348,-195.69373090634022,-195.68416773913304
1.016145181476846,-195.6992636771645,-195.6886431292363
1.018147684605757,-195.70472540024227,-195.69311851933955
1.0201501877346684,-195.71011689401337,-195.69759390944282
1.0221526908635794,-195.71543896677434,-195.70206929954608
1.0241551939924907,-195.7206924167894,-195.70654468964935
1.0261576971214017,-195.72587803240216,-195.71102007975261
1.028160200250313,-195.7309965921485,-195.71549546985588
1.030162703379224,-195.73604886486984,-195.71997085995915
1.032165206508135,-195.74103560982715,-195.72444625006239
1.0341677096370463,-195.74595757681527,-195.72892164016565
1.0361702127659576,-195.75081550627752,-195.73339703026892
1.0381727158948686,-195.75561012942066,-195.73787242037218
1.0401752190237796,-195.76034216832977,-195.74234781047545
1.0421777221526909,-195.76501233608315,-195.74682320057872
1.044180225281602,-195.76962133686703,-195.75129859068198
1.0461827284105132,-195.7741698660904,-195.75577398078522
1.0481852315394242,-195.77865861049904,-195.7602493708885
1.0501877346683355,-195.78308824828963,-195.76472476099175
1.0521902377972465,-195.78745944922312,-195.76920015109502
1.0541927409261578,-195.79177287473786,-195.7736755411983
1.0561952440550688,-195.79602917806181,-195.77815093130155
1.0581977471839799,-195.80022900432442,-195.78262632140482
1.0602002503128911,-195.80437299066762,-195.78710171150806
1.0622027534418021,-195.80846176635623,-195.79157710161132
1.0642052565707134,-195.81249595288733,-195.7960524917146
1.0662077596996244,-195.81647616409904,-195.80052788181786
1.0682102628285357,-195.82040300627816,-195.80500327192112
1.0702127659574467,-195.8242770782672,-195.8094786620244
1.072215269086358,-195.82809897157006,-195.81395405212766
1.074217772215269,-195.8318692704571,-195.8184294422309
1.07622027534418,-195.8355885520689,-195.82290483233416
1.0782227784730913,-195.83925738651908,-195.82738022243743
