distance,hf,vqe,exact
0.3,-0.5938277585357263,-0.6018037107600906,-0.6018037107656893
0.4,-0.904361394163538,-0.9141497046155305,-0.9141497046270861
0.5,-1.0429962745400936,-1.055159794448535,-1.055159794470623
0.6000000000000001,-1.1011282422677002,-1.1162860068306775,-1.1162860068695366
0.7000000000000002,-1.117349034990279,-1.1361894540116677,-1.1361894540659248
0.8000000000000003,-1.1108503974765935,-1.1341476666203736,-1.1341476666770958
0.9000000000000001,-1.0919140410200563,-1.1205601297760241,-1.1205602812999875
1.0000000000000002,-1.0661086493179361,-1.1011503188063132,-1.101150330232618
1.1000000000000003,-1.036538875029179,-1.0791929449548805,-1.0791929449690731
1.2000000000000004,-1.0051067065684882,-1.0567407449292447,-1.056740746305257
1.3000000000000005,-0.9731106157775775,-1.035186263801229,-1.0351862664342555
1.4000000000000004,-0.9414806547077976,-1.015468247063227,-1.015468249288245
1.5000000000000004,-0.910873554594386,-0.9981493525204934,-0.9981493534714094
1.6000000000000005,-0.8817324499460559,-0.9834727288661242,-0.983472729033174
1.7000000000000004,-0.8543376269512917,-0.9714266884527445,-0.9714266884583398
1.8000000000000005,-0.8288481479269765,-0.9618166584865895,-0.9618169527925804
1.9000000000000006,-0.8053328448932771,-0.9543388539973392,-0.9543388539987272
2.0000000000000004,-0.7837926542773521,-0.9486411120451137,-0.9486411121761849
2.1000000000000005,-0.7641776516167964,-0.9443746796810444,-0.9443746811197427
2.2000000000000006,-0.7464013499911586,-0.9412240270599288,-0.9412240336932607
2.3000000000000007,-0.7303533213548864,-0.9389223672233379,-0.9389223859872741
2.4000000000000004,-0.7159100604538065,-0.9372549143279728,-0.9372549530096287
2.5000000000000004,-0.7029435997235258,-0.9360548559236452,-0.9360549199556041
