degree,max_mha,rms_mha,mae_mha
1,42.269533091484845,22.67479140176906,19.333979952190315
2,39.88302465467086,19.084930620525345,16.08419482690572
3,25.98183555255673,12.573773730891178,10.950568378463538
4,10.54606122360724,5.256641136608639,4.311280458332877
5,12.064784395988681,5.018414180825986,3.5876633001337535
6,10.583868611377056,5.011899793906799,4.029649383840826
7,6.025002894261888,2.961256102726065,2.432075773578604
8,4.758854831635517,2.626836572374444,2.1837464259754276
9,12.845408337142317,4.097349155887923,2.797405327296541
10,21.111444161022064,7.1502042258387535,4.502869536221463
11,7.808505846327307,3.041125997923918,2.115466035094722
12,16.018713398722184,5.456366466121912,3.400320326057775
13,74.42412089321238,24.317431980067596,11.354137352404504
14,64.600240446822,16.023953777219955,5.993465598102014
15,396.77927952880054,103.92097094958105,39.57182485793583
16,1921.8224885860877,600.7182092947725,239.24746667055322
17,5671.232093346788,1959.1410945452542,767.1647573385034
