r_nn,energy,loo_polynomial,loo_linear,loo_polynomial_mha,loo_linear_mha
0.9,-180.89479205639276,nan,nan,nan,nan
1.0,-181.15588388050625,nan,0.07509649607607116,nan,75.09649607607116
1.1,-181.2667827124676,nan,0.04005690406009421,nan,40.05690406009421
1.2,-181.29756773630874,nan,0.020512082575351087,nan,20.512082575351087
1.2999999999999998,-181.28732859499914,nan,0.01070939047531283,nan,10.70939047531283
1.4,-181.2556706727389,nan,0.006517754860198011,nan,6.517754860198011
1.5,-181.21097724075827,nan,0.0033778662755992173,nan,3.3778662755992173
1.5999999999999999,-181.15952807622648,nan,-0.0041355231604427445,nan,-4.1355231604427445
1.6999999999999997,-181.11634995801558,nan,-0.012906017932095892,nan,-12.906017932095892
1.7999999999999998,-181.09898387566884,nan,-0.005461080542119134,nan,-5.461080542119134
1.9,-181.09253995440633,nan,-0.0018427018156899067,nan,-1.8427018156899067
1.9999999999999996,-181.0897814367752,nan,-0.0007191600464295789,nan,-0.7191600464295789
2.0999999999999996,-181.08846123923695,nan,-0.0003091468014133625,nan,-0.3091468014133625
2.1999999999999997,-181.0877593353015,nan,nan,nan,nan
