r_no,energy,loo_polynomial,loo_linear,loo_polynomial_mha,loo_linear_mha
0.9,-180.8599444176011,nan,nan,nan,nan
1.0,-181.13988640373557,nan,0.08181775747854658,nan,81.81775747854658
1.1,-181.25619287491298,nan,0.04557938043103604,nan,45.57938043103604
1.2,-181.2813405852283,nan,0.02207922635665227,nan,22.07922635665227
1.2999999999999998,-181.26232984283027,nan,0.006234332730457481,nan,6.234332730457481
1.4,-181.23085043497133,nan,-0.002678312243546088,nan,-2.678312243546088
1.5,-181.20472765159946,nan,-0.005266559932920245,nan,-5.266559932920245
1.5999999999999999,-181.18913798809345,nan,-0.004022985626846776,nan,-4.022985626846776
1.6999999999999997,-181.18159429584117,nan,-0.00200800110761179,nan,-2.00800110761179
1.7999999999999998,-181.17806660580408,nan,-0.0007773844023972742,nan,-0.7773844023972742
1.9,-181.1760936845718,nan,-0.0002784846926715545,nan,-0.2784846926715545
1.9999999999999996,-181.17467773272492,nan,-0.00010930492925353974,nan,-0.10930492925353974
2.0999999999999996,-181.17348039073653,nan,-5.907624762357955e-05,nan,-0.05907624762357955
2.1999999999999997,-181.17240120124342,nan,-4.8463495318173955e-05,nan,-0.048463495318173955
2.3,-181.17141893874094,nan,nan,nan,nan
