angle,energy,loo_polynomial,loo_linear,loo_polynomial_mha,loo_linear_mha
90.0,-181.08813324480016,nan,nan,nan,nan
95.0,-181.07563762958367,nan,-0.0013914929878069415,nan,-1.3914929878069415
100.0,-181.0659250003428,nan,-0.004039515871880894,nan,-4.039515871880894
105.0,-181.06429140284567,nan,-0.009629387335365891,nan,-9.629387335365891
110.0,-181.08191658001928,nan,-0.0064451666145544095,nan,-6.4451666145544095
115.0,-181.11243209042198,nan,-0.00016844131707216548,nan,-0.16844131707216548
120.0,-181.1432844834588,nan,0.004939064376259239,nan,4.939064376259239
125.0,-181.16425874774316,nan,-0.0021764078992134728,nan,-2.1764078992134728
130.0,-181.1895858278259,nan,0.0026198217124431267,nan,2.6198217124431267
135.0,-181.20967326448377,nan,0.0020623616781278997,nan,2.0623616781278997
140.0,-181.22563597778534,nan,0.0015459227400356212,nan,1.5459227400356212
145.0,-181.23850684560685,nan,0.0011866793263664022,nan,1.1866793263664022
150.0,-181.2490043547756,nan,0.0009263183864618441,nan,0.9263183864618441
155.0,-181.2576492271714,nan,0.0008093466937566518,nan,0.8093466937566518
160.0,-181.26467540617972,nan,0.0007143912548883691,nan,0.7143912548883691
165.0,-181.27027280267825,nan,0.0026480824035957085,nan,2.6480824035957085
170.0,-181.2705740343696,nan,-0.0011411279567425936,nan,-1.1411279567425936
175.0,-181.2731575219744,nan,-0.0012529889291670315,nan,-1.2529889291670315
180.0,-181.27824698743757,nan,nan,nan,nan
