degree,max_mha,rms_mha,mae_mha
1,145.00413691888525,78.78283040343632,65.84871630383542
2,128.1583950710683,78.01749582917475,68.5991836000639
3,60.539563960134046,38.58687413385051,34.794039327325756
4,23.155965067417128,9.434773168926107,7.399713873603275
5,17.167286293130246,7.989091727829349,6.335227624473323
6,15.173526230711332,8.050653427796211,6.664570023694694
7,8.009859709716238,3.8119921233998144,3.1056700052521555
8,19.387925053678146,7.294464018304237,5.047600021740095
9,19.99836334513816,7.1783796714131185,4.7093362912846715
10,34.20685449074767,10.998303769273464,6.024156027957399
11,106.04661676700289,40.62855257032567,21.508778879962165
12,173.37130205206108,71.84401238865772,36.06064708506077
