degree,max_mha,rms_mha,mae_mha
1,138.015660635034,64.34465861134639,46.44024287875936
2,143.12187865002102,69.17268478522243,57.37405208528493
3,97.8883420044383,52.06503035817834,44.78464516531325
4,40.55299642118371,24.1990914936919,21.45972597419315
5,10.350793918092904,4.864336368714803,4.095172258211313
6,3.2071071665313866,1.6977611820416916,1.4323197950716349
7,2.144437816212985,0.8975862452589844,0.7763596917785576
8,4.240578837851672,1.535525811191338,1.06627377076489
9,2.9648343699193447,1.1688696259199507,0.7306639546676217
10,1.1288344979334397,0.35542147934596746,0.19690301922992148
11,2.1007073274290633,0.8344955705981891,0.44234639878700716
12,0.35355235627321235,0.11941043283468664,0.05836397644779586
13,1.2710964064694963,0.504862638407245,0.23857273849286614
