oo,energy,loo_spline,loo_linear,loo_spline_mha,loo_linear_mha
1.0,-148.37530808258398,nan,nan,nan,nan
1.1,-148.59573101594182,-0.001091065437975658,0.05172530001095765,-1.091065437975658,51.72530001095765
1.2000000000000002,-148.71270334927775,0.0006518584560240015,0.032161365769951544,0.6518584560240015,32.161365769951544
1.3000000000000003,-148.76535295107377,-0.0035381109424008628,0.014239312421949535,-3.5381109424008628,14.239312421949535
1.4000000000000004,-148.78952392802586,0.0014748134643980393,0.010481532521794179,1.4748134643980393,10.481532521794179
1.5000000000000004,-148.79273183993436,-0.0010435508754085276,0.005064144034150786,-1.0435508754085276,5.064144034150786
1.6000000000000005,-148.78581146377454,0.0004737171117596972,0.0023112641487159635,0.4737171117596972,2.3112641487159635
1.7000000000000006,-148.77426855931728,-0.000598754733516671,-0.0007438451134191837,-0.598754733516671,-0.7438451134191837
1.8000000000000007,-148.7642133450869,-0.0003096755202705026,-0.0011303624465597295,-0.3096755202705026,-1.1303624465597295
1.9000000000000008,-148.75641885574962,0.0005678338746974987,1.7822884785800852e-06,0.5678338746974987,0.0017822884785800852
2.000000000000001,-148.74862080183536,-0.000293619774453191,-0.0008613033153039851,-0.293619774453191,-0.8613033153039851
2.100000000000001,-148.7425453545517,3.7152127219997055e-05,-0.0010431883711135015,0.037152127219997055,-1.0431883711135015
2.200000000000001,-148.7385562840103,-0.00035186753430593853,-0.0006307306643122956,-0.35186753430593853,-0.6307306643122956
2.300000000000001,-148.73582867479752,0.0008496824412702608,0.00040448707221685254,0.8496824412702608,0.40448707221685254
2.4000000000000012,-148.73229209144029,-0.0008273762485657699,-0.0012151445269807937,-0.8273762485657699,-1.2151445269807937
2.5000000000000013,-148.73118579713702,0.0003441910403978454,-0.0003041430468329054,0.3441910403978454,-0.3041430468329054
2.6000000000000014,-148.73068778892744,-9.523683161205554e-06,-3.8737899075158566e-05,-0.009523683161205554,-0.038737899075158566
2.7000000000000015,-148.73026725651604,-4.066046790285327e-05,-9.194930143507918e-05,-0.04066046790285327,-0.09194930143507918
2.8000000000000016,-148.7300306227075,6.336228273084998e-05,-4.240646092057432e-06,0.06336228273084998,-0.004240646092057432
2.9000000000000017,-148.7298024701911,-0.00010605430693999551,-0.00011155100474979918,-0.10605430693999551,-0.11155100474979918
3.0000000000000018,-148.7297974196842,nan,nan,nan,nan
