angle,spline,linear
80.0,-148.767895102808,-148.767895102808
80.15037593984962,-148.76853517516446,-148.76844806536178
80.30075187969925,-148.76917029600583,-148.76900102791552
80.45112781954887,-148.76980042207038,-148.7695539904693
80.6015037593985,-148.77042551009632,-148.77010695302303
80.75187969924812,-148.77104551682189,-148.7706599155768
80.90225563909775,-148.7716603989854,-148.77121287813054
81.05263157894737,-148.7722701133251,-148.7717658406843
81.203007518797,-148.7728746165792,-148.77231880323805
81.35338345864662,-148.77347386548598,-148.77287176579182
81.50375939849624,-148.77406781678366,-148.7734247283456
81.65413533834587,-148.77465642721052,-148.77397769089933
81.80451127819549,-148.7752396535048,-148.7745306534531
81.95488721804512,-148.77581745240474,-148.77508361600684
82.10526315789474,-148.7763897806486,-148.7756365785606
82.25563909774436,-148.77695659497465,-148.77618954111435
82.40601503759399,-148.77751785212112,-148.77674250366812
82.55639097744361,-148.77807350882628,-148.77729546622186
82.70676691729324,-148.77862352182837,-148.77784842877563
82.85714285714286,-148.77916784786564,-148.7784013913294
83.00751879699249,-148.77970644367633,-148.77895435388314
83.15789473684211,-148.78023926599872,-148.7795073164369
83.30827067669173,-148.78076627157103,-148.78006027899065
83.45864661654136,-148.78128741713152,-148.78061324154442
83.60902255639098,-148.78180265941842,-148.78116620409816
83.7593984962406,-148.78231195517006,-148.78171916665192
83.90977443609023,-148.78281526112463,-148.78227212920567
84.06015037593986,-148.78331253402038,-148.78282509175943
84.21052631578948,-148.78380373059557,-148.7833780543132
84.3609022556391,-148.78428880758847,-148.78393101686694
84.51127819548873,-148.78476772173727,-148.7844839794207
84.66165413533835,-148.78524042978032,-148.78503694197445
84.81203007518798,-148.78570688845573,-148.78558990452822
84.9624060150376,-148.78616705450193,-148.78614286708196
85.11278195488723,-148.78662088465705,-148.78653755864266
85.26315789473684,-148.78706833565934,-148.78687949320567
85.41353383458646,-148.78750936424714,-148.7872214277687
85.56390977443608,-148.7879439271586,-148.78756336233172
85.71428571428571,-148.788371981132,-148.78790529689473
85.86466165413533,-148.78879348290565,-148.78824723145775
86.01503759398496,-148.78920838921775,-148.78858916602076
86.16541353383458,-148.78961665680654,-148.78893110058377
86.3157894736842,-148.79001824241027,-148.78927303514678
86.46616541353383,-148.79041310276722,-148.7896149697098
86.61654135338345,-148.79080119461565,-148.7899569042728
86.76691729323308,-148.79118247469378,-148.7902988388358
86.9172932330827,-148.79155689973987,-148.79064077339882
87.06766917293233,-148.7919244264922,-148.79098270796186
87.21804511278195,-148.79228501168896,-148.79132464252487
87.36842105263158,-148.79263861206843,-148.79166657708788
87.5187969924812,-148.79298518436892,-148.7920085116509
87.66917293233082,-148.79332468532857,-148.7923504462139
87.81954887218045,-148.79365707168574,-148.7926923807769
87.96992481203007,-148.7939823001786,-148.79303431533992
88.1203007518797,-148.79430032754544,-148.79337624990293
88.27067669172932,-148.7946111105245,-148.79371818446594
88.42105263157895,-148.79491460585407,-148.79406011902896
88.57142857142857,-148.79521077027235,-148.794402053592
88.7218045112782,-148.7954995605176,-148.794743988155
88.87218045112782,-148.79578093332807,-148.79508592271802
89.02255639097744,-148.79605484544203,-148.79542785728103
89.17293233082707,-148.79632125359777,-148.79576979184404
89.32330827067669,-148.79658011453338,-148.79611172640705
89.47368421052632,-148.7968313849873,-148.79645366097006
89.62406015037594,-148.7970750216977,-148.79679559553307
89.77443609022556,-148.79731098140286,-148.79713753009608
89.92481203007519,-148.79753922084097,-148.7974794646591
90.07518796992481,-148.79775969664303,-148.7976914963568
90.22556390977444,-148.7979723629716,-148.79777362518917
90.37593984962406,-148.79817717152105,-148.79785575402153
90.52631578947368,-148.79837407387836,-148.7979378828539
90.67669172932331,-148.79856302163049,-148.79802001168625
90.82706766917293,-148.79874396636444,-148.7981021405186
90.97744360902256,-148.79891685966726,-148.79818426935097
91.12781954887218,-148.79908165312588,-148.79826639818333
91.2781954887218,-148.79923829832734,-148.7983485270157
91.42857142857143,-148.79938674685863,-148.79843065584808
91.57894736842105,-148.7995269503067,-148.79851278468044
91.72932330827068,-148.7996588602586,-148.7985949135128
91.8796992481203,-148.79978242830128,-148.79867704234516
92.03007518796993,-148.79989760602174,-148.79875917117752
92.18045112781955,-148.800004345007,-148.79884130000988
92.33082706766918,-148.80010259684406,-148.79892342884224
92.4812030075188,-148.80019231311985,-148.7990055576746
92.63157894736842,-148.80027344542145,-148.79908768650697
92.78195488721805,-148.80034594533575,-148.79916981533935
92.93233082706767,-148.80040976444985,-148.79925194417171
93.0827067669173,-148.8004648543507,-148.79933407300408
93.23308270676692,-148.80051116662528,-148.79941620183644
93.38345864661655,-148.80054865286064,-148.7994983306688
93.53383458646617,-148.8005772646437,-148.79958045950116
93.6842105263158,-148.80059695356147,-148.79966258833352
93.8345864661654,-148.800607671201,-148.79974471716588
93.98496240601503,-148.8006093691492,-148.79982684599824
94.13533834586465,-148.80060199899313,-148.79990897483063
94.28571428571428,-148.80058551231977,-148.799991103663
94.4360902255639,-148.8005598607161,-148.80007323249535
94.58646616541353,-148.8005249957691,-148.8001553613277
94.73684210526315,-148.80048086906584,-148.80023749016007
94.88721804511277,-148.80042743219323,-148.80031961899243
95.0375939849624,-148.80036463766334,-148.80034001575933
95.18796992481202,-148.80029254991763,-148.8001752163298
95.33834586466165,-148.80021145078118,-148.80001041690028
95.48872180451127,-148.80012164705522,-148.79984561747074
95.6390977443609,-148.8000234455407,-148.7996808180412
