dihedral,energy,loo_spline,loo_linear,loo_spline_mha,loo_linear_mha
0.0,-148.78482403629542,nan,nan,nan,nan
10.0,-148.78528737464936,7.898049710775012e-05,-0.00031200160597677495,0.07898049710775012,-0.31200160597677495
20.0,-148.78637471621522,-4.71870000637864e-05,-0.00012733082274962726,-0.0471870000637864,-0.12733082274962726
30.0,-148.78771671942656,0.00017096752429779372,3.8059280171864884e-05,0.17096752429779372,0.038059280171864884
40.0,-148.78898260407755,-0.0002477597109873386,-0.0002552033173799373,-0.24775971098733862,-0.2552033173799373
50.0,-148.7907588953633,0.00018026803329007635,0.00021953474777092197,0.18026803329007635,0.21953474777092197
60.0,-148.79209611715353,-2.585374033969856e-05,0.00015866686831600418,-0.02585374033969856,0.15866686831600418
70.0,-148.7931160052071,-0.00014990645109946854,0.0001852057232269999,-0.14990645109946854,0.1852057232269999
80.0,-148.79376548181426,0.00040055892054624564,0.000480783265146556,0.40055892054624564,0.480783265146556
90.0,-148.79345339189112,-0.0008434148907667804,4.800641315227949e-05,-0.8434148907667804,0.04800641315227949
100.0,-148.79304528914167,0.0015305701219858747,0.0013407160127201223,1.5305701219858747,1.3407160127201223
110.0,-148.7899557543668,-0.0007760669553533717,-0.0027526081361770594,-0.7760669553533717,-2.7526081361770594
120.0,-148.79237143586425,-0.0018958631279701876,-0.0026958296202508336,-1.8958631279701876,-2.6958296202508336
130.0,-148.80017877660222,0.0030439161657227487,0.003719565211184772,3.0439161657227487,3.719565211184772
140.0,-148.8005469869178,-0.0019488663853337584,0.00016780626933154963,-1.9488663853337584,0.16780626933154963
150.0,-148.8005795846947,0.0013574693919338188,0.0006976731418433246,1.3574693919338188,0.6976731418433246
160.0,-148.79921683618792,-0.0015563251298260639,-0.001305091857801699,-1.5563251298260639,-1.305091857801699
170.0,-148.80046427139672,0.0026049406029358124,0.0010627491501509212,2.6049406029358124,1.0627491501509212
180.0,-148.79958620830521,nan,nan,nan,nan
