angle,energy,loo_spline,loo_linear,loo_spline_mha,loo_linear_mha
80.0,-148.767895102808,nan,nan,nan,nan
85.0,-148.7862811077204,2.75972134602398e-05,0.0035083403461158014,0.0275972134602398,3.5083403461158014
90.0,-148.7976504319406,-1.6487990848190748e-05,0.004319270272048925,-0.016487990848190748,4.319270272048925
95.0,-148.8003812156167,0.000930535449015224,0.0041051823540101395,0.930535449015224,4.1051823540101395
100.0,-148.7949016345848,-0.0010219714046684203,0.0007747912875970542,-1.0219714046684203,0.7747912875970542
105.0,-148.78787247097767,3.222097700472659e-05,0.0011995984195323217,0.03222097700472659,1.1995984195323217
110.0,-148.77844411053147,0.00041222905798576903,0.0021976462159898347,0.41222905798576903,2.1976462159898347
115.0,-148.76462045765328,-0.00045773930881409797,0.0017322972872193532,-0.45773930881409797,1.7322972872193532
120.0,-148.74733221020063,0.0007187766830725195,0.0021053334015732617,0.7187766830725195,2.1053334015732617
125.0,-148.72583329594485,-0.0008990833318875957,0.0006436540400898139,-0.8990833318875957,0.6436540400898139
130.0,-148.70304707360887,0.0008886643974790331,0.0016785203181086672,0.8886643974790331,1.6785203181086672
135.0,-148.6769038106367,-0.0014874256841608258,0.00036272454377694885,-1.4874256841608258,0.36272454377694885
140.0,-148.65003509857695,nan,nan,nan,nan
