dihedral,spline,linear
0.0,-148.78482403629542,-148.78482403629542
0.45112781954887216,-148.78482758235813,-148.78484493877755
0.9022556390977443,-148.78483294060297,-148.7848658412597
1.3533834586466165,-148.78484008541264,-148.78488674374182
1.8045112781954886,-148.78484899116967,-148.78490764622396
2.2556390977443606,-148.78485963225685,-148.7849285487061
2.706766917293233,-148.78487198305675,-148.78494945118823
3.1578947368421053,-148.78488601795206,-148.78497035367036
3.6090225563909772,-148.7849017113254,-148.78499125615247
4.060150375939849,-148.7849190375595,-148.7850121586346
4.511278195488721,-148.7849379710369,-148.78503306111674
4.962406015037594,-148.78495848614037,-148.78505396359887
5.413533834586466,-148.78498055725245,-148.785074866081
5.864661654135338,-148.78500415875592,-148.78509576856314
6.315789473684211,-148.78502926503333,-148.78511667104527
6.7669172932330826,-148.7850558504674,-148.7851375735274
7.2180451127819545,-148.78508388944073,-148.78515847600954
7.669172932330826,-148.785113356336,-148.78517937849168
8.120300751879698,-148.7851442255359,-148.7852002809738
8.571428571428571,-148.78517647142303,-148.78522118345595
9.022556390977442,-148.78521006838002,-148.78524208593808
9.473684210526315,-148.78524499078966,-148.78526298842021
9.924812030075188,-148.78528121303444,-148.78528389090235
10.375939849624059,-148.7853187094971,-148.78532825215183
10.827067669172932,-148.78535745456028,-148.7853773051548
11.278195488721805,-148.78539742260665,-148.78542635815776
11.729323308270676,-148.78543858801885,-148.78547541116075
12.180451127819548,-148.7854809251795,-148.78552446416373
12.631578947368421,-148.78552440847133,-148.78557351716668
13.082706766917292,-148.78556901227694,-148.78562257016966
13.533834586466165,-148.78561471097896,-148.78567162317262
13.984962406015036,-148.78566147896012,-148.7857206761756
14.436090225563909,-148.78570929060302,-148.78576972917858
14.887218045112782,-148.78575812029032,-148.78581878218154
15.338345864661653,-148.7858079424047,-148.78586783518452
15.789473684210526,-148.7858587313288,-148.7859168881875
16.240601503759397,-148.7859104614452,-148.78596594119045
16.69172932330827,-148.7859631071367,-148.78601499419344
17.142857142857142,-148.78601664278588,-148.7860640471964
17.593984962406015,-148.78607104277535,-148.78611310019937
18.045112781954884,-148.78612628148784,-148.78616215320235
18.496240601503757,-148.78618233330593,-148.7862112062053
18.94736842105263,-148.78623917261234,-148.7862602592083
19.398496240601503,-148.7862967737897,-148.78630931221127
19.849624060150376,-148.78635511122067,-148.78635836521423
20.30075187969925,-148.78641415683086,-148.78641507721406
20.751879699248118,-148.7864738539824,-148.7864756187123
21.20300751879699,-148.78653412760957,-148.78653616021057
21.654135338345863,-148.78659490233952,-148.78659670170882
22.105263157894736,-148.78665610279918,-148.7866572432071
22.55639097744361,-148.78671765361582,-148.78671778470533
23.00751879699248,-148.78677947941645,-148.7867783262036
23.45864661654135,-148.78684150482817,-148.78683886770185
23.909774436090224,-148.78690365447807,-148.78689940920012
24.360902255639097,-148.78696585299326,-148.78695995069836
24.81203007518797,-148.7870280250008,-148.7870204921966
25.263157894736842,-148.7870900951278,-148.78708103369488
25.71428571428571,-148.7871519880013,-148.78714157519312
26.165413533834585,-148.7872136282485,-148.7872021166914
26.616541353383457,-148.78727494049647,-148.78726265818963
27.06766917293233,-148.78733584937223,-148.7873231996879
27.518796992481203,-148.7873962795029,-148.78738374118615
27.969924812030072,-148.7874561555156,-148.78744428268442
28.421052631578945,-148.78751540203743,-148.78750482418266
28.872180451127818,-148.7875739436954,-148.7875653656809
29.32330827067669,-148.78763170511667,-148.78762590717918
29.774436090225564,-148.78768861092834,-148.78768644867742
30.225563909774433,-148.78774459034636,-148.78774527321568
30.676691729323306,-148.78779967813006,-148.78780238079392
31.12781954887218,-148.78785401458228,-148.78785948837216
31.57894736842105,-148.78790774459475,-148.7879165959504
32.03007518796992,-148.78796101305915,-148.78797370352865
32.48120300751879,-148.78801396486716,-148.78803081110686
