oo,spline,linear
1.0,-148.37530808258398,-148.37530808258398
1.005012531328321,-148.3894057609482,-148.38635685117336
1.0100250626566416,-148.40315310990601,-148.3974056197627
1.0150375939849625,-148.41655490016498,-148.40845438835208
1.0200501253132832,-148.42961590243266,-148.41950315694146
1.0250626566416041,-148.4423408874166,-148.4305519255308
1.0300751879699248,-148.45473462582441,-148.44160069412018
1.0350877192982457,-148.4668018883636,-148.45264946270953
1.0401002506265664,-148.47854744574184,-148.4636982312989
1.0451127819548873,-148.48997606866655,-148.47474699988828
1.050125313283208,-148.50109252784546,-148.48579576847763
1.055137844611529,-148.511901593986,-148.496844537067
1.0601503759398496,-148.52240803779583,-148.50789330565638
1.0651629072681705,-148.5326166299824,-148.51894207424573
1.0701754385964912,-148.54253214125347,-148.5299908428351
1.0751879699248121,-148.55215934231643,-148.54103961142445
1.0802005012531328,-148.56150300387893,-148.55208838001383
1.0852130325814537,-148.57056789664853,-148.5631371486032
1.0902255639097744,-148.57935879133277,-148.57418591719255
1.0952380952380953,-148.58788045863923,-148.58523468578193
1.100250626566416,-148.59613766927552,-148.59602417968452
1.105263157894737,-148.60413519394913,-148.60188745453846
1.1102756892230576,-148.61187780336772,-148.6077507293924
1.1152882205513786,-148.61937026823875,-148.6136140042463
1.1203007518796992,-148.6266173592699,-148.61947727910024
1.1253132832080202,-148.63362384716862,-148.62534055395417
1.130325814536341,-148.6403945026426,-148.6312038288081
1.1353383458646618,-148.64693409639932,-148.63706710366205
1.1403508771929824,-148.65324739914635,-148.64293037851596
1.1453634085213034,-148.65933918159132,-148.6487936533699
1.1503759398496243,-148.66521421444176,-148.65465692822383
1.155388471177945,-148.6708772684052,-148.66052020307777
1.1604010025062659,-148.6763331141893,-148.6663834779317
1.1654135338345866,-148.68158652250153,-148.6722467527856
1.1704260651629075,-148.6866422640495,-148.67811002763955
1.1754385964912282,-148.6915051095408,-148.68397330249348
1.180451127819549,-148.69617982968293,-148.68983657734742
1.1854636591478698,-148.70067119518353,-148.69569985220136
1.1904761904761907,-148.70498397675016,-148.70156312705527
1.1954887218045114,-148.70912294509037,-148.7074264019092
1.2005012531328323,-148.71309287106885,-148.71296725705616
1.205513784461153,-148.71689873407846,-148.71560633484043
1.210526315789474,-148.72054613312523,-148.7182454126247
1.2155388471177946,-148.7240407817719,-148.72088449040896
1.2205513784461155,-148.72738839358144,-148.72352356819323
1.2255639097744362,-148.7305946821166,-148.72616264597747
1.230576441102757,-148.73366536094034,-148.72880172376173
1.2355889724310778,-148.7366061436154,-148.731440801546
1.2406015037593987,-148.73942274370475,-148.73407987933027
1.2456140350877196,-148.7421208747712,-148.73671895711453
1.2506265664160403,-148.74470625037765,-148.7393580348988
1.255639097744361,-148.74718458408688,-148.74199711268304
1.260651629072682,-148.74956158946176,-148.7446361904673
1.2656641604010028,-148.75184298006522,-148.74727526825157
1.2706766917293235,-148.75403446946004,-148.74991434603584
1.2756892230576442,-148.75614177120914,-148.7525534238201
1.2807017543859651,-148.75817059887538,-148.75519250160437
1.285714285714286,-148.76012666602153,-148.7578315793886
1.2907268170426067,-148.76201568621053,-148.76047065717287
1.2957393483709276,-148.76384337300522,-148.76310973495714
1.3007518796992483,-148.76561543645124,-148.7655346877426
1.3057644110275692,-148.7673360157069,-148.76674626553466
1.31077694235589,-148.76900521152947,-148.76795784332674
1.3157894736842108,-148.77062248467539,-148.76916942111885
1.3208020050125315,-148.77218729590112,-148.77038099891092
1.3258145363408524,-148.77369910596306,-148.771592576703
1.3308270676691731,-148.7751573756177,-148.77280415449508
1.335839598997494,-148.77656156562162,-148.77401573228718
1.3408521303258147,-148.77791113673106,-148.77522731007926
1.3458646616541357,-148.77920554970265,-148.77643888787134
1.3508771929824563,-148.78044426529272,-148.7776504656634
1.3558897243107773,-148.78162674425778,-148.77886204345552
1.3609022556390982,-148.7827524473543,-148.7800736212476
1.3659147869674189,-148.7838208353387,-148.78128519903967
1.3709273182957395,-148.78483136896747,-148.78249677683178
1.3759398496240605,-148.78578350899704,-148.78370835462385
