bond,angle,energy,held_out,holdout_spline_mha,holdout_linear_mha
0.85,96.0,-55.310171774812346,False,nan,nan
0.975,96.0,-55.453638177783134,True,13.720389700495161,64.07205943658312
1.1,96.0,-55.46896046188075,False,nan,nan
1.225,96.0,-55.420635058899556,True,-6.383696034689024,14.249014973650276
1.35,96.0,-55.34381162597107,False,nan,nan
1.475,96.0,-55.25706036284725,True,8.002329128480312,-1.0839185908935178
1.6,96.0,-55.17247693690521,False,nan,nan
0.85,100.0,-55.32097072814753,True,0.021568670447891236,1.409362706304762
0.975,100.0,-55.459382400476635,True,13.62790625080379,65.06742496915052
1.1,100.0,-55.47059668838062,True,-0.12487119030879512,1.528102806865661
1.225,100.0,-55.41924871531975,True,-6.393768399462374,15.204120744932936
1.35,100.0,-55.34061334373631,True,0.3039488587859296,1.5927401604116653
1.475,100.0,-55.25395945347903,True,9.44503222637394,0.5120620928806829
1.6,100.0,-55.169065579673635,True,1.0158886222271235,1.1914004772393127
0.85,104.0,-55.3289509560701,False,nan,nan
0.975,104.0,-55.46230994287865,True,13.901884445161272,63.246110210215534
1.1,104.0,-55.469176709266755,False,nan,nan
1.225,104.0,-55.41459567432386,True,-6.556465455489047,12.892529100128058
1.35,104.0,-55.33422958118072,False,nan,nan
1.475,104.0,-55.247605420120664,True,9.301155440361697,-1.145081213486776
1.6,104.0,-55.16327142148758,False,nan,nan
0.85,108.0,-55.334571175856226,True,-0.03818137620470452,0.9174200186805592
0.975,108.0,-55.46271434661204,True,14.259378166492809,64.2275835346453
1.1,108.0,-55.46462684258717,True,-0.022485054138599025,1.3070722699310977
1.225,108.0,-55.4068618329137,True,-6.413160167284104,14.217912820463141
1.35,108.0,-55.32395492324811,True,-0.4595997776561944,1.9868533788738318
1.475,108.0,-55.2360819082554,True,7.931432518525128,-0.3087161203509936
1.6,108.0,-55.15346595954232,True,-1.099449933185781,2.6527806600427084
0.85,112.0,-55.33835655560498,False,nan,nan
0.975,112.0,-55.46083070235724,True,14.358990355397339,62.92100887088736
1.1,112.0,-55.45746283136773,False,nan,nan
1.225,112.0,-55.395098748271565,True,-6.639565318899088,11.514053308829375
1.35,112.0,-55.30970655855775,False,nan,nan
1.475,112.0,-55.22136538580526,True,9.589419647916486,-2.6653616121024015
1.6,112.0,-55.13835493627696,False,nan,nan
0.85,116.0,-55.34060841594993,True,-0.01632787893868226,0.507080874918131
0.975,116.0,-55.45713221979361,True,14.097442951317873,63.6143040219892
1.1,116.0,-55.44792568672233,True,-0.014950396838742108,0.9911902541048789
1.225,116.0,-55.37949420043229,True,-6.775170841827105,13.354996742982905
1.35,116.0,-55.2887370421243,True,-0.21098379750128515,3.3931312139117153
1.475,116.0,-55.19817249488142,True,11.26884720459742,3.6333725150257123
1.6,116.0,-55.115255702197324,True,4.192419043505424,11.521368374921792
0.85,120.0,-55.34184611454504,False,nan,nan
0.975,120.0,-55.45214436578355,True,13.423715076754661,63.01822772667265
1.1,120.0,-55.43640616156872,False,nan,nan
1.225,120.0,-55.36066290644647,True,-5.9325296518295545,11.969194030591268
1.35,120.0,-55.260981263263034,False,nan,nan
1.475,120.0,-55.16000074440661,True,8.744312376229857,-5.0467529088251695
1.6,120.0,-55.069113731367835,False,nan,nan
